rank,player_name,nation,position,squad,competition,age,birth_year,matches_played,starts,minutes,nineties_played,goals_against,goals_against_per_90,shots_on_target_against,saves,save_pct,wins,draws,losses,clean_sheets,clean_sheet_pct,penalty_attempts,penalty_goals_against,penalty_saves,penalty_missed,MP,Starts,Min,penalty_kicks_allowed,season,table_type,processed_at
117,Arnau Tenas,ESP,GK,Villarreal,La Liga,0.0,2001,0,0,0,2.0,4,2.0,9,5,66.7,1,0,1,0,0.0,1,0,0,0,2,2,180,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
118,Pietro Terracciano,ITA,GK,Milan,Serie A,0.0,1990,0,0,0,1.4,0,0.0,4,4,100.0,1,0,0,2,200.0,0,0,0,0,2,1,125,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
119,James Trafford,ENG,GK,Manchester City,Premier League,0.0,2002,0,0,0,3.0,4,1.33,15,11,80.0,1,0,2,1,33.3,1,0,0,0,3,3,270,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
120,Kevin Trapp,GER,GK,Paris FC,Ligue 1,0.0,1990,0,0,0,1.0,2,2.0,2,0,0.0,1,0,0,0,0.0,0,0,0,0,1,1,90,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
121,Stefano Turati,ITA,GK,Sassuolo,Serie A,0.0,2001,0,0,0,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,1,1,90,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
122,Álvaro Vallés,ESP,GK,Betis,La Liga,0.0,1997,0,0,0,3.0,5,1.67,13,9,61.5,0,2,1,0,0.0,0,0,0,0,3,3,270,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
123,Nikola Vasilj,BIH,GK,St. Pauli,Bundesliga,0.0,1995,0,0,0,6.0,9,1.5,31,20,71.0,2,1,3,1,16.7,2,0,2,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
124,Bart Verbruggen,NED,GK,Brighton,Premier League,0.0,2002,0,0,0,7.0,10,1.43,22,14,59.1,2,3,2,0,0.0,1,0,0,0,7,7,630,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
125,Guglielmo Vicario,ITA,GK,Tottenham,Premier League,0.0,1996,0,0,0,7.0,5,0.71,29,24,82.8,4,2,1,3,42.9,0,0,0,0,7,7,630,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
126,Odysseas Vlachodimos,GRE,GK,Sevilla,La Liga,0.0,1994,0,0,0,4.0,4,1.0,24,20,87.5,3,0,1,1,25.0,2,0,0,1,4,4,360,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
127,Robin Zentner,GER,GK,Mainz 05,Bundesliga,0.0,1994,0,0,0,4.7,6,1.27,16,10,62.5,1,1,3,0,0.0,0,0,0,0,5,5,426,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
128,Michael Zetterer,GER,GK,Eint Frankfurt,Bundesliga,0.0,1995,0,0,0,3.0,5,1.67,17,12,76.5,2,0,1,0,0.0,1,0,0,0,3,3,270,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
