rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,yellow_cards,red_cards,second_yellow,fouls,fouled,offsides,crosses,interceptions,tackles_won,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerial_win_pct,shot_creating_actions_foul_drawn,passes_offsides,passes_crosses,own_goals_against,season,table_type,processed_at
370,Fabio Carvalho,POR,"FW,MF",Brentford,Premier League,0.0,2002.0,1.1,0,0,0,0,0,0,0,0,2,0,0,0,5,0,3,0.0,0,0,4,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
371,Cesare Casadei,ITA,MF,Torino,Serie A,0.0,2003.0,5.2,1,0,0,13,0,0,0,2,2,0,0,0,16,22,9,71.0,5,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
372,Marc Casado,ESP,MF,Barcelona,La Liga,0.0,2003.0,2.4,0,0,0,3,0,0,0,1,0,0,0,0,10,1,1,50.0,3,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
373,Nicolò Casale,ITA,DF,Bologna,Serie A,0.0,1998.0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,100.0,1,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
374,Casemiro,BRA,MF,Manchester Utd,Premier League,0.0,1992.0,3.6,4,1,1,5,0,0,0,2,5,0,0,0,22,7,6,53.8,3,0,3,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
375,Matty Cash,POL,DF,Aston Villa,Premier League,0.0,1997.0,6.7,2,0,0,7,0,0,0,5,8,0,0,0,20,5,6,45.5,6,2,28,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
376,Josué Casimir,HAI,"MF,DF",Auxerre,Ligue 1,0.0,2001.0,5.4,2,1,1,10,0,0,0,4,8,0,0,0,22,10,10,50.0,11,2,29,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
377,Cristian Cásseres Jr.,VEN,MF,Toulouse,Ligue 1,0.0,2000.0,5.2,1,0,0,6,0,0,0,7,9,0,1,0,32,4,2,66.7,7,1,16,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
378,Timothy Castagne,BEL,"DF,FW",Fulham,Premier League,0.0,1995.0,3.4,0,0,0,3,0,0,0,6,3,0,0,0,15,5,6,45.5,1,0,9,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
379,Valentín Castellanos,ARG,FW,Lazio,Serie A,0.0,1998.0,4.8,2,0,0,4,0,0,0,1,2,0,0,0,4,8,6,57.1,9,4,6,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
