rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,goals_against,penalty_kicks_allowed,free_kick_goals_against,corner_kick_goals_against,own_goals_against,post_shot_expected_goals,post_shot_expected_goals_per_shot,post_shot_expected_goals_plus_minus,post_shot_expected_goals_plus_minus_per_90,launches,launch_pct,avg_launch_distance,goal_kicks,crosses_faced,crosses_stopped,cross_stop_pct,defensive_actions_outside_penalty_area,defensive_actions_outside_penalty_area_per_90,avg_distance_defensive_actions,opponent_penalty_area_entries_stopped,keeper_stops,keeper_stop_pct,keeper_opa,keeper_opa_per_90,keeper_avg_distance,season,table_type,processed_at
33,Jonathan Fischer,DEN,GK,Metz,Ligue 1,0.0,2001,7.0,16,2,0,0,1,16.3,0.37,1.3,0.18,21,51,41.2,266,29,16.2,26.0,0,0,0,96,3,3.1,10,1.43,14.0,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
34,Mark Flekken,NED,GK,Leverkusen,Bundesliga,0.0,1993,6.0,8,1,0,4,0,7.2,0.23,-0.8,-0.14,20,72,27.8,189,23,25.4,30.7,0,0,0,86,3,3.5,10,1.67,15.1,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
35,Joan García,ESP,GK,Barcelona,La Liga,0.0,2001,6.0,4,1,0,1,0,6.0,0.3,2.0,0.33,6,12,50.0,167,47,6.6,24.5,0,0,0,53,3,5.7,28,4.67,21.9,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
36,Paulo Gazzaniga,ARG,GK,Girona,La Liga,0.0,1992,6.5,11,1,1,0,0,13.2,0.35,2.2,0.34,16,90,17.8,198,33,34.8,35.0,0,0,0,104,2,1.9,7,1.08,15.9,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
37,David de Gea,ESP,GK,Fiorentina,Serie A,0.0,1990,6.0,8,1,0,2,0,7.7,0.26,-0.3,-0.05,28,71,39.4,180,22,35.6,33.0,0,0,0,70,2,2.9,4,0.67,12.8,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
38,Kamil Grabara,POL,GK,Wolfsburg,Bundesliga,0.0,1999,6.0,10,1,1,1,0,10.1,0.33,0.1,0.01,17,63,27.0,206,37,24.8,30.7,0,0,0,120,5,4.2,6,1.0,12.4,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
39,Dominik Greif,SVK,GK,Lyon,Ligue 1,0.0,1997,3.0,2,0,0,1,1,1.9,0.25,0.9,0.3,12,30,40.0,120,10,21.7,26.2,0,0,0,38,3,7.9,4,1.33,15.1,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
40,Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,0.0,1990,6.0,8,0,0,1,0,6.9,0.31,-1.1,-0.19,20,64,31.3,208,22,22.1,29.4,0,0,0,88,5,5.7,8,1.33,14.1,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
41,Dean Henderson,ENG,GK,Crystal Palace,Premier League,0.0,1997,7.0,5,1,0,1,0,7.5,0.33,2.5,0.36,37,129,28.7,200,27,46.5,38.4,0,0,0,125,7,5.6,3,0.43,10.7,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
42,Mads Hermansen,DEN,GK,West Ham,Premier League,0.0,2000,4.0,11,0,0,6,0,9.3,0.46,-1.7,-0.43,19,72,26.4,141,19,41.1,33.9,0,0,0,72,5,6.9,1,0.25,8.8,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
43,Sergio Herrera,ESP,GK,Osasuna,La Liga,0.0,1993,8.0,8,1,0,0,0,10.2,0.28,2.2,0.27,50,116,43.1,186,39,38.7,34.8,0,0,0,129,7,5.4,17,2.13,17.7,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
44,Daniel Heuer Fernandes,POR,GK,Hamburger SV,Bundesliga,0.0,1992,6.0,8,1,0,2,0,8.6,0.21,0.6,0.09,32,94,34.0,247,18,31.6,30.7,0,0,0,96,3,3.1,4,0.67,12.0,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
45,Lukáš Hrádecký,FIN,GK,Monaco,Ligue 1,0.0,1989,2.9,4,1,0,0,0,3.1,0.28,-0.9,-0.3,10,34,29.4,92,7,30.4,30.6,0,0,0,42,2,4.8,4,1.4,18.9,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
46,Franco Israel,URU,GK,Torino,Serie A,0.0,2000,6.0,13,2,0,2,0,9.0,0.27,-4.0,-0.66,39,102,38.2,198,22,44.4,38.2,0,0,0,68,2,2.9,5,0.83,14.4,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
47,Karl Jakob Hein,EST,GK,Werder Bremen,Bundesliga,0.0,2002,2.0,4,1,0,1,0,4.7,0.26,0.7,0.36,15,36,41.7,111,11,24.3,29.7,0,0,0,28,2,7.1,6,3.0,17.6,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
48,Karl-Johan Johnsson,SWE,GK,Strasbourg,Ligue 1,0.0,1990,1.0,0,0,0,0,0,0.3,0.14,0.3,0.28,3,10,30.0,32,2,28.1,29.6,0,0,0,13,1,7.7,3,3.0,18.9,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
49,Sam Johnstone,ENG,GK,Wolves,Premier League,0.0,1993,3.0,3,0,0,1,0,4.6,0.35,1.6,0.53,27,86,31.4,115,19,58.3,41.4,0,0,0,77,4,5.2,4,1.33,13.3,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
50,Luiz Lúcio Reis Júnior,BRA,GK,Villarreal,La Liga,0.0,2001,6.0,4,1,0,0,0,5.6,0.23,1.6,0.27,4,28,14.3,110,24,23.6,27.9,0,0,0,56,2,3.6,7,1.17,13.3,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
51,Filip Jørgensen,DEN,GK,Chelsea,Premier League,0.0,2002,0.9,2,0,0,1,0,1.8,0.59,-0.2,-0.23,3,10,30.0,31,1,22.6,26.0,0,0,0,20,0,0.0,1,1.08,16.3,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
