rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,shot_creating_actions,shot_creating_actions_per_90,shot_creating_actions_live_pass,shot_creating_actions_dead_pass,shot_creating_actions_take_on,shot_creating_actions_shot,shot_creating_actions_foul_drawn,goal_creating_actions,goal_creating_actions_per_90,goal_creating_actions_def,season,table_type,processed_at
70,Sergi Altimira,ESP,MF,Betis,La Liga,0.0,2001.0,5.0,7,1.4,6,0,0,0,0,1,0.2,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
71,Carlos Álvarez,ESP,MF,Levante,La Liga,0.0,2003.0,5.4,19,3.49,16,1,0,1,1,3,0.55,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
72,Hugo Álvarez,ESP,"FW,DF",Celta Vigo,La Liga,0.0,2003.0,3.4,8,2.35,7,0,0,0,0,0,0.0,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
73,Julián Álvarez,ARG,FW,Atlético Madrid,La Liga,0.0,2000.0,6.9,28,4.04,17,7,2,0,2,2,0.29,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
74,Skelly Alvero,FRA,DF,Werder Bremen,Bundesliga,0.0,2002.0,0.4,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
75,Giuseppe Ambrosino,ITA,FW,Napoli,Serie A,0.0,2003.0,0.2,1,5.63,0,0,1,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
76,Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,0.0,2003.0,0.2,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
77,Kelvin Amian,FRA,DF,Nantes,Ligue 1,0.0,1998.0,7.0,7,1.0,6,1,0,0,0,1,0.14,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
78,Michael Amir Murillo,PAN,"DF,MF",Marseille,Ligue 1,0.0,1996.0,5.1,12,2.34,11,0,0,0,1,3,0.58,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
79,Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,0.0,1996.0,5.5,31,5.65,19,5,3,3,1,1,0.18,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
80,Samuel Amo-Ameyaw,ENG,"DF,FW",Strasbourg,Ligue 1,0.0,2006.0,2.3,13,5.65,9,1,1,0,2,2,0.87,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
81,Mathis Amougou,FRA,MF,Strasbourg,Ligue 1,0.0,2006.0,1.5,2,1.35,1,0,1,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
82,Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,0.0,2000.0,4.3,18,4.19,14,0,1,1,2,2,0.47,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
83,Ethan Ampadu,WAL,MF,Leeds United,Premier League,0.0,2000.0,4.9,7,1.44,5,1,0,0,0,1,0.21,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
84,Sofyan Amrabat,MAR,MF,Betis,La Liga,0.0,1996.0,2.2,7,3.18,6,1,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
85,Joachim Andersen,DEN,DF,Fulham,Premier League,0.0,1996.0,7.0,9,1.29,6,1,0,2,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
86,Elliot Anderson,ENG,MF,Nott'ham Forest,Premier League,0.0,2002.0,7.0,32,4.57,24,2,2,2,1,4,0.57,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
87,André,BRA,MF,Wolves,Premier League,0.0,2001.0,4.9,5,1.02,2,1,1,0,1,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
88,Benjamin André,FRA,MF,Lille,Ligue 1,0.0,1990.0,5.0,14,2.8,12,0,0,1,1,2,0.4,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
89,Robert Andrich,GER,MF,Leverkusen,Bundesliga,0.0,1994.0,3.4,5,1.48,4,0,0,0,1,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
90,Miguel Ángel Rubio,ESP,DF,Espanyol,La Liga,0.0,1998.0,1.4,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
91,Angeliño,ESP,"DF,MF",Roma,Serie A,0.0,1997.0,4.3,5,1.16,5,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
92,Samuele Angori,ITA,DF,Pisa,Serie A,0.0,2003.0,3.1,5,1.62,2,3,0,0,0,1,0.32,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
93,Faustino Anjorin,ENG,"MF,FW",Torino,Serie A,0.0,2001.0,0.3,1,3.1,1,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
94,Ilyas Ansah,GER,"MF,FW",Union Berlin,Bundesliga,0.0,2004.0,4.5,6,1.34,5,0,0,0,1,3,0.67,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
95,Aaron Anselmino,ARG,DF,Dortmund,Bundesliga,0.0,2005.0,0.8,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
96,Jaidon Anthony,ENG,"MF,FW",Burnley,Premier League,0.0,1999.0,6.5,16,2.45,11,1,3,0,1,3,0.46,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
97,Waldemar Anton,GER,DF,Dortmund,Bundesliga,0.0,1996.0,6.0,1,0.17,1,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
98,Antoniu,ESP,FW,Espanyol,La Liga,0.0,2002.0,0.2,2,8.57,2,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
99,Antony,BRA,FW,Betis,La Liga,0.0,2000.0,3.6,15,4.14,12,0,1,0,2,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
100,Youssef El-Arabi,MAR,"FW,MF",Nantes,Ligue 1,0.0,1987.0,0.3,2,6.43,1,0,0,0,1,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
101,Mauro Arambarri,URU,MF,Getafe,La Liga,0.0,1995.0,7.8,12,1.55,9,0,0,3,0,1,0.13,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
102,Jon Aramburu,VEN,DF,Real Sociedad,La Liga,0.0,2002.0,6.2,11,1.77,9,2,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
103,Ronald Araújo,URU,DF,Barcelona,La Liga,0.0,1999.0,4.4,4,0.91,4,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
104,Carlens Arcus,HAI,DF,Angers,Ligue 1,0.0,1996.0,6.9,9,1.31,9,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
105,Alphonse Areola,FRA,GK,West Ham,Premier League,0.0,1993.0,3.0,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
106,Jesús Areso,ESP,DF,Athletic Club,La Liga,0.0,1999.0,6.5,12,1.85,11,1,0,0,0,1,0.15,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
107,Jhon Arias,COL,FW,Wolves,Premier League,0.0,1997.0,4.0,15,3.76,7,4,2,0,0,0,0.0,2,2025-2026,stats_gca,2025-10-18 04:36:53.715978
108,Harrison Armstrong,ENG,FW,Everton,Premier League,0.0,2007.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
109,Hákon Arnar Haraldsson,ISL,"MF,FW",Lille,Ligue 1,0.0,2003.0,5.3,20,3.77,15,5,0,0,0,3,0.57,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
110,Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,0.0,1994.0,6.0,22,3.67,10,12,0,0,0,3,0.5,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
111,Tolu Arokodare,NGA,FW,Wolves,Premier League,0.0,2000.0,1.8,2,1.1,2,0,0,0,0,1,0.55,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
112,Kervin Arriaga,HON,MF,Levante,La Liga,0.0,1998.0,2.2,2,0.89,1,0,0,1,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
113,Arthur,BRA,DF,Leverkusen,Bundesliga,0.0,2003.0,1.0,1,1.0,1,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
114,Takuma Asano,JPN,FW,Mallorca,La Liga,0.0,1994.0,2.8,4,1.43,3,0,0,0,1,1,0.36,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
115,Raúl Asencio,ESP,DF,Real Madrid,La Liga,0.0,2003.0,2.8,3,1.09,3,0,0,0,0,1,0.36,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
116,Fisnik Asllani,KVX,"FW,MF",Hoffenheim,Bundesliga,0.0,2002.0,5.1,7,1.38,5,0,2,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
117,Kristjan Asllani,ALB,MF,Torino,Serie A,0.0,2002.0,4.5,9,1.98,5,4,0,0,0,1,0.22,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
118,Iago Aspas,ESP,"FW,MF",Celta Vigo,La Liga,0.0,1987.0,3.9,24,6.08,21,2,0,0,0,0,0.0,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
119,Yaser Asprilla,COL,FW,Girona,La Liga,0.0,2003.0,4.5,12,2.69,8,2,1,1,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
120,Lorenz Assignon,TOG,DF,Stuttgart,Bundesliga,0.0,2000.0,2.2,8,3.62,5,2,1,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
121,Dehmaine Assoumani,FRA,MF,Nantes,Ligue 1,0.0,2005.0,2.1,5,2.37,4,1,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
122,Otavio Ataide,BRA,DF,Paris FC,Ligue 1,0.0,2002.0,4.9,3,0.61,1,0,0,1,0,0,0.0,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
123,Zachary Athekame,SUI,DF,Milan,Serie A,0.0,2004.0,0.4,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
124,Arthur Atta,FRA,MF,Udinese,Serie A,0.0,2003.0,5.8,26,4.51,11,5,4,4,2,2,0.35,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
125,Noah Atubolu,GER,GK,Freiburg,Bundesliga,0.0,2002.0,6.0,2,0.33,2,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
126,Pierre-Emerick Aubameyang,GAB,FW,Marseille,Ligue 1,0.0,1989.0,2.8,4,1.45,2,0,0,1,1,2,0.73,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
127,Emil Audero,IDN,GK,Cremonese,Serie A,0.0,1997.0,4.0,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
128,Carlos Augusto,BRA,DF,Inter,Serie A,0.0,1999.0,2.9,11,3.79,6,1,2,2,0,1,0.34,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
129,Yann Aurel Bisseck,GER,DF,Inter,Serie A,0.0,2000.0,1.0,1,1.0,1,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
130,Leon Avdullahu,KVX,MF,Hoffenheim,Bundesliga,0.0,2004.0,5.4,10,1.85,8,1,0,0,1,1,0.19,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
131,Ezequiel Ávila,ARG,"FW,MF",Betis,La Liga,0.0,1994.0,0.5,2,4.19,1,1,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
132,Arthur Avom,CMR,MF,Lorient,Ligue 1,0.0,2004.0,6.1,18,2.93,14,1,0,1,2,1,0.16,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
133,Chidozie Awaziem,NGA,DF,Nantes,Ligue 1,0.0,1997.0,7.0,5,0.71,5,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
134,Yasin Ayari,SWE,MF,Brighton,Premier League,0.0,2003.0,6.0,14,2.32,10,3,0,1,0,1,0.17,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
135,Neil El Aynaoui,MAR,MF,Roma,Serie A,0.0,2001.0,1.1,4,3.75,3,0,0,0,0,0,0.0,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
136,César Azpilicueta,ESP,DF,Sevilla,La Liga,0.0,1989.0,5.0,7,1.4,6,1,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
137,Oussama El Azzouzi,MAR,DF,Auxerre,Ligue 1,0.0,2001.0,0.2,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
138,Mio Backhaus,GER,GK,Werder Bremen,Bundesliga,0.0,2004.0,4.0,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
139,Loïc Bade,FRA,DF,Leverkusen,Bundesliga,0.0,2000.0,3.9,3,0.77,3,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
140,Benoît Badiashile,FRA,DF,Chelsea,Premier League,0.0,2001.0,0.7,2,2.73,2,0,0,0,0,1,1.36,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
