rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,passes_completed,passes_attempted,pass_completion_pct,total_distance,progressive_distance,assists,expected_assists,expected_assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,expected_assists_xa,season,table_type,processed_at
1767,Mohamed Salah,EGY,FW,Liverpool,Premier League,0.0,1992.0,7.0,148,215,68.8,2151,607,2,1.2,0.8,11,4,13,3,22,1.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1768,Jan Salas,ESP,MF,Mallorca,La Liga,0.0,2005.0,0.2,6,10,60.0,183,92,0,0.0,0.0,0,3,1,0,4,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1769,Kike Salas,ESP,DF,Sevilla,La Liga,0.0,2002.0,4.0,254,308,82.5,5575,1874,0,0.0,0.0,1,23,1,0,22,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1770,Manolis Saliakas,GRE,DF,St. Pauli,Bundesliga,0.0,1996.0,3.1,166,222,74.8,3015,930,1,0.1,0.9,3,15,5,1,17,0.4,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1771,William Saliba,FRA,DF,Arsenal,Premier League,0.0,2001.0,4.5,357,383,93.2,6152,1866,0,0.1,-0.1,1,15,1,0,16,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1772,José Salinas,ESP,"FW,DF",Espanyol,La Liga,0.0,2000.0,0.2,4,11,36.4,67,28,0,0.0,0.0,0,0,0,0,0,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1773,Mohammed Salisu,GHA,DF,Monaco,Ligue 1,0.0,1999.0,2.0,172,190,90.5,3008,1249,0,0.0,0.0,0,17,0,0,17,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1774,Lazar Samardzic,SRB,MF,Atalanta,Serie A,0.0,2002.0,2.8,106,135,78.5,1821,495,1,0.9,0.1,8,10,7,1,19,0.7,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1775,Mbwana Samatta,TAN,FW,Le Havre,Ligue 1,0.0,1992.0,4.6,57,81,70.4,828,169,0,0.2,-0.2,4,3,2,0,7,0.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1776,Mama Samba Baldé,GNB,FW,Brest,Ligue 1,0.0,1995.0,3.2,44,62,71.0,550,76,1,0.5,0.5,4,1,1,0,1,0.5,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1777,Brice Samba,FRA,GK,Rennes,Ligue 1,0.0,1994.0,7.0,259,329,78.7,6684,4221,0,0.0,0.0,0,3,0,0,0,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1778,Albert Sambi Lokonga,BEL,MF,Hamburger SV,Bundesliga,0.0,1999.0,1.0,35,41,85.4,591,107,0,0.2,-0.2,2,3,0,0,5,0.2,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1779,Antonio Sanabria,PAR,FW,Cremonese,Serie A,0.0,1996.0,3.7,33,42,78.6,396,81,1,1.0,0.0,1,2,0,0,4,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1780,Oihan Sancet,ESP,MF,Athletic Club,La Liga,0.0,2000.0,4.8,122,145,84.1,1872,382,0,0.4,-0.4,8,14,4,0,19,0.2,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1781,Alexis Sánchez,CHI,"FW,MF",Sevilla,La Liga,0.0,1988.0,3.6,79,108,73.1,1242,498,1,0.4,0.6,4,9,7,1,17,0.5,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1782,Antonio Sánchez,ESP,"MF,DF",Mallorca,La Liga,0.0,1997.0,3.0,86,102,84.3,1461,458,0,0.0,0.0,0,8,1,0,10,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1783,Juanlu Sánchez,ESP,"DF,FW",Sevilla,La Liga,0.0,2003.0,4.4,170,223,76.2,2631,800,1,0.2,0.8,4,8,3,2,12,0.7,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1784,Borja Sánchez Laborde,ESP,MF,Oviedo,La Liga,0.0,1996.0,0.2,11,13,84.6,253,63,0,0.0,0.0,0,0,0,0,0,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1785,Manu Sánchez,ESP,DF,Levante,La Liga,0.0,2000.0,6.6,160,216,74.1,2696,853,1,0.9,0.1,7,5,6,3,16,0.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1786,Robert Sánchez,ESP,GK,Chelsea,Premier League,0.0,1997.0,6.0,164,246,66.7,4247,2947,0,0.1,-0.1,2,6,0,0,0,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1787,Jadon Sancho,ENG,FW,Aston Villa,Premier League,0.0,2000.0,0.1,15,18,83.3,220,75,0,0.0,0.0,0,0,3,0,3,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1788,Álex Sancris,ESP,"FW,MF",Getafe,La Liga,0.0,1997.0,2.0,38,64,59.4,604,139,0,0.2,-0.2,2,0,1,0,3,0.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1789,Philipp Sander,GER,MF,Gladbach,Bundesliga,0.0,1998.0,3.8,196,221,88.7,3604,986,0,0.1,-0.1,1,20,1,1,19,0.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1790,James Sands,USA,MF,St. Pauli,Bundesliga,0.0,2000.0,5.7,201,257,78.2,3086,927,0,0.3,-0.3,2,22,5,2,26,0.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1791,Ibou Sané,SEN,"FW,MF",Metz,Ligue 1,0.0,2005.0,1.8,38,47,80.9,610,123,0,0.0,0.0,0,2,1,0,9,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1792,Sadibou Sané,SEN,DF,Metz,Ligue 1,0.0,2004.0,3.9,213,236,90.3,4188,1402,0,0.0,0.0,0,3,0,0,5,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1793,Arouna Sangante,SEN,DF,Le Havre,Ligue 1,0.0,2002.0,5.8,345,389,88.7,6773,2145,0,0.1,-0.1,2,20,0,0,24,0.4,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1794,Ibrahim Sangaré,CIV,MF,Nott'ham Forest,Premier League,0.0,1997.0,3.9,206,231,89.2,3477,1085,0,0.0,0.0,0,25,1,0,22,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1795,Mamadou Sangare,MLI,MF,Lens,Ligue 1,0.0,2002.0,5.3,211,252,83.7,3540,956,0,0.3,-0.3,5,19,1,0,26,0.2,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1796,Nhoa Sangui,FRA,DF,Paris FC,Ligue 1,0.0,2006.0,3.2,152,175,86.9,2269,661,0,0.7,-0.7,5,6,5,3,11,0.4,2025-2026,stats_passing,2025-10-18 04:36:54.414223
