rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_distance,free_kicks,penalty_goals,penalty_attempts,expected_goals,non_penalty_xg,npxg_per_shot,goals_minus_xg,non_penalty_goals_minus_xg,shot_creating_actions_shot,passes_free_kick,season,table_type,processed_at
12,Francis Abu,GHA,MF,Toulouse,Ligue 1,0.0,2001.0,2.7,0,0,0,0.0,1.1,0.0,0.0,0.0,29.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,3,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
13,Giorgi Abuashvili,GEO,FW,Metz,Ligue 1,0.0,2003.0,1.7,0,0,0,0.0,2.98,0.0,0.0,0.0,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,5,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
14,Francesco Acerbi,ITA,DF,Inter,Serie A,0.0,1988.0,3.9,0,0,1,100.0,0.26,0.26,0.0,0.0,15.0,0,0,0,0.0,0.0,0.01,0.0,0.0,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
15,Ragnar Ache,GER,"FW,DF",Köln,Bundesliga,0.0,1998.0,2.1,0,0,1,25.0,1.89,0.47,0.0,0.0,15.6,0,0,0,1.0,1.0,0.26,-1.0,-1.0,4,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
16,Joshua Acheampong,ENG,DF,Chelsea,Premier League,0.0,2006.0,2.2,0,0,0,0.0,0.46,0.0,0.0,0.0,4.3,0,0,0,0.1,0.1,0.09,-0.1,-0.1,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
17,Akor Adams,NGA,FW,Sevilla,La Liga,0.0,2000.0,3.8,2,0,5,45.5,2.93,1.33,0.18,0.4,12.8,0,0,0,2.0,2.0,0.19,0.0,0.0,11,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
18,Che Adams,SCO,"FW,MF",Torino,Serie A,0.0,1996.0,1.8,1,0,2,40.0,2.76,1.1,0.2,0.5,23.0,0,0,0,0.5,0.5,0.1,0.5,0.5,5,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
19,Tyler Adams,USA,MF,Bournemouth,Premier League,0.0,1999.0,6.7,0,0,4,80.0,0.75,0.6,0.0,0.0,20.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,5,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
20,Junior Adamu,AUT,FW,Freiburg,Bundesliga,0.0,2001.0,2.6,1,0,1,25.0,1.56,0.39,0.25,1.0,7.9,0,0,0,1.3,1.3,0.33,-0.3,-0.3,4,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
21,Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,0.0,1997.0,3.9,0,0,0,0.0,0.25,0.0,0.0,0.0,6.3,0,0,0,0.0,0.0,0.04,0.0,0.0,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
22,Jayden Addai,NED,FW,Como,Serie A,0.0,2005.0,2.0,1,0,2,40.0,2.46,0.98,0.2,0.5,16.5,0,0,0,0.4,0.4,0.09,0.6,0.6,5,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
23,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,0.0,2002.0,3.6,2,0,4,33.3,3.31,1.1,0.17,0.5,18.5,0,0,0,1.0,1.0,0.08,1.0,1.0,12,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
24,Simon Adingra,CIV,FW,Sunderland,Premier League,0.0,2002.0,3.0,0,0,0,0.0,0.33,0.0,0.0,0.0,14.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
25,Amine Adli,MAR,"FW,MF",Bournemouth,Premier League,0.0,2000.0,1.7,0,0,2,100.0,1.19,1.19,0.0,0.0,23.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,2,1,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
26,Vasilije Adžić,MNE,MF,Juventus,Serie A,0.0,2006.0,1.2,1,0,4,80.0,4.13,3.3,0.2,0.25,26.3,0,0,0,0.2,0.2,0.04,0.8,0.8,5,1,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
27,Michel Aebischer,SUI,MF,Pisa,Serie A,0.0,1997.0,4.5,0,0,0,0.0,0.89,0.0,0.0,0.0,25.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,4,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
28,David Affengruber,AUT,DF,Elche,La Liga,0.0,2001.0,7.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
29,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,0.0,1998.0,0.5,0,0,1,100.0,1.96,1.96,0.0,0.0,13.1,0,0,0,0.5,0.5,0.5,-0.5,-0.5,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
30,Emmanuel Agbadou,CIV,DF,Wolves,Premier League,0.0,1997.0,5.8,0,0,2,33.3,1.03,0.34,0.0,0.0,22.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4,6,1,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
31,Julen Agirrezabala,ESP,GK,Valencia,La Liga,0.0,2000.0,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
32,Lucien Agoume,FRA,MF,Sevilla,La Liga,0.0,2002.0,6.8,1,0,1,100.0,0.15,0.15,1.0,1.0,21.3,0,0,0,0.1,0.1,0.09,0.9,0.9,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
33,Felix Agu,NGA,DF,Werder Bremen,Bundesliga,0.0,1999.0,5.4,0,0,1,100.0,0.19,0.19,0.0,0.0,30.7,0,0,0,0.0,0.0,0.01,0.0,0.0,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
34,Marc Aguado,ESP,MF,Elche,La Liga,0.0,2000.0,4.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
35,Nayef Aguerd,MAR,DF,West Ham,Premier League,0.0,1996.0,2.0,0,0,0,0.0,1.0,0.0,0.0,0.0,9.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,2,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
36,Nayef Aguerd,MAR,DF,Marseille,Ligue 1,0.0,1996.0,4.0,1,0,1,50.0,0.5,0.25,0.5,1.0,17.7,0,0,0,0.3,0.3,0.14,0.7,0.7,2,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
37,Ruben Aguilar,FRA,DF,Lens,Ligue 1,0.0,1993.0,6.1,0,0,1,20.0,0.82,0.16,0.0,0.0,20.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,5,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
38,Honest Ahanor,ITA,DF,Atalanta,Serie A,0.0,2008.0,2.7,0,0,0,0.0,0.37,0.0,0.0,0.0,18.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
39,Lucas Ahijado,ESP,DF,Oviedo,La Liga,0.0,1995.0,4.1,0,0,1,33.3,0.73,0.24,0.0,0.0,18.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,3,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
40,Ola Aina,NGA,DF,Nott'ham Forest,Premier League,0.0,1996.0,3.0,0,0,0,0.0,0.67,0.0,0.0,0.0,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0,2,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
41,Abdelhamid Ait Boudlal,MAR,DF,Rennes,Ligue 1,0.0,2006.0,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
42,Rayan Aït-Nouri,ALG,DF,Manchester City,Premier League,0.0,2001.0,2.2,0,0,0,0.0,0.89,0.0,0.0,0.0,24.9,0,0,0,0.0,0.0,0.02,0.0,0.0,2,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
43,Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,0.0,1998.0,4.4,3,0,5,38.5,2.98,1.15,0.23,0.6,14.6,0,0,0,2.8,2.4,0.18,0.2,0.6,13,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
44,Junior Ajayi,CIV,FW,Hellas Verona,Serie A,0.0,2004.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
45,Kristoffer Ajer,NOR,DF,Brentford,Premier League,0.0,1998.0,1.3,0,0,1,50.0,1.5,0.75,0.0,0.0,11.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,2,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
46,Ludovic Ajorque,FRA,FW,Brest,Ligue 1,0.0,1994.0,6.9,1,0,4,26.7,2.16,0.58,0.07,0.25,12.1,0,0,0,2.7,2.7,0.18,-1.7,-1.7,15,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
47,Manuel Akanji,SUI,DF,Inter,Serie A,0.0,1995.0,4.0,0,0,0,0.0,1.0,0.0,0.0,0.0,20.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2,4,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
48,Nathan Aké,NED,DF,Manchester City,Premier League,0.0,1995.0,1.3,0,0,0,0.0,1.57,0.0,0.0,0.0,11.0,0,0,0,0.2,0.2,0.09,-0.2,-0.2,2,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
49,Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,0.0,2004.0,1.5,0,0,2,100.0,1.37,1.37,0.0,0.0,18.8,0,0,0,0.3,0.3,0.17,-0.3,-0.3,2,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
50,Ebenezer Akinsanmiro,NGA,MF,Pisa,Serie A,0.0,2004.0,4.3,0,0,2,50.0,0.93,0.46,0.0,0.0,29.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,4,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
51,Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,0.0,2002.0,6.0,2,0,3,30.0,1.67,0.5,0.2,0.67,16.4,0,0,0,2.3,2.3,0.23,-0.3,-0.3,10,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
52,Clément Akpa,CIV,DF,Auxerre,Ligue 1,0.0,2001.0,5.0,0,0,0,0.0,0.6,0.0,0.0,0.0,27.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,3,1,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
53,Jean-Daniel Akpa-Akpro,CIV,MF,Hellas Verona,Serie A,0.0,1992.0,2.2,0,0,1,33.3,1.37,0.46,0.0,0.0,20.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,3,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
54,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,0.0,1995.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
55,David Alaba,AUT,DF,Real Madrid,La Liga,0.0,1992.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
56,Carlos Alcaraz,ARG,"MF,FW",Everton,Premier League,0.0,2002.0,1.8,0,0,2,66.7,1.64,1.09,0.0,0.0,17.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2,3,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
57,Omar Alderete,PAR,DF,Sunderland,Premier League,0.0,1996.0,6.4,1,0,2,33.3,0.93,0.31,0.17,0.5,12.8,0,0,0,0.6,0.6,0.1,0.4,0.4,6,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
58,Alexandre Alemão,BRA,FW,Rayo Vallecano,La Liga,0.0,1998.0,3.1,0,0,3,37.5,2.61,0.98,0.0,0.0,12.5,0,0,0,1.1,1.1,0.13,-1.1,-1.1,8,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
59,Carles Aleñá,ESP,"MF,FW",Alavés,La Liga,0.0,1998.0,5.7,0,0,0,0.0,0.88,0.0,0.0,0.0,20.9,0,0,0,0.5,0.5,0.11,-0.5,-0.5,5,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
60,Trent Alexander-Arnold,ENG,DF,Real Madrid,La Liga,0.0,1998.0,1.7,0,0,0,0.0,0.6,0.0,0.0,0.0,25.4,0,0,0,0.0,0.0,0.02,0.0,0.0,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
61,Alfon,ESP,"FW,DF",Sevilla,La Liga,0.0,1999.0,1.8,1,0,4,80.0,2.76,2.21,0.2,0.25,19.7,0,0,0,0.3,0.3,0.06,0.7,0.7,5,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
62,Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,0.0,2004.0,1.7,0,0,0,0.0,0.6,0.0,0.0,0.0,13.8,0,0,0,0.0,0.0,0.02,0.0,0.0,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
63,Alisson,BRA,GK,Liverpool,Premier League,0.0,1992.0,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
64,Jim Allevinah,GAB,"FW,DF",Angers,Ligue 1,0.0,1995.0,0.9,0,0,0,0.0,2.25,0.0,0.0,0.0,19.1,0,0,0,0.3,0.3,0.13,-0.3,-0.3,2,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
65,Thiago Almada,ARG,"MF,FW",Atlético Madrid,La Liga,0.0,2001.0,2.3,0,0,1,33.3,1.31,0.44,0.0,0.0,13.8,0,0,0,0.2,0.2,0.07,-0.2,-0.2,3,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
66,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,0.0,2000.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
67,Pontus Almqvist,SWE,"DF,MF",Parma,Serie A,0.0,1999.0,3.2,0,0,0,0.0,0.31,0.0,0.0,0.0,16.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
68,Marcos Alonso,ESP,DF,Celta Vigo,La Liga,0.0,1990.0,4.3,0,0,0,0.0,0.94,0.0,0.0,0.0,22.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,4,1,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
69,Adrià Altimira,ESP,DF,Villarreal,La Liga,0.0,2001.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
70,Sergi Altimira,ESP,MF,Betis,La Liga,0.0,2001.0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
71,Carlos Álvarez,ESP,MF,Levante,La Liga,0.0,2003.0,5.4,2,0,4,44.4,1.65,0.73,0.22,0.5,17.5,0,0,0,0.8,0.8,0.09,1.2,1.2,9,1,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
72,Hugo Álvarez,ESP,"FW,DF",Celta Vigo,La Liga,0.0,2003.0,3.4,1,0,1,100.0,0.29,0.29,1.0,1.0,19.4,0,0,0,0.1,0.1,0.05,0.9,0.9,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
73,Julián Álvarez,ARG,FW,Atlético Madrid,La Liga,0.0,2000.0,6.9,6,0,9,56.3,2.31,1.3,0.31,0.56,20.8,0,1,2,3.9,2.3,0.14,2.1,2.7,16,4,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
74,Skelly Alvero,FRA,DF,Werder Bremen,Bundesliga,0.0,2002.0,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
75,Giuseppe Ambrosino,ITA,FW,Napoli,Serie A,0.0,2003.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
76,Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,0.0,2003.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
77,Kelvin Amian,FRA,DF,Nantes,Ligue 1,0.0,1998.0,7.0,0,0,0,0.0,0.57,0.0,0.0,0.0,25.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,4,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
78,Michael Amir Murillo,PAN,"DF,MF",Marseille,Ligue 1,0.0,1996.0,5.1,1,0,1,33.3,0.58,0.19,0.33,1.0,18.8,0,0,0,0.2,0.2,0.05,0.8,0.8,3,1,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
79,Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,0.0,1996.0,5.5,1,0,2,20.0,1.82,0.36,0.0,0.0,24.9,0,1,1,1.2,0.4,0.04,-0.2,-0.4,10,1,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
80,Samuel Amo-Ameyaw,ENG,"DF,FW",Strasbourg,Ligue 1,0.0,2006.0,2.3,0,0,0,0.0,0.87,0.0,0.0,0.0,14.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
81,Mathis Amougou,FRA,MF,Strasbourg,Ligue 1,0.0,2006.0,1.5,0,0,1,50.0,1.35,0.68,0.0,0.0,15.0,0,0,0,0.2,0.2,0.09,-0.2,-0.2,2,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
82,Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,0.0,2000.0,4.3,2,0,3,20.0,3.49,0.7,0.07,0.33,14.6,0,1,1,2.3,1.5,0.1,-0.3,-0.5,15,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
83,Ethan Ampadu,WAL,MF,Leeds United,Premier League,0.0,2000.0,4.9,0,0,0,0.0,0.21,0.0,0.0,0.0,35.4,0,0,0,0.0,0.0,0.02,0.0,0.0,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
84,Sofyan Amrabat,MAR,MF,Betis,La Liga,0.0,1996.0,2.2,0,0,1,25.0,1.82,0.45,0.0,0.0,26.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,4,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
85,Joachim Andersen,DEN,DF,Fulham,Premier League,0.0,1996.0,7.0,0,0,0,0.0,0.43,0.0,0.0,0.0,9.4,0,0,0,0.4,0.4,0.14,-0.4,-0.4,3,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
86,Elliot Anderson,ENG,MF,Nott'ham Forest,Premier League,0.0,2002.0,7.0,0,0,2,22.2,1.29,0.29,0.0,0.0,21.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6,9,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
87,André,BRA,MF,Wolves,Premier League,0.0,2001.0,4.9,0,0,0,0.0,0.2,0.0,0.0,0.0,33.2,0,0,0,0.0,0.0,0.02,0.0,0.0,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
88,Benjamin André,FRA,MF,Lille,Ligue 1,0.0,1990.0,5.0,0,0,1,50.0,0.4,0.2,0.0,0.0,12.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,2,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
89,Robert Andrich,GER,MF,Leverkusen,Bundesliga,0.0,1994.0,3.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
90,Miguel Ángel Rubio,ESP,DF,Espanyol,La Liga,0.0,1998.0,1.4,1,0,1,100.0,0.7,0.7,1.0,1.0,4.5,0,0,0,0.7,0.7,0.65,0.3,0.3,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
91,Angeliño,ESP,"DF,MF",Roma,Serie A,0.0,1997.0,4.3,0,0,2,50.0,0.93,0.47,0.0,0.0,13.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,4,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
92,Samuele Angori,ITA,DF,Pisa,Serie A,0.0,2003.0,3.1,0,0,0,0.0,0.32,0.0,0.0,0.0,33.1,0,0,0,0.0,0.0,0.02,0.0,0.0,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
93,Faustino Anjorin,ENG,"MF,FW",Torino,Serie A,0.0,2001.0,0.3,0,0,0,0.0,3.1,0.0,0.0,0.0,16.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
94,Ilyas Ansah,GER,"MF,FW",Union Berlin,Bundesliga,0.0,2004.0,4.5,4,0,4,50.0,1.79,0.9,0.5,1.0,17.2,0,0,0,0.9,0.9,0.12,3.1,3.1,8,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
95,Aaron Anselmino,ARG,DF,Dortmund,Bundesliga,0.0,2005.0,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
96,Jaidon Anthony,ENG,"MF,FW",Burnley,Premier League,0.0,1999.0,6.5,4,0,7,58.3,1.84,1.07,0.33,0.57,14.1,0,0,0,2.1,2.1,0.17,1.9,1.9,12,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
97,Waldemar Anton,GER,DF,Dortmund,Bundesliga,0.0,1996.0,6.0,1,0,1,50.0,0.33,0.17,0.5,1.0,21.1,0,0,0,0.1,0.1,0.03,0.9,0.9,2,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
98,Antoniu,ESP,FW,Espanyol,La Liga,0.0,2002.0,0.2,0,0,0,0.0,8.57,0.0,0.0,0.0,20.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
99,Antony,BRA,FW,Betis,La Liga,0.0,2000.0,3.6,0,0,5,38.5,3.59,1.38,0.0,0.0,20.0,0,0,0,1.0,1.0,0.07,-1.0,-1.0,13,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
100,Youssef El-Arabi,MAR,"FW,MF",Nantes,Ligue 1,0.0,1987.0,0.3,1,0,1,100.0,3.21,3.21,1.0,1.0,11.2,0,0,0,0.1,0.1,0.12,0.9,0.9,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
101,Mauro Arambarri,URU,MF,Getafe,La Liga,0.0,1995.0,7.8,1,0,4,33.3,1.55,0.52,0.08,0.25,18.0,0,0,0,0.8,0.8,0.07,0.2,0.2,12,1,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
