rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,passes_attempted,passes_live,passes_dead,passes_free_kick,passes_through_ball,passes_switched,passes_crosses,passes_throw_in,passes_corner_kick,passes_in,passes_out,passes_straight,passes_completed,passes_offsides,passes_blocks,season,table_type,processed_at
1278,Ramón Martínez,ESP,DF,Sevilla,La Liga,0.0,2002.0,0.2,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1279,Toni Martínez,ESP,FW,Alavés,La Liga,0.0,1997.0,5.5,107,103,4,0,0,1,2,0,0,0,0,0,57,0,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1280,Adam Marušić,MNE,DF,Lazio,Serie A,0.0,1992.0,3.6,234,197,37,8,0,1,3,29,0,0,0,0,204,0,4,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1281,Omar Mascarell,EQG,MF,Mallorca,La Liga,0.0,1993.0,1.7,56,56,0,0,0,1,0,0,0,0,0,0,50,0,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1282,Adam Masina,MAR,DF,Torino,Serie A,0.0,1994.0,1.2,58,49,9,4,0,0,0,0,0,0,0,0,51,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1283,Patrizio Masini,ITA,MF,Genoa,Serie A,0.0,2001.0,5.8,201,194,7,6,0,1,4,1,0,0,0,0,142,0,10,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1284,Han-Noah Massengo,FRA,MF,Augsburg,Bundesliga,0.0,2001.0,5.8,244,231,10,6,0,0,6,3,0,0,0,0,207,3,4,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1285,Franco Mastantuono,ARG,"FW,DF",Real Madrid,La Liga,0.0,2007.0,4.5,236,221,15,5,4,3,15,1,9,5,1,0,203,0,5,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1286,Arthur Masuaku,COD,"DF,MF",Sunderland,Premier League,0.0,1993.0,1.4,62,55,7,1,0,2,8,6,0,0,0,0,45,0,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1287,Clinton Mata,ANG,DF,Lyon,Ligue 1,0.0,1992.0,6.9,436,399,37,11,2,3,3,4,0,0,0,0,398,0,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1288,Igor Matanovic,CRO,FW,Freiburg,Bundesliga,0.0,2003.0,0.6,18,18,0,0,0,0,0,0,0,0,0,0,13,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1289,Pape Matar Sarr,SEN,MF,Tottenham,Premier League,0.0,2002.0,4.2,163,156,7,2,1,1,1,1,0,0,0,0,134,0,3,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1290,Jean-Philippe Mateta,FRA,FW,Crystal Palace,Premier League,0.0,1997.0,6.7,82,77,5,0,2,0,2,0,0,0,0,0,52,0,10,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1291,Nemanja Matić,SRB,MF,Sassuolo,Serie A,0.0,1988.0,4.9,251,239,9,8,2,2,0,1,0,0,0,0,196,3,4,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
