rank,player_name,nation,position,squad,competition,age,birth_year,matches_played,starts,minutes,nineties_played,goals,assists,goals_assists,goals_minus_pk,penalty_goals,penalty_attempts,yellow_cards,red_cards,expected_goals,non_penalty_xg,expected_assists,npxg_plus_xag,progressive_carries,progressive_passes,progressive_receives,goals_assists_minus_pk,xg_plus_xag,MP,Starts,Min,season,table_type,processed_at
11,Abdel Abqar,MAR,DF,Getafe,La Liga,0.0,1999.0,0,0,0,4.3,0,1,1,0,0,0,3,0,0.1,0.1,0.2,0.4,2,4,0,0.23,0.09,5,5,387.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
12,Francis Abu,GHA,MF,Toulouse,Ligue 1,0.0,2001.0,0,0,0,2.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,9,1,0.0,0.02,4,3,246.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
13,Giorgi Abuashvili,GEO,FW,Metz,Ligue 1,0.0,2003.0,0,0,0,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,8,6,7,0.0,0.13,4,2,151.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
14,Francesco Acerbi,ITA,DF,Inter,Serie A,0.0,1988.0,0,0,0,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,16,0,0.0,0.02,4,4,352.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
15,Ragnar Ache,GER,"FW,DF",Köln,Bundesliga,0.0,1998.0,0,0,0,2.1,0,2,2,0,0,0,0,0,1.0,1.0,0.7,1.7,1,5,3,0.95,0.82,6,1,190.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
16,Joshua Acheampong,ENG,DF,Chelsea,Premier League,0.0,2006.0,0,0,0,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,4,0,0.0,0.04,3,2,194.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
17,Akor Adams,NGA,FW,Sevilla,La Liga,0.0,2000.0,0,0,0,3.8,2,1,3,2,0,0,1,0,2.0,2.0,0.1,2.1,7,5,15,0.8,0.57,6,3,338.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
18,Che Adams,SCO,"FW,MF",Torino,Serie A,0.0,1996.0,0,0,0,1.8,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,1,1,13,0.55,0.31,6,0,163.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
19,Tyler Adams,USA,MF,Bournemouth,Premier League,0.0,1999.0,0,0,0,6.7,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.2,3,31,4,0.0,0.03,7,7,603.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
20,Junior Adamu,AUT,FW,Freiburg,Bundesliga,0.0,2001.0,0,0,0,2.6,1,1,2,1,0,0,0,0,1.3,1.3,1.0,2.4,1,1,10,0.78,0.92,4,3,231.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
21,Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,0.0,1997.0,0,0,0,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,15,0,0.0,0.01,4,3,354.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
22,Jayden Addai,NED,FW,Como,Serie A,0.0,2005.0,0,0,0,2.0,1,0,1,1,0,0,1,0,0.4,0.4,0.1,0.6,11,5,22,0.49,0.28,4,1,183.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
23,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,0.0,2002.0,0,0,0,3.6,2,1,3,2,0,0,1,0,1.0,1.0,1.0,2.0,12,7,42,0.83,0.55,6,5,326.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
24,Simon Adingra,CIV,FW,Sunderland,Premier League,0.0,2002.0,0,0,0,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,6,2,33,0.0,0.24,6,4,273.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
25,Amine Adli,MAR,"FW,MF",Bournemouth,Premier League,0.0,2000.0,0,0,0,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,3,5,17,0.0,0.17,5,1,151.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
26,Vasilije Adžić,MNE,MF,Juventus,Serie A,0.0,2006.0,0,0,0,1.2,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,1,7,7,0.83,0.26,3,1,109.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
27,Michel Aebischer,SUI,MF,Pisa,Serie A,0.0,1997.0,0,0,0,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,4,23,0,0.0,0.11,5,5,403.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
28,David Affengruber,AUT,DF,Elche,La Liga,0.0,2001.0,0,0,0,7.4,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,2,22,1,0.0,0.02,8,7,663.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
29,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,0.0,1998.0,0,0,0,0.5,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,3,1,6,0.0,0.97,4,0,46.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
30,Emmanuel Agbadou,CIV,DF,Wolves,Premier League,0.0,1997.0,0,0,0,5.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,3,26,5,0.0,0.09,7,5,526.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
31,Julen Agirrezabala,ESP,GK,Valencia,La Liga,0.0,2000.0,0,0,0,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,8,8,720.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
32,Lucien Agoume,FRA,MF,Sevilla,La Liga,0.0,2002.0,0,0,0,6.8,1,1,2,1,0,0,3,0,0.1,0.1,0.8,0.8,12,35,12,0.3,0.13,7,7,609.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
33,Felix Agu,NGA,DF,Werder Bremen,Bundesliga,0.0,1999.0,0,0,0,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,9,12,28,0.0,0.07,6,6,483.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
34,Marc Aguado,ESP,MF,Elche,La Liga,0.0,2000.0,0,0,0,4.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,19,4,0.0,0.01,7,5,399.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
35,Nayef Aguerd,MAR,DF,West Ham,Premier League,0.0,1996.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,9,0,0.0,0.05,2,2,180.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
36,Nayef Aguerd,MAR,DF,Marseille,Ligue 1,0.0,1996.0,0,0,0,4.0,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,2,13,1,0.25,0.08,4,4,360.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
37,Ruben Aguilar,FRA,DF,Lens,Ligue 1,0.0,1993.0,0,0,0,6.1,0,0,0,0,0,0,1,0,0.2,0.2,1.0,1.2,10,24,45,0.0,0.2,7,7,549.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
38,Honest Ahanor,ITA,DF,Atalanta,Serie A,0.0,2008.0,0,0,0,2.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,7,2,0.0,0.02,3,2,244.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
39,Lucas Ahijado,ESP,DF,Oviedo,La Liga,0.0,1995.0,0,0,0,4.1,0,1,1,0,0,0,1,0,0.2,0.2,0.5,0.7,4,11,4,0.24,0.16,5,3,371.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
40,Ola Aina,NGA,DF,Nott'ham Forest,Premier League,0.0,1996.0,0,0,0,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,5,11,8,0.0,0.06,3,3,270.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
41,Abdelhamid Ait Boudlal,MAR,DF,Rennes,Ligue 1,0.0,2006.0,0,0,0,0.8,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,3,1,0.0,0.0,2,2,75.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
42,Rayan Aït-Nouri,ALG,DF,Manchester City,Premier League,0.0,2001.0,0,0,0,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,6,7,8,0.0,0.11,3,3,202.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
43,Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,0.0,1998.0,0,0,0,4.4,3,0,3,3,0,0,0,0,2.8,2.4,0.5,2.9,7,9,24,0.69,0.76,7,5,393.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
44,Junior Ajayi,CIV,FW,Hellas Verona,Serie A,0.0,2004.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0,1.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
45,Kristoffer Ajer,NOR,DF,Brentford,Premier League,0.0,1998.0,0,0,0,1.3,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,0,6,0,0.75,0.57,4,1,120.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
46,Ludovic Ajorque,FRA,FW,Brest,Ligue 1,0.0,1994.0,0,0,0,6.9,1,3,4,1,0,0,2,0,2.7,2.7,1.0,3.7,4,12,26,0.58,0.53,7,7,624.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
47,Manuel Akanji,SUI,DF,Inter,Serie A,0.0,1995.0,0,0,0,4.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7,25,5,0.0,0.09,4,4,360.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
48,Nathan Aké,NED,DF,Manchester City,Premier League,0.0,1995.0,0,0,0,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,6,2,0.0,0.22,4,0,115.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
49,Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,0.0,2004.0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.3,0.3,0.7,1.0,6,6,10,0.0,0.68,4,2,131.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
50,Ebenezer Akinsanmiro,NGA,MF,Pisa,Serie A,0.0,2004.0,0,0,0,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,3,18,7,0.0,0.07,5,4,389.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
51,Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,0.0,2002.0,0,0,0,6.0,2,1,3,2,0,0,1,0,2.3,2.3,0.9,3.2,23,29,46,0.5,0.54,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
52,Clément Akpa,CIV,DF,Auxerre,Ligue 1,0.0,2001.0,0,0,0,5.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,24,2,0.0,0.08,6,5,450.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
53,Jean-Daniel Akpa-Akpro,CIV,MF,Hellas Verona,Serie A,0.0,1992.0,0,0,0,2.2,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,1,2,1,0.0,0.09,4,2,197.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
54,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,0.0,1995.0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,2,0,25.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
55,David Alaba,AUT,DF,Real Madrid,La Liga,0.0,1992.0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,2,0,12.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
56,Carlos Alcaraz,ARG,"MF,FW",Everton,Premier League,0.0,2002.0,0,0,0,1.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,2,5,11,0.0,0.14,5,1,165.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
57,Omar Alderete,PAR,DF,Sunderland,Premier League,0.0,1996.0,0,0,0,6.4,1,1,2,1,0,0,1,0,0.6,0.6,0.0,0.7,10,29,2,0.31,0.1,7,6,578.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
58,Alexandre Alemão,BRA,FW,Rayo Vallecano,La Liga,0.0,1998.0,0,0,0,3.1,0,0,0,0,0,0,0,0,1.1,1.1,0.0,1.1,0,3,15,0.0,0.35,5,3,276.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
59,Carles Aleñá,ESP,"MF,FW",Alavés,La Liga,0.0,1998.0,0,0,0,5.7,0,3,3,0,0,0,0,0,0.5,0.5,1.0,1.5,1,16,22,0.53,0.27,8,6,513.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
60,Trent Alexander-Arnold,ENG,DF,Real Madrid,La Liga,0.0,1998.0,0,0,0,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,5,4,0.0,0.04,4,2,151.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
61,Alfon,ESP,"FW,DF",Sevilla,La Liga,0.0,1999.0,0,0,0,1.8,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.5,6,3,12,0.55,0.26,3,3,163.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
62,Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,0.0,2004.0,0,0,0,1.7,0,2,2,0,0,0,0,0,0.0,0.0,0.8,0.8,9,8,17,1.2,0.48,3,2,150.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
63,Alisson,BRA,GK,Liverpool,Premier League,0.0,1992.0,0,0,0,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
64,Jim Allevinah,GAB,"FW,DF",Angers,Ligue 1,0.0,1995.0,0,0,0,0.9,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,1,1,0.0,0.29,3,0,80.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
65,Thiago Almada,ARG,"MF,FW",Atlético Madrid,La Liga,0.0,2001.0,0,0,0,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,5,15,8,0.0,0.35,3,3,206.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
66,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,0.0,2000.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,11,5,0.0,0.02,3,1,88.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
67,Pontus Almqvist,SWE,"DF,MF",Parma,Serie A,0.0,1999.0,0,0,0,3.2,0,0,0,0,0,0,0,0,0.1,0.1,1.0,1.0,10,1,21,0.0,0.32,5,3,291.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
68,Marcos Alonso,ESP,DF,Celta Vigo,La Liga,0.0,1990.0,0,0,0,4.3,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,23,43,9,0.0,0.11,5,4,384.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
69,Adrià Altimira,ESP,DF,Villarreal,La Liga,0.0,2001.0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,1,0,9.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
70,Sergi Altimira,ESP,MF,Betis,La Liga,0.0,2001.0,0,0,0,5.0,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,7,12,2,0.2,0.03,7,5,450.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
71,Carlos Álvarez,ESP,MF,Levante,La Liga,0.0,2003.0,0,0,0,5.4,2,1,3,2,0,0,1,0,0.8,0.8,1.3,2.1,15,34,15,0.55,0.39,8,6,490.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
72,Hugo Álvarez,ESP,"FW,DF",Celta Vigo,La Liga,0.0,2003.0,0,0,0,3.4,1,0,1,1,0,0,0,0,0.1,0.1,0.2,0.2,7,15,24,0.29,0.06,6,3,306.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
73,Julián Álvarez,ARG,FW,Atlético Madrid,La Liga,0.0,2000.0,0,0,0,6.9,6,1,7,5,1,2,1,0,3.9,2.3,1.7,4.0,16,29,38,0.87,0.81,8,8,623.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
74,Skelly Alvero,FRA,DF,Werder Bremen,Bundesliga,0.0,2002.0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.0,0.0,2,0,34.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
75,Giuseppe Ambrosino,ITA,FW,Napoli,Serie A,0.0,2003.0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,1,0,16.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
76,Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,0.0,2003.0,0,0,0,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,1,0.0,0.0,2,0,14.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
77,Kelvin Amian,FRA,DF,Nantes,Ligue 1,0.0,1998.0,0,0,0,7.0,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,13,30,12,0.0,0.08,7,7,630.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
78,Michael Amir Murillo,PAN,"DF,MF",Marseille,Ligue 1,0.0,1996.0,0,0,0,5.1,1,0,1,1,0,0,3,0,0.2,0.2,0.5,0.6,7,20,34,0.19,0.12,7,5,462.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
79,Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,0.0,1996.0,0,0,0,5.5,1,0,1,0,1,1,2,0,1.2,0.4,0.4,0.8,12,56,13,0.0,0.29,6,6,494.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
80,Samuel Amo-Ameyaw,ENG,"DF,FW",Strasbourg,Ligue 1,0.0,2006.0,0,0,0,2.3,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,14,8,21,0.43,0.17,5,1,207.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
81,Mathis Amougou,FRA,MF,Strasbourg,Ligue 1,0.0,2006.0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,5,8,10,0.0,0.23,3,2,133.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
82,Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,0.0,2000.0,0,0,0,4.3,2,1,3,1,1,1,0,0,2.3,1.5,1.6,3.1,11,8,31,0.47,0.9,6,4,387.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
83,Ethan Ampadu,WAL,MF,Leeds United,Premier League,0.0,2000.0,0,0,0,4.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,5,16,6,0.0,0.01,5,5,437.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
84,Sofyan Amrabat,MAR,MF,Betis,La Liga,0.0,1996.0,0,0,0,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,13,0,0.0,0.1,3,2,198.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
85,Joachim Andersen,DEN,DF,Fulham,Premier League,0.0,1996.0,0,0,0,7.0,0,0,0,0,0,0,0,0,0.4,0.4,0.7,1.1,7,28,3,0.0,0.16,7,7,630.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
86,Elliot Anderson,ENG,MF,Nott'ham Forest,Premier League,0.0,2002.0,0,0,0,7.0,0,1,1,0,0,0,2,0,0.6,0.6,1.3,1.9,12,63,21,0.14,0.27,7,7,630.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
87,André,BRA,MF,Wolves,Premier League,0.0,2001.0,0,0,0,4.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,18,3,0.0,0.0,7,5,443.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
88,Benjamin André,FRA,MF,Lille,Ligue 1,0.0,1990.0,0,0,0,5.0,0,1,1,0,0,0,2,0,0.1,0.1,0.7,0.8,7,28,18,0.2,0.17,5,5,450.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
89,Robert Andrich,GER,MF,Leverkusen,Bundesliga,0.0,1994.0,0,0,0,3.4,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,2,4,4,0.0,0.0,5,4,305.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
90,Miguel Ángel Rubio,ESP,DF,Espanyol,La Liga,0.0,1998.0,0,0,0,1.4,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,0,1,0,0.7,0.46,4,1,128.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
91,Angeliño,ESP,"DF,MF",Roma,Serie A,0.0,1997.0,0,0,0,4.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,6,25,31,0.0,0.06,5,5,387.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
92,Samuele Angori,ITA,DF,Pisa,Serie A,0.0,2003.0,0,0,0,3.1,0,1,1,0,0,0,0,0,0.0,0.0,1.3,1.3,0,4,4,0.32,0.42,5,3,278.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
93,Faustino Anjorin,ENG,"MF,FW",Torino,Serie A,0.0,2001.0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,1,0.0,0.17,3,0,29.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
94,Ilyas Ansah,GER,"MF,FW",Union Berlin,Bundesliga,0.0,2004.0,0,0,0,4.5,4,0,4,4,0,0,0,0,0.9,0.9,0.3,1.3,11,10,21,0.9,0.29,6,5,402.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
95,Aaron Anselmino,ARG,DF,Dortmund,Bundesliga,0.0,2005.0,0,0,0,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,10,1,0.0,0.0,1,1,75.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
96,Jaidon Anthony,ENG,"MF,FW",Burnley,Premier League,0.0,1999.0,0,0,0,6.5,4,1,5,4,0,0,2,0,2.1,2.1,0.3,2.4,14,11,32,0.77,0.37,7,7,587.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
97,Waldemar Anton,GER,DF,Dortmund,Bundesliga,0.0,1996.0,0,0,0,6.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,5,32,0,0.17,0.01,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
98,Antoniu,ESP,FW,Espanyol,La Liga,0.0,2002.0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,0,4,0.0,0.54,3,0,21.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
99,Antony,BRA,FW,Betis,La Liga,0.0,2000.0,0,0,0,3.6,0,0,0,0,0,0,1,0,1.0,1.0,0.4,1.4,20,14,39,0.0,0.38,4,4,326.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
100,Youssef El-Arabi,MAR,"FW,MF",Nantes,Ligue 1,0.0,1987.0,0,0,0,0.3,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,1,2,3.21,0.48,5,0,28.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
101,Mauro Arambarri,URU,MF,Getafe,La Liga,0.0,1995.0,0,0,0,7.8,1,0,1,1,0,0,1,0,0.8,0.8,0.1,0.8,6,26,16,0.13,0.11,8,8,699.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
102,Jon Aramburu,VEN,DF,Real Sociedad,La Liga,0.0,2002.0,0,0,0,6.2,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,5,38,15,0.0,0.17,7,6,558.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
103,Ronald Araújo,URU,DF,Barcelona,La Liga,0.0,1999.0,0,0,0,4.4,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,8,19,2,0.23,0.05,6,5,398.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
