table_name,column_name,definition
Shooting,G/Sh,Goals/ShotGoals per shotMinimum .395 shots per squad game to qualify as a leader
Shooting,G/SoT,Goals/Shot on TargetGoals per shot on targetMinimum .111 shots on target per squad game to qualify as a leaderNote: Shots on target do not include penalty kicks
Shooting,Dist,"Average Shot DistanceAverage distance, in yards, from goal of all shots takenMinimum .395 shots per squad game to qualify as a leaderDoes not include penalty kicks"
Shooting,FK,Shots from Free KicksShots from Free Kicks
Shooting,PK,Penalty Kicks MadePenalty Kicks Made
Shooting,PKatt,Penalty Kicks AttemptedPenalty Kicks Attempted
Shooting,xG,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available."
Shooting,npxG,"npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available."
Shooting,npxG/Sh,"npxG/ShotNon-Penalty Expected Goals per shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum .395 shots per squad game to qualify as a leader"
Shooting,G-xG,"Goals - xGGoals minus Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available."
Shooting,np:G-xG,"Non-Penalty Goals - npxGNon-Penalty Goals minus Non-Penalty Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available."
Passing,Rk,RankThis is a count of the rows from top to bottom.It is recalculated following the sorting of a column.
Passing,Nation,"Nationality of the player.First, we check our records in international play at senior level.Then youth level.Then citizenship presented on wikipedia.Finally, we use their birthplace when available."
Passing,Pos,PositionPosition most commonly played by the playerGK - GoalkeepersDF - DefendersMF - MidfieldersFW - ForwardsFB - FullbacksLB - Left BacksRB - Right BacksCB - Center BacksDM - Defensive MidfieldersCM - Central MidfieldersLM - Left MidfieldersRM - Right MidfieldersWM - Wide MidfieldersLW - Left WingersRW - Right WingersAM - Attacking Midfielders
Passing,Comp,CompetitionCompetitionNumber next to competition states which level in the country's league pyramid this league occupies.
Passing,Age,Current ageAge at season startGiven on August 1 for winter leaguesand February 1 for summer leagues.
Passing,Born,Year of birth
Passing,90s,90s Played90s playedMinutes played divided by 90
Passing,Cmp,"Passes CompletedPasses CompletedIncludes live ball passes (including crosses) as well as corner kicks, throw-ins, free kicks and goal kicks."
Passing,Att,"Passes AttemptedPasses AttemptedIncludes live ball passes (including crosses) as well as corner kicks, throw-ins, free kicks and goal kicks."
Passing,Cmp%,"Pass Completion %Pass Completion PercentageMinimum 30 minutes played per squad game to qualify as a leaderIncludes live ball passes (including crosses) as well as corner kicks, throw-ins, free kicks and goal kicks."
Passing,TotDist,"Total Passing DistanceTotal distance, in yards, that completed passes have traveled in any direction"
Passing,PrgDist,"Progressive Passing DistanceProgressive DistanceTotal distance, in yards, that completed passes have traveled towards the opponent's goal. Note: Passes away from opponent's goal are counted as zero progressive yards."
Passing,Ast,AssistsAssists
Passing,xAG,"xAG: Exp. Assisted GoalsExpected Assisted GoalsxG which follows a pass that assists a shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available."
Passing,xA,"xA: Expected AssistsExpected AssistsThe likelihood each completed pass becomes a goal assistsgiven the pass type, phase of play, location and distance.Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader"
Passing,A-xAG,"Assists - xAGAssists minus Expected Goals AssistedProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available."
Passing,KP,Key PassesPasses that directly lead to a shot (assisted shots)
Passing,1/3,Passes into Final ThirdCompleted passes that enter the 1/3 of the pitch closest to the goalNot including set pieces
Passing,PPA,Passes into Penalty AreaCompleted passes into the 18-yard boxNot including set pieces
Passing,CrsPA,Crosses into Penalty AreaCompleted crosses into the 18-yard boxNot including set pieces
Passing,PrgP,"Progressive PassesProgressive PassesCompleted passes that move the ball towards the opponent's goal line at least 10 yards from its furthest point in the last six passes, or any completed pass into the penalty area. Excludes passes from the defending 40% of the pitch"
Pass Types,Rk,RankThis is a count of the rows from top to bottom.It is recalculated following the sorting of a column.
Pass Types,Nation,"Nationality of the player.First, we check our records in international play at senior level.Then youth level.Then citizenship presented on wikipedia.Finally, we use their birthplace when available."
Pass Types,Pos,PositionPosition most commonly played by the playerGK - GoalkeepersDF - DefendersMF - MidfieldersFW - ForwardsFB - FullbacksLB - Left BacksRB - Right BacksCB - Center BacksDM - Defensive MidfieldersCM - Central MidfieldersLM - Left MidfieldersRM - Right MidfieldersWM - Wide MidfieldersLW - Left WingersRW - Right WingersAM - Attacking Midfielders
Pass Types,Comp,CompetitionCompetitionNumber next to competition states which level in the country's league pyramid this league occupies.
Pass Types,Age,Current ageAge at season startGiven on August 1 for winter leaguesand February 1 for summer leagues.
Pass Types,Born,Year of birth
Pass Types,90s,90s Played90s playedMinutes played divided by 90
Pass Types,Att,"Passes AttemptedPasses AttemptedIncludes live ball passes (including crosses) as well as corner kicks, throw-ins, free kicks and goal kicks."
Pass Types,Live,Live-ball PassesLive-ball Passes
Pass Types,Dead,"Dead-ball PassesDead-ball PassesIncludes free kicks, corner kicks, kick offs, throw-ins and goal kicks"
Pass Types,FK,Passes from Free KicksPasses attempted from free kicks
Pass Types,TB,Through BallsCompleted pass sent between back defenders into open space
Pass Types,Sw,SwitchesPasses that travel more than 40 yards of the width of the pitch
Pass Types,Crs,CrossesCrosses
Pass Types,TI,Throw-ins TakenThrow-ins Taken
Pass Types,CK,Corner KicksCorner Kicks
Pass Types,In,Inswinging Corner KicksInswinging Corner Kicks
Pass Types,Out,Outswinging Corner KicksOutswinging Corner Kicks
Pass Types,Str,Straight Corner KicksStraight Corner Kicks
Pass Types,Cmp,"Passes CompletedPasses CompletedIncludes live ball passes (including crosses) as well as corner kicks, throw-ins, free kicks and goal kicks."
Pass Types,Off,Passes OffsideOffsides
Pass Types,Blocks,Passes BlockedBlocked by the opponent who was standing in the path
Goal and Shot Creation,Rk,RankThis is a count of the rows from top to bottom.It is recalculated following the sorting of a column.
Goal and Shot Creation,Nation,"Nationality of the player.First, we check our records in international play at senior level.Then youth level.Then citizenship presented on wikipedia.Finally, we use their birthplace when available."
Goal and Shot Creation,Pos,PositionPosition most commonly played by the playerGK - GoalkeepersDF - DefendersMF - MidfieldersFW - ForwardsFB - FullbacksLB - Left BacksRB - Right BacksCB - Center BacksDM - Defensive MidfieldersCM - Central MidfieldersLM - Left MidfieldersRM - Right MidfieldersWM - Wide MidfieldersLW - Left WingersRW - Right WingersAM - Attacking Midfielders
Goal and Shot Creation,Comp,CompetitionCompetitionNumber next to competition states which level in the country's league pyramid this league occupies.
Goal and Shot Creation,Age,Current ageAge at season startGiven on August 1 for winter leaguesand February 1 for summer leagues.
Goal and Shot Creation,Born,Year of birth
Goal and Shot Creation,90s,90s Played90s playedMinutes played divided by 90
Goal and Shot Creation,SCA,"Shot-Creating ActionsShot-Creating ActionsThe two offensive actions directly leading to a shot, such as passes, take-ons and drawing fouls. Note: A single player can receive credit for multiple actions and the shot-taker can also receive credit."
Goal and Shot Creation,SCA90,Shot-Creating Actions/90Shot-Creating Actions per 90 minutesMinimum 30 minutes played per squad game to qualify as a leader
Goal and Shot Creation,PassLive,SCA (Live-ball Pass)Completed live-ball passes that lead to a shot attempt
Goal and Shot Creation,PassDead,"SCA (Dead-ball Pass)Completed dead-ball passes that lead to a shot attempt.Includes free kicks, corner kicks, kick offs, throw-ins and goal kicks"
Goal and Shot Creation,TO,SCA (Take-On)Successful take-ons that lead to a shot attempt
Goal and Shot Creation,Sh,SCA (Shot)Shots that lead to another shot attempt
Goal and Shot Creation,Fld,SCA (Fouls Drawn)Fouls drawn that lead to a shot attempt
Goal and Shot Creation,Def,SCA (Defensive Action)Defensive actions that lead to a shot attempt
Goal and Shot Creation,GCA,"Goal-Creating ActionsGoal-Creating ActionsThe two offensive actions directly leading to a goal, such as passes, take-ons and drawing fouls. Note: A single player can receive credit for multiple actions and the shot-taker can also receive credit."
Goal and Shot Creation,GCA90,Goal-Creating Actions/90Goal-Creating Actions per 90 minutesMinimum 30 minutes played per squad game to qualify as a leader
Defensive Actions,Rk,RankThis is a count of the rows from top to bottom.It is recalculated following the sorting of a column.
Defensive Actions,Nation,"Nationality of the player.First, we check our records in international play at senior level.Then youth level.Then citizenship presented on wikipedia.Finally, we use their birthplace when available."
Defensive Actions,Pos,PositionPosition most commonly played by the playerGK - GoalkeepersDF - DefendersMF - MidfieldersFW - ForwardsFB - FullbacksLB - Left BacksRB - Right BacksCB - Center BacksDM - Defensive MidfieldersCM - Central MidfieldersLM - Left MidfieldersRM - Right MidfieldersWM - Wide MidfieldersLW - Left WingersRW - Right WingersAM - Attacking Midfielders
Defensive Actions,Comp,CompetitionCompetitionNumber next to competition states which level in the country's league pyramid this league occupies.
Defensive Actions,Age,Current ageAge at season startGiven on August 1 for winter leaguesand February 1 for summer leagues.
Defensive Actions,Born,Year of birth
Defensive Actions,90s,90s Played90s playedMinutes played divided by 90
Defensive Actions,Tkl,TacklesNumber of players tackled
Defensive Actions,TklW,Tackles WonTackles in which the tackler's team won possession of the ball
Defensive Actions,Def 3rd,Tackles (Def 3rd)Tackles in defensive 1/3
Defensive Actions,Mid 3rd,Tackles (Mid 3rd)Tackles in middle 1/3
Defensive Actions,Att 3rd,Tackles (Att 3rd)Tackles in attacking 1/3
Defensive Actions,Att,Dribbles ChallengedNumber of unsuccessful challenges plus number of dribblers tackled
Defensive Actions,Tkl%,% of Dribblers TackledPercentage of dribblers tackledDribblers tackled divided by number of attempts to challenge an opposing dribblerMinimum .625 dribblers challenged per squad game to qualify as a leader
Defensive Actions,Lost,Challenges LostNumber of unsuccessful attempts to challenge a dribbling player
Defensive Actions,Blocks,Number of times blocking the ball by standing in its path
Defensive Actions,Sh,Shots BlockedNumber of times blocking a shot by standing in its path
Defensive Actions,Pass,Passes BlockedNumber of times blocking a pass by standing in its path
Defensive Actions,Int,InterceptionsInterceptions
Defensive Actions,Tkl+Int,Number of players tackled plus number of interceptions
Defensive Actions,Clr,ClearancesClearances
Defensive Actions,Err,ErrorsMistakes leading to an opponent's shot
Possession,Rk,RankThis is a count of the rows from top to bottom.It is recalculated following the sorting of a column.
Possession,Nation,"Nationality of the player.First, we check our records in international play at senior level.Then youth level.Then citizenship presented on wikipedia.Finally, we use their birthplace when available."
Possession,Pos,PositionPosition most commonly played by the playerGK - GoalkeepersDF - DefendersMF - MidfieldersFW - ForwardsFB - FullbacksLB - Left BacksRB - Right BacksCB - Center BacksDM - Defensive MidfieldersCM - Central MidfieldersLM - Left MidfieldersRM - Right MidfieldersWM - Wide MidfieldersLW - Left WingersRW - Right WingersAM - Attacking Midfielders
Possession,Comp,CompetitionCompetitionNumber next to competition states which level in the country's league pyramid this league occupies.
