rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,shot_creating_actions,shot_creating_actions_per_90,shot_creating_actions_live_pass,shot_creating_actions_dead_pass,shot_creating_actions_take_on,shot_creating_actions_shot,shot_creating_actions_foul_drawn,goal_creating_actions,goal_creating_actions_per_90,goal_creating_actions_def,season,table_type,processed_at
15,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,24.0,2000.0,21.1,34,1.61,19,0,4,6,4,7,0.33,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
16,Abdel Abqar,MAR,DF,Alavés,La Liga,25.0,1999.0,27.4,25,0.91,20,0,0,2,1,3,0.11,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
17,Tammy Abraham,ENG,FW,Roma,Serie A,26.0,1997.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
18,Tammy Abraham,ENG,FW,Milan,Serie A,26.0,1997.0,13.1,33,2.51,28,0,0,4,1,9,0.68,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
19,Federico Accornero,ITA,MF,Genoa,Serie A,20.0,2004.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
20,Francesco Acerbi,ITA,DF,Inter,Serie A,36.0,1988.0,19.0,20,1.05,20,0,0,0,0,1,0.05,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
21,Joshua Acheampong,ENG,DF,Chelsea,Premier League,18.0,2006.0,1.9,2,1.06,2,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
22,Akor Adams,NGA,FW,Sevilla,La Liga,24.0,2000.0,1.5,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
23,Akor Adams,NGA,FW,Montpellier,Ligue 1,24.0,2000.0,11.9,25,2.09,18,0,4,1,2,5,0.42,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
24,Che Adams,SCO,FW,Torino,Serie A,28.0,1996.0,29.5,63,2.14,49,1,0,8,5,5,0.17,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
25,Tyler Adams,USA,MF,Bournemouth,Premier League,25.0,1999.0,21.8,41,1.88,35,0,0,1,1,4,0.18,4,2024-2025,stats_gca,2025-10-18 04:36:50.757682
26,Junior Adamu,AUT,FW,Freiburg,Bundesliga,23.0,2001.0,17.2,29,1.69,22,0,1,3,3,3,0.17,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
27,Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,26.0,1997.0,15.7,15,0.96,8,0,0,6,0,1,0.06,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
28,Martin Adeline,FRA,MF,Reims,Ligue 1,20.0,2003.0,0.3,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
29,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,22.0,2002.0,15.9,57,3.58,35,1,12,6,2,11,0.69,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
30,Simon Adingra,CIV,"FW,MF",Brighton,Premier League,22.0,2002.0,12.2,47,3.86,33,0,6,8,0,7,0.57,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
31,Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,24.0,2000.0,8.5,29,3.41,19,0,2,4,4,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
32,Yacine Adli,FRA,MF,Fiorentina,Serie A,24.0,2000.0,13.7,50,3.64,35,10,2,2,1,10,0.73,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
33,Adrián,ESP,GK,Betis,La Liga,37.0,1987.0,19.0,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
34,Adryelson,BRA,DF,Lyon,Ligue 1,26.0,1998.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
35,Vasilije Adžić,MNE,"MF,FW",Juventus,Serie A,18.0,2006.0,0.5,2,4.29,1,0,0,1,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
36,Michel Aebischer,SUI,MF,Bologna,Serie A,27.0,1997.0,8.0,18,2.23,15,2,0,0,0,0,0.0,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
37,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,26.0,1998.0,18.2,52,2.86,28,0,12,7,5,6,0.33,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
38,Emmanuel Agbadou,CIV,DF,Wolves,Premier League,27.0,1997.0,15.7,17,1.09,15,2,0,0,0,3,0.19,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
39,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27.0,1997.0,14.0,21,1.5,19,0,1,1,0,1,0.07,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
40,Asher Agbinone,ENG,MF,Crystal Palace,Premier League,18.0,2005.0,0.1,1,15.0,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
41,Jeremy Agbonifo,SWE,"FW,MF",Lens,Ligue 1,18.0,2005.0,3.3,8,2.4,7,1,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
42,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23.0,2000.0,13.4,3,0.22,3,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
43,Lucien Agoume,FRA,MF,Sevilla,La Liga,22.0,2002.0,23.5,60,2.55,57,0,1,1,0,5,0.21,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
44,Felix Agu,NGA,DF,Werder Bremen,Bundesliga,24.0,1999.0,19.5,35,1.8,30,1,2,0,2,1,0.05,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
45,Álvaro Aguado,ESP,MF,Espanyol,La Liga,28.0,1996.0,4.9,16,3.25,13,1,1,1,0,1,0.2,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
46,Lorenzo Aguado,ESP,DF,Real Madrid,La Liga,21.0,2002.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
47,Nayef Aguerd,MAR,DF,Real Sociedad,La Liga,28.0,1996.0,19.6,16,0.82,13,1,0,2,0,1,0.05,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
48,Ruben Aguilar,FRA,"DF,MF",Lens,Ligue 1,31.0,1993.0,12.5,26,2.08,24,0,0,2,0,5,0.4,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
49,Naouirou Ahamada,FRA,"MF,FW",Rennes,Ligue 1,22.0,2002.0,0.6,2,3.1,2,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
50,Honest Ahanor,ITA,"DF,MF",Genoa,Serie A,16.0,2008.0,3.0,5,1.67,3,0,0,0,1,0,0.0,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
51,Erik Ahlstrand,SWE,"FW,MF",St. Pauli,Bundesliga,22.0,2001.0,0.5,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
52,Jean-Eudes Aholou,CIV,MF,Angers,Ligue 1,30.0,1994.0,21.8,33,1.52,21,0,2,4,3,1,0.05,3,2024-2025,stats_gca,2025-10-18 04:36:50.757682
53,Joseph Aidoo,GHA,DF,Valladolid,La Liga,28.0,1995.0,6.5,1,0.15,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
54,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,28.0,1995.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
55,Ayman Aiki,FRA,"FW,MF",Saint-Étienne,Ligue 1,19.0,2005.0,1.4,1,0.71,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
56,Ola Aina,NGA,DF,Nott'ham Forest,Premier League,27.0,1996.0,33.3,62,1.86,49,5,3,1,3,4,0.12,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
57,Rayan Aït-Nouri,ALG,DF,Wolves,Premier League,23.0,2001.0,34.5,91,2.63,56,15,8,7,4,12,0.35,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
58,Junior Ajayi,CIV,FW,Hellas Verona,Serie A,19.0,2004.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
59,Kristoffer Ajer,NOR,DF,Brentford,Premier League,26.0,1998.0,16.0,18,1.13,15,0,1,2,0,2,0.13,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
60,Ludovic Ajorque,FRA,FW,Brest,Ligue 1,30.0,1994.0,27.7,60,2.17,49,0,2,5,2,8,0.29,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
61,Manuel Akanji,SUI,DF,Manchester City,Premier League,29.0,1995.0,22.4,37,1.65,37,0,0,0,0,3,0.13,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
62,Ümit Akdag,ROU,DF,Toulouse,Ligue 1,20.0,2003.0,5.6,5,0.9,5,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
63,Nathan Aké,NED,DF,Manchester City,Premier League,29.0,1995.0,7.5,8,1.06,8,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
64,Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,20.0,2004.0,6.5,29,4.38,17,0,5,1,6,1,0.15,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
65,Sergio Akieme,ESP,DF,Reims,Ligue 1,26.0,1997.0,28.0,37,1.32,29,4,0,2,2,3,0.11,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
66,Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,22.0,2002.0,26.7,119,4.45,87,3,12,6,8,19,0.71,3,2024-2025,stats_gca,2025-10-18 04:36:50.757682
67,Paul Akouokou,CIV,MF,Lyon,Ligue 1,26.0,1997.0,0.2,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
68,Clément Akpa,CIV,DF,Auxerre,Ligue 1,22.0,2001.0,27.6,22,0.8,15,3,0,0,2,4,0.14,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
69,Jean-Daniel Akpa-Akpro,CIV,MF,Monza,Serie A,31.0,1992.0,10.7,12,1.12,8,0,1,1,1,1,0.09,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
70,David Akpan Ankeye,NGA,"FW,MF",Genoa,Serie A,22.0,2002.0,0.5,1,2.0,0,0,0,0,1,1,2.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
71,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,29.0,1995.0,24.7,27,1.09,25,1,0,0,1,1,0.04,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
72,Chuba Akpom,ENG,FW,Lille,Ligue 1,28.0,1995.0,7.1,17,2.39,8,0,2,5,2,3,0.42,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
73,David Alaba,AUT,DF,Real Madrid,La Liga,32.0,1992.0,3.5,2,0.57,2,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
74,Ibrahim Alani,NGA,MF,Valladolid,La Liga,18.0,2006.0,1.8,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
75,Andreas Albers,DEN,FW,St. Pauli,Bundesliga,34.0,1990.0,0.7,2,2.95,2,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
76,Raúl Albiol,ESP,DF,Villarreal,La Liga,38.0,1985.0,13.2,5,0.38,4,0,0,1,0,3,0.23,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
77,Carlos Alcaraz,ARG,MF,Southampton,Premier League,21.0,2002.0,0.1,1,9.0,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
78,Carlos Alcaraz,ARG,"FW,MF",Everton,Premier League,21.0,2002.0,8.5,33,3.89,24,2,3,3,1,6,0.71,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
79,Omar Alderete,PAR,DF,Getafe,La Liga,27.0,1996.0,33.0,37,1.12,28,1,1,5,1,4,0.12,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
80,Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,26.0,1998.0,5.0,8,1.6,7,0,0,0,1,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
81,Carles Aleñá,ESP,"MF,FW",Alavés,La Liga,26.0,1998.0,12.1,44,3.64,27,7,3,3,4,4,0.33,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
82,Ben Alexander Voll,GER,GK,St. Pauli,Bundesliga,23.0,2000.0,1.0,1,0.99,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
83,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,25.0,1998.0,26.3,98,3.73,74,15,5,4,0,10,0.38,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
84,Alfon,ESP,"FW,MF",Celta Vigo,La Liga,25.0,1999.0,15.2,59,3.87,32,0,12,9,6,7,0.46,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
85,Mohamed Ali Cho,FRA,"FW,MF",Nice,Ligue 1,20.0,2004.0,18.0,59,3.28,45,3,5,1,5,11,0.61,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
86,Faride Alidou,GER,"FW,MF",Hellas Verona,Serie A,23.0,2001.0,0.8,2,2.54,1,0,1,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
87,Alisson,BRA,GK,Liverpool,Premier League,31.0,1992.0,27.9,7,0.25,7,0,0,0,0,1,0.04,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
88,Tadeo Allende,ARG,FW,Celta Vigo,La Liga,25.0,1999.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
89,Jim Allevinah,GAB,FW,Angers,Ligue 1,29.0,1995.0,19.4,39,2.0,25,1,3,6,3,7,0.36,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
90,Dele Alli,ENG,MF,Como,Serie A,28.0,1996.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
91,Thiago Almada,ARG,"MF,FW",Lyon,Ligue 1,23.0,2001.0,10.6,52,4.92,39,8,1,3,1,11,1.04,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
92,Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,La Liga,24.0,2000.0,22.0,86,3.92,54,17,1,3,9,6,0.27,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
93,Iker Almena,ESP,"FW,DF",Girona,La Liga,20.0,2004.0,0.5,3,5.63,2,0,1,0,0,2,3.75,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
94,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,30.0,1994.0,1.7,8,4.59,6,0,1,1,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
95,Pontus Almqvist,SWE,"FW,MF",Parma,Serie A,25.0,1999.0,12.4,26,2.1,15,0,5,3,3,2,0.16,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
96,Marcos Alonso,ESP,DF,Celta Vigo,La Liga,33.0,1990.0,29.4,46,1.56,38,3,1,3,0,6,0.2,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
97,Giorgio Altare,ITA,DF,Venezia,Serie A,25.0,1998.0,8.4,5,0.6,3,0,1,0,0,0,0.0,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
98,Adrià Altimira,ESP,"DF,FW",Leganés,La Liga,23.0,2001.0,18.1,21,1.16,14,1,1,0,5,1,0.06,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
99,Sergi Altimira,ESP,MF,Betis,La Liga,22.0,2001.0,21.9,52,2.37,40,0,3,2,1,1,0.05,6,2024-2025,stats_gca,2025-10-18 04:36:50.757682
100,Olabade Aluko,None,DF,Leicester City,Premier League,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
101,Edson Álvarez,MEX,MF,West Ham,Premier League,26.0,1997.0,19.7,28,1.42,24,0,2,1,1,2,0.1,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
102,Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,21.0,2003.0,17.5,46,2.63,38,0,5,3,0,9,0.52,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
103,Julián Álvarez,ARG,FW,Atlético Madrid,La Liga,24.0,2000.0,27.9,108,3.87,76,9,9,9,2,15,0.54,3,2024-2025,stats_gca,2025-10-18 04:36:50.757682
104,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,29.0,1995.0,19.8,18,0.91,15,0,0,0,0,2,0.1,3,2024-2025,stats_gca,2025-10-18 04:36:50.757682
105,Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,22.0,2002.0,2.6,2,0.76,2,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
106,Will Alves,ENG,FW,Leicester City,Premier League,19.0,2005.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
107,Selim Amallah,MAR,MF,Valladolid,La Liga,27.0,1996.0,15.3,32,2.09,16,8,6,1,0,1,0.07,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
108,Harry Amass,ENG,DF,Manchester Utd,Premier League,17.0,2007.0,3.8,8,2.08,7,0,0,1,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
109,Amath,SEN,"FW,DF",Valladolid,La Liga,28.0,1996.0,4.2,13,3.11,10,0,2,1,0,1,0.24,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
110,Jordan Amavi,FRA,DF,Brest,Ligue 1,30.0,1994.0,8.8,14,1.59,13,0,0,1,0,1,0.11,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
111,Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,21.0,2003.0,1.1,2,1.86,2,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
112,Kelvin Amian,FRA,DF,Nantes,Ligue 1,26.0,1998.0,24.1,38,1.58,26,7,1,1,2,1,0.04,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
113,Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,28.0,1996.0,27.1,47,1.74,39,2,3,2,0,6,0.22,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
114,Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,27.0,1996.0,27.5,119,4.33,74,30,6,5,3,15,0.55,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
115,Samuel Amo-Ameyaw,ENG,"FW,DF",Southampton,Premier League,18.0,2006.0,0.3,2,6.43,1,0,0,0,1,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
116,Samuel Amo-Ameyaw,ENG,"DF,MF",Strasbourg,Ligue 1,18.0,2006.0,3.6,14,3.93,9,1,2,2,0,1,0.28,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
117,Mathis Amougou,FRA,MF,Chelsea,Premier League,18.0,2006.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
118,Mathis Amougou,FRA,MF,Saint-Étienne,Ligue 1,18.0,2006.0,9.5,17,1.78,14,0,2,1,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
119,Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,24.0,2000.0,27.4,80,2.92,56,2,6,10,4,13,0.47,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
120,Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,27.0,1996.0,2.0,4,2.0,4,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
121,Joachim Andersen,DEN,DF,Crystal Palace,Premier League,28.0,1996.0,1.0,1,1.0,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
122,Joachim Andersen,DEN,DF,Fulham,Premier League,28.0,1996.0,28.7,35,1.23,27,1,0,7,0,2,0.07,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
123,Elliot Anderson,ENG,MF,Nott'ham Forest,Premier League,21.0,2002.0,30.3,87,2.87,43,20,7,8,4,10,0.33,5,2024-2025,stats_gca,2025-10-18 04:36:50.757682
124,André,BRA,MF,Wolves,Premier League,23.0,2001.0,27.5,49,1.78,41,3,1,0,0,3,0.11,4,2024-2025,stats_gca,2025-10-18 04:36:50.757682
125,Benjamin André,FRA,MF,Lille,Ligue 1,33.0,1990.0,29.9,53,1.77,46,0,0,2,4,9,0.3,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
126,Marcos André,BRA,FW,Valladolid,La Liga,27.0,1996.0,13.2,19,1.44,15,0,3,0,1,1,0.08,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
127,Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,29.0,1994.0,17.8,33,1.86,25,0,1,5,1,4,0.23,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
128,Angeliño,ESP,DF,Roma,Serie A,27.0,1997.0,35.3,89,2.52,68,14,2,1,4,7,0.2,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
129,Lorenzo Anghelè,ITA,FW,Juventus,Serie A,19.0,2005.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
130,Faustino Anjorin,ENG,MF,Empoli,Serie A,22.0,2001.0,12.4,32,2.59,24,1,3,1,2,5,0.4,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
131,Waldemar Anton,GER,DF,Dortmund,Bundesliga,28.0,1996.0,21.7,41,1.9,32,0,6,2,0,5,0.23,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
132,Leandro Antonetti,PUR,FW,Sevilla,La Liga,21.0,2003.0,0.3,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
133,Kyllian Antonio,FRA,"DF,MF",Lens,Ligue 1,16.0,2008.0,1.5,1,0.65,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
134,Michail Antonio,JAM,FW,West Ham,Premier League,34.0,1990.0,9.3,22,2.37,14,0,1,5,1,4,0.43,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
135,Antoniu,ESP,"FW,MF",Espanyol,La Liga,21.0,2002.0,11.4,24,2.11,11,0,6,0,5,1,0.09,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
136,Antony,BRA,"DF,MF",Manchester Utd,Premier League,24.0,2000.0,1.6,8,5.11,6,0,1,0,1,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
137,Antony,BRA,FW,Betis,La Liga,24.0,2000.0,15.1,77,5.09,61,4,5,4,3,9,0.6,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
138,Anuar,MAR,"MF,FW",Valladolid,La Liga,29.0,1995.0,19.1,25,1.31,17,1,2,0,5,4,0.21,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
139,Dennis Appiah,FRA,DF,Saint-Étienne,Ligue 1,32.0,1992.0,23.6,38,1.61,32,3,2,0,0,3,0.13,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
140,Aritz Arambarri,ESP,DF,Leganés,La Liga,26.0,1998.0,2.0,1,0.51,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
141,Mauro Arambarri,URU,MF,Getafe,La Liga,28.0,1995.0,29.6,54,1.83,34,0,3,6,9,3,0.1,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
142,Jon Aramburu,VEN,DF,Real Sociedad,La Liga,22.0,2002.0,27.3,33,1.21,26,3,1,0,1,2,0.07,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
