rank,player_name,nation,position,squad,competition,age,birth_year,matches_played,starts,minutes,nineties_played,goals_against,goals_against_per_90,shots_on_target_against,saves,save_pct,wins,draws,losses,clean_sheets,clean_sheet_pct,penalty_attempts,penalty_goals_against,penalty_saves,penalty_missed,MP,Starts,Min,penalty_kicks_allowed,season,table_type,processed_at
25,Leandro Chichizola,ARG,GK,Parma,Serie A,34,1990,0,0,0,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,1,1,90,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
26,Jasper Cillessen,NED,GK,Las Palmas,La Liga,35,1989,0,0,0,25.9,42,1.62,128,85,70.3,6,8,13,3,11.1,8,0,3,1,27,27,2335,4,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
27,Giuseppe Ciocci,ITA,GK,Cagliari,Serie A,22,2002,0,0,0,0.1,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,1,0,9,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
28,Diego Conde,ESP,GK,Villarreal,La Liga,25,1998,0,0,0,21.8,33,1.51,94,62,68.1,11,6,5,2,9.1,4,0,0,1,22,22,1962,3,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
29,Grégoire Coudert,FRA,GK,Brest,Ligue 1,25,1999,0,0,0,2.0,5,2.5,13,9,61.5,1,0,1,0,0.0,0,0,0,0,2,2,180,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
30,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,32,1992,0,0,0,30.0,29,0.97,104,76,75.0,20,6,4,11,36.7,3,0,0,0,30,30,2700,3,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
31,Finn Dahmen,GER,GK,Augsburg,Bundesliga,26,1998,0,0,0,19.0,19,1.0,82,65,79.3,7,6,6,9,47.4,2,0,0,0,19,19,1710,2,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
32,Thomas Dähne,GER,GK,Holstein Kiel,Bundesliga,30,1994,0,0,0,9.0,19,2.11,55,36,69.1,2,2,5,0,0.0,3,0,1,0,9,9,810,2,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
33,Théo De Percin,MTQ,GK,Auxerre,Ligue 1,23,2001,0,0,0,2.0,3,1.5,9,5,77.8,0,1,1,1,50.0,2,0,1,0,2,2,180,1,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
34,Rémy Descamps,FRA,GK,Lyon,Ligue 1,28,1996,0,0,0,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,1,1,90,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
35,Arthur Desmas,FRA,GK,Le Havre,Ligue 1,30,1994,0,0,0,18.0,38,2.11,93,54,61.3,5,0,13,3,16.7,3,0,1,0,18,18,1620,2,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
36,Michele Di Gregorio,ITA,GK,Juventus,Serie A,27,1997,0,0,0,33.0,32,0.97,103,71,73.8,16,13,4,14,42.4,5,0,0,0,33,33,2970,5,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
37,Stole Dimitrievski,MKD,GK,Valencia,La Liga,30,1993,0,0,0,4.0,6,1.5,12,6,58.3,0,2,2,0,0.0,2,0,0,1,4,4,360,1,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
38,Yehvann Diouf,SEN,GK,Reims,Ligue 1,24,1999,0,0,0,34.0,47,1.38,179,131,76.0,8,9,17,7,20.6,5,0,1,0,34,34,3060,4,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
39,Marko Dmitrović,SRB,GK,Leganés,La Liga,32,1992,0,0,0,32.0,49,1.53,150,103,72.0,8,11,13,10,31.3,8,0,0,1,32,32,2880,7,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
40,Álex Domínguez,ESP,GK,Toulouse,Ligue 1,26,1998,0,0,0,0.2,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0,0,0,1,0,19,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
41,Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,25,1999,0,0,0,23.2,25,1.08,74,49,67.6,18,5,1,4,16.7,1,0,0,0,24,24,2091,1,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
42,Patrick Drewes,GER,GK,Bochum,Bundesliga,31,1993,0,0,0,21.0,46,2.19,99,51,56.6,2,5,14,2,9.5,5,0,2,0,21,21,1890,3,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
43,Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,35,1989,0,0,0,10.0,12,1.2,41,29,70.7,7,0,3,5,50.0,0,0,0,0,10,10,900,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
44,Ederson,BRA,GK,Manchester City,Premier League,30,1993,0,0,0,25.8,26,1.01,78,53,69.2,16,4,6,10,38.5,2,0,0,0,26,26,2320,2,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
45,Łukasz Fabiański,POL,GK,West Ham,Premier League,39,1985,0,0,0,12.9,21,1.63,71,50,74.6,6,3,4,2,15.4,3,0,0,0,14,13,1160,3,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
46,Wladimiro Falcone,ITA,GK,Lecce,Serie A,29,1995,0,0,0,38.0,58,1.53,181,125,72.4,8,10,20,9,23.7,10,0,1,1,38,38,3420,8,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
47,Frank Feller,GER,GK,Heidenheim,Bundesliga,20,2004,0,0,0,1.3,0,0.0,2,2,100.0,1,0,0,2,200.0,0,0,0,0,2,1,121,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
48,Aitor Fernández,ESP,GK,Osasuna,La Liga,33,1991,0,0,0,1.0,0,0.0,5,5,100.0,0,1,0,1,100.0,0,0,0,0,1,1,90,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
49,Álvaro Fernández,ESP,GK,Sevilla,La Liga,26,1998,0,0,0,8.3,16,1.93,36,20,61.1,2,1,5,3,37.5,2,0,0,0,9,8,747,2,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
50,André Ferreira,POR,GK,Valladolid,La Liga,28,1996,0,0,0,6.0,20,3.33,39,19,56.4,0,0,6,0,0.0,3,0,0,0,6,6,540,3,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
