rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_distance,free_kicks,penalty_goals,penalty_attempts,expected_goals,non_penalty_xg,npxg_per_shot,goals_minus_xg,non_penalty_goals_minus_xg,shot_creating_actions_shot,passes_free_kick,season,table_type,processed_at
230,Scott Banks,SCO,"FW,MF",St. Pauli,Bundesliga,22.0,2001.0,1.3,0,0,0,0.0,2.33,0.0,0.0,0.0,11.5,0,0,0,0.3,0.3,0.09,-0.3,-0.3,3,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
231,Adrian Baquerin,ESP,FW,Valladolid,La Liga,17.0,2007.0,0.5,0,0,0,0.0,5.51,0.0,0.0,0.0,11.0,0,0,0,0.4,0.4,0.13,-0.4,-0.4,3,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
232,Antonín Barák,CZE,MF,Fiorentina,Serie A,29.0,1994.0,0.6,0,0,2,100.0,3.33,3.33,0.0,0.0,25.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
233,Federico Barba,ITA,DF,Como,Serie A,30.0,1993.0,4.8,0,0,1,50.0,0.42,0.21,0.0,0.0,8.9,0,0,0,0.2,0.2,0.1,-0.2,-0.2,2,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
234,Valentín Barco,ARG,"DF,FW",Sevilla,La Liga,20.0,2004.0,3.2,0,0,0,0.0,2.19,0.0,0.0,0.0,27.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,7,2,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
235,Valentín Barco,ARG,"MF,DF",Strasbourg,Ligue 1,20.0,2004.0,12.9,0,0,1,10.0,0.78,0.08,0.0,0.0,22.9,0,0,0,0.5,0.5,0.05,-0.5,-0.5,10,1,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
236,Bradley Barcola,FRA,FW,Paris S-G,Ligue 1,21.0,2002.0,24.2,14,0,38,51.4,3.05,1.57,0.19,0.37,13.2,0,0,0,13.4,13.4,0.18,0.6,0.6,74,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
237,Melvin Bard,FRA,"DF,MF",Nice,Ligue 1,23.0,2000.0,21.5,2,0,8,34.8,1.07,0.37,0.09,0.25,17.9,0,0,0,2.2,2.2,0.1,-0.2,-0.2,23,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
238,Nicolò Barella,ITA,MF,Inter,Serie A,27.0,1997.0,27.7,3,0,9,20.9,1.55,0.32,0.07,0.33,24.8,0,0,0,2.2,2.2,0.05,0.8,0.8,43,1,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
239,Gabriel Bares,SUI,"MF,DF",Montpellier,Ligue 1,23.0,2000.0,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
240,Borna Barišić,CRO,DF,Leganés,La Liga,31.0,1992.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
241,Téo Barisic,CRO,DF,Lyon,Ligue 1,19.0,2004.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
242,Kike Barja,ESP,"FW,MF",Osasuna,La Liga,27.0,1997.0,3.5,0,0,1,25.0,1.14,0.29,0.0,0.0,18.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,4,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
243,Ross Barkley,ENG,MF,Aston Villa,Premier League,30.0,1993.0,6.5,3,0,5,31.3,2.48,0.77,0.19,0.6,14.2,0,0,0,1.8,1.8,0.11,1.2,1.2,16,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
244,Aymen Barkok,MAR,MF,Mainz 05,Bundesliga,26.0,1998.0,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
245,Harvey Barnes,ENG,FW,Newcastle Utd,Premier League,26.0,1997.0,19.5,9,0,20,31.7,3.23,1.03,0.14,0.45,15.1,0,0,0,7.2,7.2,0.11,1.8,1.8,63,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
246,Enzo Barrenechea,ARG,MF,Valencia,La Liga,23.0,2001.0,24.3,1,0,3,18.8,0.66,0.12,0.06,0.33,18.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3,16,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
247,Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,La Liga,22.0,2001.0,14.0,1,0,8,32.0,1.78,0.57,0.04,0.13,16.2,0,0,0,1.6,1.6,0.07,-0.6,-0.6,25,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
248,Pablo Barrios,ESP,MF,Atlético Madrid,La Liga,21.0,2003.0,25.9,1,0,8,27.6,1.12,0.31,0.03,0.13,23.1,0,0,0,1.3,1.3,0.05,-0.3,-0.3,29,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
