Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,Matches
75,Giuseppe Ambrosino,it ITA,FW,Napoli,it Serie A,22-035,2003,0.2,1,5.63,0,0,1,0,0,0,0,0.00,Matches
76,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,22-076,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,Matches
77,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-249,1998,7.0,7,1.00,6,1,0,0,0,0,1,0.14,Matches
78,Michael Amir Murillo,pa PAN,"DF,MF",Marseille,fr Ligue 1,29-246,1996,5.1,12,2.34,11,0,0,0,1,0,3,0.58,Matches
79,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,28-353,1996,5.5,31,5.65,19,5,3,3,1,0,1,0.18,Matches
80,Samuel Amo-Ameyaw,eng ENG,"DF,FW",Strasbourg,fr Ligue 1,19-089,2006,2.3,13,5.65,9,1,1,0,2,0,2,0.87,Matches
81,Mathis Amougou,fr FRA,MF,Strasbourg,fr Ligue 1,19-270,2006,1.5,2,1.35,1,0,1,0,0,0,0,0.00,Matches
82,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,25-159,2000,4.3,18,4.19,14,0,1,1,2,0,2,0.47,Matches
83,Ethan Ampadu,wls WAL,MF,Leeds United,eng Premier League,25-031,2000,4.9,7,1.44,5,1,0,0,0,1,1,0.21,Matches
84,Sofyan Amrabat,ma MAR,MF,Betis,es La Liga,29-055,1996,2.2,7,3.18,6,1,0,0,0,0,0,0.00,Matches
85,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,29-137,1996,7.0,9,1.29,6,1,0,2,0,0,0,0.00,Matches
86,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,22-343,2002,7.0,32,4.57,24,2,2,2,1,1,4,0.57,Matches
87,André,br BRA,MF,Wolves,eng Premier League,24-091,2001,4.9,5,1.02,2,1,1,0,1,0,0,0.00,Matches
88,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,35-073,1990,5.0,14,2.80,12,0,0,1,1,0,2,0.40,Matches
89,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,31-023,1994,3.4,5,1.48,4,0,0,0,1,0,0,0.00,Matches
90,Miguel Ángel Rubio,es ESP,DF,Espanyol,es La Liga,27-218,1998,1.4,0,0.00,0,0,0,0,0,0,0,0.00,Matches
91,Angeliño,es ESP,"DF,MF",Roma,it Serie A,28-284,1997,4.3,5,1.16,5,0,0,0,0,0,0,0.00,Matches
92,Samuele Angori,it ITA,DF,Pisa,it Serie A,22-008,2003,3.1,5,1.62,2,3,0,0,0,0,1,0.32,Matches
93,Faustino Anjorin,eng ENG,"MF,FW",Torino,it Serie A,23-326,2001,0.3,1,3.10,1,0,0,0,0,0,0,0.00,Matches
94,Ilyas Ansah,de GER,"MF,FW",Union Berlin,de Bundesliga,20-341,2004,4.5,6,1.34,5,0,0,0,1,0,3,0.67,Matches
95,Aaron Anselmino,ar ARG,DF,Dortmund,de Bundesliga,20-169,2005,0.8,0,0.00,0,0,0,0,0,0,0,0.00,Matches
96,Jaidon Anthony,eng ENG,"MF,FW",Burnley,eng Premier League,25-318,1999,6.5,16,2.45,11,1,3,0,1,0,3,0.46,Matches
97,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,29-087,1996,6.0,1,0.17,1,0,0,0,0,0,0,0.00,Matches
98,Antoniu,es ESP,FW,Espanyol,es La Liga,23-040,2002,0.2,2,8.57,2,0,0,0,0,0,0,0.00,Matches
99,Antony,br BRA,FW,Betis,es La Liga,25-233,2000,3.6,15,4.14,12,0,1,0,2,0,0,0.00,Matches
100,Youssef El-Arabi,ma MAR,"FW,MF",Nantes,fr Ligue 1,38-254,1987,0.3,2,6.43,1,0,0,0,1,0,0,0.00,Matches
101,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,30-015,1995,7.8,12,1.55,9,0,0,3,0,0,1,0.13,Matches
102,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,23-084,2002,6.2,11,1.77,9,2,0,0,0,0,0,0.00,Matches
103,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,26-222,1999,4.4,4,0.91,4,0,0,0,0,0,0,0.00,Matches
104,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,29-109,1996,6.9,9,1.31,9,0,0,0,0,0,0,0.00,Matches
105,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-230,1993,3.0,0,0.00,0,0,0,0,0,0,0,0.00,Matches
106,Jesús Areso,es ESP,DF,Athletic Club,es La Liga,26-105,1999,6.5,12,1.85,11,1,0,0,0,0,1,0.15,Matches
107,Jhon Arias,co COL,FW,Wolves,eng Premier League,28-024,1997,4.0,15,3.76,7,4,2,0,0,2,0,0.00,Matches
108,Harrison Armstrong,eng ENG,FW,Everton,eng Premier League,18-269,2007,0.0,0,0.00,0,0,0,0,0,0,0,0.00,Matches
