Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Matches
1173,Þórir Jóhann Helgason,is ISL,MF,Lecce,it Serie A,25-017,2000,1,10,10,1.9,0.1,0,,0,1,10,5,0.00,0,1,-1,-9.00,-8.32,0.1,0.4,-0.3,-3.12,Matches
1174,Ísak Jóhannesson,is ISL,MF,Köln,de Bundesliga,22-206,2003,6,460,77,85.2,5.1,5,83,2,1,45,0,1.67,9,7,+2,+0.39,+0.39,7.4,8.5,-1.1,-0.21,Matches
1175,John,br BRA,GK,Nott'ham Forest,eng Premier League,29-244,1996,0,,,,,0,,0,0,,4,,,,,,,,,,,Matches
1176,Dennis Johnsen,no NOR,"FW,MF",Cremonese,it Serie A,27-240,1998,3,123,41,22.8,1.4,2,54,0,1,15,1,0.67,0,3,-3,-2.20,-2.63,0.3,3.4,-3.1,-2.30,Matches
1177,Brennan Johnson,wls WAL,FW,Tottenham,eng Premier League,24-145,2001,7,269,38,42.7,3.0,3,70,0,4,15,0,2.00,7,1,+6,+2.01,+1.51,3.5,4.2,-0.7,-0.22,Matches
1178,Karl-Johan Johnsson,se SWE,GK,Strasbourg,fr Ligue 1,35-260,1990,1,90,90,14.3,1.0,1,90,1,0,,6,3.00,1,0,+1,+1.00,0.00,1.8,0.4,+1.3,+1.34,Matches
1179,Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,32-204,1993,3,270,90,42.9,3.0,3,90,3,0,,4,0.67,2,3,-1,-0.33,+1.67,2.2,3.2,-1.0,-0.34,Matches
1180,Curtis Jones,eng ENG,MF,Liverpool,eng Premier League,24-258,2001,6,229,38,36.3,2.5,1,89,0,5,28,0,2.00,7,5,+2,+0.79,+0.34,3.1,3.1,0.0,-0.02,Matches
1181,Harrison Jones,eng ENG,MF,Sunderland,eng Premier League,20-294,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,Matches
1182,Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,28-156,1997,6,461,77,64.0,5.1,5,83,3,1,45,0,2.17,12,4,+8,+1.56,-0.18,11.2,5.7,+5.4,+1.06,Matches
1183,Josan,es ESP,"DF,FW",Elche,es La Liga,35-316,1989,3,164,55,22.8,1.8,2,79,0,1,7,4,2.33,4,1,+3,+1.65,+1.81,5.2,1.6,+3.6,+1.96,Matches
1184,Mateo Joseph,es ESP,"FW,MF",Mallorca,es La Liga,21-361,2003,7,399,57,55.4,4.4,4,77,1,3,31,1,0.57,3,8,-5,-1.13,-0.85,3.7,7.7,-4.0,-0.91,Matches
1185,Antoine Joujou,fr FRA,MF,Parma,it Serie A,22-217,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1186,Lazar Jovanović,rs SRB,"FW,MF",Stuttgart,de Bundesliga,18-319,2006,2,36,18,6.7,0.4,0,,0,2,18,1,1.50,2,0,+2,+5.00,+5.00,0.7,0.3,+0.4,+1.03,Matches
1187,Juanmi,es ESP,FW,Getafe,es La Liga,32-148,1993,1,16,16,2.2,0.2,0,,0,1,16,0,0.00,0,1,-1,-5.63,-5.50,0.1,0.3,-0.2,-1.13,Matches
1188,Juanpe,es ESP,GK,Rayo Vallecano,es La Liga,24-163,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,Matches
1189,Abdulai Juma Bah,sl SLE,DF,Nice,fr Ligue 1,19-187,2006,5,450,90,71.4,5.0,5,90,5,0,,1,1.20,6,9,-3,-0.60,-0.60,7.3,7.5,-0.1,-0.03,Matches
1190,Anthony Jung,de GER,DF,Freiburg,de Bundesliga,33-346,1991,3,113,38,20.9,1.3,1,90,1,2,12,3,1.33,2,2,0,0.00,0.00,2.2,2.6,-0.4,-0.34,Matches
1191,Eli Junior Kroupi,fr FRA,"FW,MF",Bournemouth,eng Premier League,19-114,2006,4,24,6,3.8,0.3,0,,0,4,6,3,1.75,1,1,0,0.00,-0.45,0.3,0.3,0.0,+0.07,Matches
1192,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,es La Liga,24-274,2001,6,540,90,75.0,6.0,6,90,6,0,,2,2.17,11,4,+7,+1.17,+1.67,10.3,6.1,+4.2,+0.70,Matches
1193,Hamed Junior Traorè,ci CIV,MF,Bournemouth,eng Premier League,25-241,2000,1,17,17,2.7,0.2,0,,0,1,17,0,0.00,1,2,-1,-5.29,-5.88,0.2,0.4,-0.2,-0.99,Matches
1194,Hamed Junior Traorè,ci CIV,"MF,FW",Marseille,fr Ligue 1,25-241,2000,1,85,85,13.5,0.9,1,85,0,0,,1,0.00,0,0,0,0.00,-1.65,0.7,1.4,-0.7,-0.75,Matches
1195,Vinicius Júnior,br BRA,"FW,MF",Real Madrid,es La Liga,25-095,2000,8,589,74,81.8,6.5,7,80,3,1,28,0,2.63,18,9,+9,+1.38,+0.69,16.0,8.5,+7.6,+1.16,Matches
1196,Josip Juranović,hr CRO,DF,Union Berlin,de Bundesliga,30-060,1995,1,7,7,1.3,0.1,0,,0,1,7,0,3.00,0,1,-1,-12.86,-12.18,0.0,0.3,-0.3,-3.78,Matches
1197,James Justin,eng ENG,DF,Leeds United,eng Premier League,27-234,1998,3,21,7,3.3,0.2,0,,0,3,7,2,1.33,0,0,0,0.00,+0.59,0.3,0.3,0.0,-0.09,Matches
1198,Ferran Jutglà,es ESP,"FW,MF",Celta Vigo,es La Liga,26-256,1999,6,293,49,40.7,3.3,4,64,0,2,18,2,0.83,1,3,-2,-0.61,-0.40,3.1,1.9,+1.2,+0.36,Matches
1199,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,23-182,2002,1,84,84,13.3,0.9,0,,0,1,84,6,0.00,1,2,-1,-1.07,-1.90,0.4,1.7,-1.3,-1.42,Matches
1200,Martijn Kaars,nl NED,"FW,MF",St. Pauli,de Bundesliga,26-224,1999,5,209,42,38.7,2.3,1,90,1,4,30,0,1.20,1,1,0,0.00,+0.27,2.8,2.5,+0.3,+0.13,Matches
1201,Mohamed Kaba,fr FRA,"MF,FW",Lecce,it Serie A,23-353,2001,4,142,36,26.3,1.6,1,62,0,3,27,1,1.00,0,1,-1,-0.63,+0.27,0.4,2.6,-2.1,-1.34,Matches
1202,Ozan Kabak,tr TUR,DF,Hoffenheim,de Bundesliga,25-204,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1203,Almugera Kabar,de GER,DF,Dortmund,de Bundesliga,19-131,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,Matches
1204,Christian Kabasele,be BEL,DF,Udinese,it Serie A,34-233,1991,1,66,66,12.2,0.7,1,66,0,0,,5,1.00,1,1,0,0.00,+0.57,1.3,0.7,+0.6,+0.75,Matches
1205,Anton Kade,de GER,DF,Augsburg,de Bundesliga,21-271,2004,2,47,24,8.7,0.5,0,,0,2,24,0,1.50,1,0,+1,+1.91,+2.46,0.4,1.6,-1.1,-2.20,Matches
1206,Ferdi Kadioglu,tr TUR,"DF,FW",Brighton,eng Premier League,26-008,1999,6,377,63,59.8,4.2,3,88,2,3,38,1,1.00,7,6,+1,+0.24,+0.59,6.3,5.5,+0.8,+0.20,Matches
1207,Florian Kainz,at AUT,"MF,DF",Köln,de Bundesliga,32-356,1992,4,67,17,12.4,0.7,0,,0,4,17,1,1.00,3,2,+1,+1.34,+1.15,1.3,1.6,-0.3,-0.39,Matches
1208,Sasa Kalajdzic,at AUT,FW,Wolves,eng Premier League,28-100,1997,1,15,15,2.4,0.2,0,,0,1,15,1,0.00,1,0,+1,+6.00,+7.46,0.5,0.1,+0.4,+2.17,Matches
1209,Arnaud Kalimuendo,fr FRA,FW,Nott'ham Forest,eng Premier League,23-268,2002,5,69,14,11.0,0.8,0,,0,5,14,0,0.40,0,2,-2,-2.61,-1.81,0.9,1.9,-1.0,-1.28,Matches
1210,Pierre Kalulu,fr FRA,DF,Juventus,it Serie A,25-132,2000,6,540,90,100.0,6.0,6,90,6,0,,0,2.00,9,5,+4,+0.67,,7.0,6.1,+0.9,+0.15,Matches
1211,Justin-Noël Kalumba,fr FRA,"FW,MF",Angers,fr Ligue 1,20-294,2004,4,224,56,35.6,2.5,3,71,1,1,11,1,0.25,1,5,-4,-1.61,-0.72,2.0,5.5,-3.5,-1.42,Matches
1212,Daichi Kamada,jp JPN,MF,Crystal Palace,eng Premier League,29-071,1996,5,435,87,69.0,4.8,5,87,2,0,,0,2.00,7,3,+4,+0.83,+0.83,9.8,5.6,+4.3,+0.88,Matches
1213,Warren Kamanzi,no NOR,"MF,DF",Toulouse,fr Ligue 1,24-338,2000,7,257,37,40.8,2.9,2,60,0,5,27,0,1.43,6,6,0,0.00,+0.24,6.0,3.9,+2.0,+0.71,Matches
1214,Abu Kamara,eng ENG,"FW,MF",Getafe,es La Liga,22-086,2003,3,113,38,15.7,1.3,1,45,0,2,34,2,1.33,0,1,-1,-0.80,-0.65,0.3,0.8,-0.5,-0.44,Matches
1215,Bingourou Kamara,sn SEN,GK,Lorient,fr Ligue 1,28-359,1996,3,270,90,42.9,3.0,3,90,3,0,,4,1.00,5,8,-3,-1.00,0.00,5.4,4.9,+0.5,+0.16,Matches
1216,Boubacar Kamara,fr FRA,MF,Aston Villa,eng Premier League,25-326,1999,5,295,59,46.8,3.3,4,69,2,1,19,0,1.60,3,3,0,0.00,+0.27,1.8,3.9,-2.1,-0.63,Matches
1217,Glen Kamara,fi FIN,MF,Rennes,fr Ligue 1,29-352,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,Matches
1218,Hassane Kamara,ci CIV,DF,Udinese,it Serie A,31-224,1994,3,176,59,32.6,2.0,2,82,1,1,12,3,1.67,2,1,+1,+0.51,+1.50,3.8,1.4,+2.5,+1.26,Matches
1219,Noham Kamara,fr FRA,DF,Paris S-G,fr Ligue 1,18-266,2007,0,,,,,0,,0,0,,3,,,,,,,,,,,Matches
1220,Jakub Kamiński,pl POL,"MF,FW",Köln,de Bundesliga,23-132,2002,6,540,90,100.0,6.0,6,90,6,0,,0,1.67,11,9,+2,+0.33,,9.0,10.1,-1.0,-0.17,Matches
1221,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,35-006,1990,3,3,1,0.6,0.0,0,,0,3,1,0,3.00,0,0,0,0.00,0.00,0.1,0.2,-0.1,-3.57,Matches
1222,Harry Kane,eng ENG,"FW,MF",Bayern Munich,de Bundesliga,32-079,1993,6,489,82,90.6,5.4,6,82,2,0,,0,3.00,24,3,+21,+3.87,+2.10,15.1,2.9,+12.2,+2.25,Matches
1223,Lee Kang-in,kr KOR,"MF,FW",Paris S-G,fr Ligue 1,24-238,2001,6,322,54,51.1,3.6,4,71,1,2,19,1,2.17,5,1,+4,+1.12,-0.05,4.5,2.5,+2.0,+0.56,Matches
1224,Ibrahim Kanté,fr FRA,MF,Brest,fr Ligue 1,18-211,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1225,Adam Karabec,cz CZE,FW,Lyon,fr Ligue 1,22-105,2003,7,413,59,65.6,4.6,5,79,0,2,9,0,2.14,6,0,+6,+1.31,+2.14,8.1,3.8,+4.3,+0.94,Matches
1226,Atakan Karazor,,MF,Stuttgart,de Bundesliga,29-002,1996,6,379,63,70.2,4.2,5,76,1,1,1,0,2.00,3,5,-2,-0.47,-2.71,4.6,4.1,+0.5,+0.11,Matches
1227,Dermane Karim,tg TOG,"MF,FW",Lorient,fr Ligue 1,21-312,2003,6,392,65,62.2,4.4,5,73,2,1,25,0,1.17,5,11,-6,-1.38,-1.00,5.6,8.6,-3.0,-0.70,Matches
1228,Lennart Karl,de GER,FW,Bayern Munich,de Bundesliga,17-235,2008,5,126,25,23.3,1.4,1,61,0,4,16,1,3.00,5,0,+5,+3.57,-0.12,2.9,1.0,+1.9,+1.35,Matches
1229,Jesper Karlsson,se SWE,"FW,MF",Bologna,it Serie A,27-082,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,Matches
1230,Jesper Karlström,se SWE,MF,Udinese,it Serie A,30-116,1995,6,540,90,100.0,6.0,6,90,6,0,,0,1.33,6,9,-3,-0.50,,7.3,6.5,+0.9,+0.15,Matches
1231,Jon Karrikaburu,es ESP,"FW,MF",Real Sociedad,es La Liga,23-026,2002,3,59,20,8.2,0.7,0,,0,3,20,5,0.00,0,1,-1,-1.53,-0.98,0.7,0.8,-0.1,-0.08,Matches
1232,Grigoris Kastanos,cy CYP,MF,Hellas Verona,it Serie A,27-258,1998,3,20,7,3.7,0.2,0,,0,3,7,3,0.33,0,0,0,0.00,+1.21,0.3,0.0,+0.2,+1.02,Matches
1233,Panos Katseris,gr GRE,"MF,DF",Lorient,fr Ligue 1,24-102,2001,3,130,43,20.6,1.4,2,52,1,1,26,0,1.00,4,0,+4,+2.77,+4.75,3.6,0.9,+2.7,+1.89,Matches
1234,Noah Katterbach,de GER,"DF,MF",Hamburger SV,de Bundesliga,24-185,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1235,Mikkel Kaufmann,dk DEN,FW,Heidenheim,de Bundesliga,24-285,2001,6,329,55,60.9,3.7,4,72,0,2,21,0,0.50,2,5,-3,-0.82,+0.89,4.4,5.8,-1.4,-0.38,Matches
1236,Sota Kawasaki,jp JPN,MF,Mainz 05,de Bundesliga,24-077,2001,1,16,16,3.0,0.2,0,,0,1,16,1,0.00,0,0,0,0.00,+0.86,0.0,0.0,0.0,0.00,Matches
1237,Michael Kayode,it ITA,DF,Brentford,eng Premier League,21-097,2004,7,616,88,97.8,6.8,7,88,5,0,,0,1.00,8,11,-3,-0.44,-0.44,7.7,9.4,-1.7,-0.25,Matches
1238,Moise Kean,it ITA,FW,Fiorentina,it Serie A,25-229,2000,6,540,90,100.0,6.0,6,90,6,0,,0,0.50,4,8,-4,-0.67,,6.6,8.2,-1.6,-0.27,Matches
1239,Michael Keane,eng ENG,DF,Everton,eng Premier League,32-277,1993,7,604,86,95.9,6.7,7,86,6,0,,0,1.57,7,7,0,0.00,-6.92,8.0,9.2,-1.2,-0.18,Matches
1240,Ilan Kebbal,dz ALG,"FW,MF",Paris FC,fr Ligue 1,27-098,1998,7,602,86,95.6,6.7,7,86,4,0,,0,1.43,11,13,-2,-0.30,-3.51,10.3,10.9,-0.5,-0.08,Matches
1241,Yassine Kechta,ma MAR,MF,Le Havre,fr Ligue 1,23-232,2002,6,403,67,64.0,4.5,5,78,1,1,13,0,0.83,6,8,-2,-0.45,-0.45,6.6,5.9,+0.7,+0.17,Matches
1242,Thilo Kehrer,de GER,DF,Monaco,fr Ligue 1,29-024,1996,3,217,72,34.4,2.4,3,72,2,0,,3,2.00,7,3,+4,+1.66,+1.66,5.0,3.3,+1.7,+0.69,Matches
1243,Mandela Keita,be BEL,MF,Parma,it Serie A,23-158,2002,6,443,74,82.0,4.9,5,87,3,1,6,0,0.83,2,5,-3,-0.61,+0.32,3.4,4.3,-0.9,-0.18,Matches
1244,Caoimhín Kelleher,ie IRL,GK,Brentford,eng Premier League,26-326,1998,7,630,90,100.0,7.0,7,90,7,0,,0,1.00,9,12,-3,-0.43,,8.4,9.6,-1.2,-0.18,Matches
1245,Thomas Keller,de GER,"DF,MF",Heidenheim,de Bundesliga,26-071,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1246,Lloyd Kelly,eng ENG,DF,Juventus,it Serie A,27-009,1998,6,540,90,100.0,6.0,6,90,6,0,,0,2.00,9,5,+4,+0.67,,7.0,6.1,+0.9,+0.15,Matches
1247,Aljoscha Kemlein,de GER,MF,Union Berlin,de Bundesliga,21-074,2004,4,73,18,13.5,0.8,0,,0,4,18,2,0.75,0,3,-3,-3.70,-3.31,1.4,2.4,-1.0,-1.26,Matches
1248,Marc-Oliver Kempf,de GER,DF,Como,it Serie A,30-260,1995,6,407,68,75.4,4.5,4,90,4,2,24,0,1.50,5,4,+1,+0.22,-0.46,5.4,4.4,+1.1,+0.23,Matches
1249,Luca Kerber,de GER,MF,Heidenheim,de Bundesliga,23-219,2002,6,320,53,59.3,3.6,4,72,1,2,16,0,0.50,0,8,-8,-2.25,-2.66,2.9,7.7,-4.8,-1.34,Matches
1250,Milos Kerkez,hu HUN,DF,Liverpool,eng Premier League,21-342,2003,7,510,73,81.0,5.7,7,73,4,0,,0,2.14,9,6,+3,+0.53,-0.22,7.6,6.2,+1.4,+0.25,Matches
1251,Kevin,br BRA,"FW,MF",Fulham,eng Premier League,22-284,2003,4,89,22,14.1,1.0,0,,0,4,22,0,1.50,2,3,-1,-1.01,-0.68,1.5,0.9,+0.5,+0.53,Matches
1252,Reda Khadra,de GER,"FW,MF",Le Havre,fr Ligue 1,24-103,2001,2,106,53,16.8,1.2,1,84,0,1,22,1,0.50,0,1,-1,-0.85,-0.68,0.5,1.2,-0.7,-0.59,Matches
1253,Yanis Khafi,fr FRA,MF,Paris S-G,fr Ligue 1,19-175,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1254,Bilal El Khannouss,ma MAR,MF,Stuttgart,de Bundesliga,21-158,2004,4,354,89,65.6,3.9,4,89,2,0,,0,2.25,6,4,+2,+0.51,+0.51,5.3,4.0,+1.3,+0.33,Matches
1255,Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,31-261,1994,6,522,87,96.7,5.8,6,87,5,0,,0,1.17,8,12,-4,-0.69,+4.31,7.4,11.9,-4.5,-0.78,Matches
1256,Abdukodir Khusanov,uz UZB,DF,Manchester City,eng Premier League,21-228,2004,4,228,57,36.2,2.5,3,73,1,1,9,1,1.75,5,1,+4,+1.58,+0.46,5.2,2.8,+2.4,+0.94,Matches
1257,Cassiano Kiala,de GER,DF,Bayern Munich,de Bundesliga,16-277,2009,0,,,,,0,,0,0,,3,,,,,,,,,,,Matches
1258,Kialonda,ao ANG,DF,Lecce,it Serie A,28-018,1997,6,540,90,100.0,6.0,6,90,6,0,,0,0.83,5,10,-5,-0.83,,4.4,8.6,-4.2,-0.70,Matches
1259,Kiké,es ESP,FW,Espanyol,es La Liga,35-324,1989,8,282,35,39.2,3.1,2,78,1,6,21,0,1.50,6,2,+4,+1.28,+2.10,7.1,3.1,+4.0,+1.28,Matches
1260,Semih Kılıçsoy,tr TUR,FW,Cagliari,it Serie A,20-061,2005,2,28,14,5.2,0.3,0,,0,2,14,4,2.00,1,0,+1,+3.21,+3.39,0.5,0.1,+0.4,+1.23,Matches
1261,Max Kilman,eng ENG,DF,West Ham,eng Premier League,28-145,1997,7,630,90,100.0,7.0,7,90,7,0,,0,0.57,6,16,-10,-1.43,,6.6,11.1,-4.5,-0.64,Matches
1262,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,30-249,1995,6,419,70,77.6,4.7,4,90,4,2,30,0,3.00,21,3,+18,+3.87,+0.89,13.3,2.3,+11.0,+2.36,Matches
1263,Joshua King,eng ENG,"MF,FW",Fulham,eng Premier League,18-285,2007,7,467,67,74.1,5.2,7,67,0,0,,0,1.14,4,8,-4,-0.77,-1.32,4.0,7.3,-3.3,-0.64,Matches
1264,Tom King,wls WAL,GK,Everton,eng Premier League,30-220,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1265,Antonín Kinský,cz CZE,GK,Tottenham,eng Premier League,22-216,2003,0,,,,,0,,0,0,,7,,,,,,,,,,,Matches
1266,Bradel Kiwa,fr FRA,MF,Monaco,fr Ligue 1,19-252,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1267,Jakub Kiwior,pl POL,"DF,MF",Arsenal,eng Premier League,25-242,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1268,Lukas Klostermann,de GER,"DF,MF",RB Leipzig,de Bundesliga,29-134,1996,0,,,,,0,,0,0,,2,,,,,,,,,,,Matches
1269,Justin Kluivert,nl NED,MF,Bournemouth,eng Premier League,26-163,1999,6,164,27,26.0,1.8,1,59,0,5,21,0,2.33,4,3,+1,+0.55,+0.16,1.6,2.2,-0.5,-0.29,Matches
1270,Ruben Kluivert,nl NED,"DF,FW",Lyon,fr Ligue 1,24-147,2001,3,12,4,1.9,0.1,0,,0,3,4,4,2.00,0,2,-2,-15.00,-15.87,0.0,0.9,-0.9,-7.08,Matches
1271,Ansgar Knauff,de GER,"FW,MF",Eint Frankfurt,de Bundesliga,23-278,2002,6,206,34,38.1,2.3,1,90,1,5,23,0,1.50,9,7,+2,+0.87,+1.14,4.5,3.8,+0.7,+0.29,Matches
1272,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,27-313,1997,6,540,90,100.0,6.0,6,90,6,0,,0,2.33,12,4,+8,+1.33,,10.1,5.1,+5.0,+0.84,Matches
1273,Robin Koch,de GER,DF,Eint Frankfurt,de Bundesliga,29-090,1996,6,540,90,100.0,6.0,6,90,6,0,,0,1.50,17,16,+1,+0.17,,10.1,9.0,+1.1,+0.18,Matches
1274,Diego Kochen,us USA,GK,Barcelona,es La Liga,19-210,2006,0,,,,,0,,0,0,,7,,,,,,,,,,,Matches
1275,Christian Kofane,cm CMR,FW,Leverkusen,de Bundesliga,19-081,2006,6,183,31,33.9,2.0,2,76,0,4,8,0,1.83,6,2,+4,+1.97,+1.97,4.9,2.4,+2.4,+1.20,Matches
1276,Hervé Koffi,bf BFA,GK,Angers,fr Ligue 1,28-364,1996,7,630,90,100.0,7.0,7,90,7,0,,0,0.71,3,11,-8,-1.14,,6.6,13.8,-7.1,-1.02,Matches
1277,Enzo Koffi Vinette,fr FRA,"DF,FW",Le Havre,fr Ligue 1,19-225,2006,2,7,4,1.1,0.1,0,,0,2,4,0,1.00,0,0,0,0.00,+0.29,0.1,0.3,-0.2,-2.54,Matches
1278,Derrick Köhn,gh GHA,DF,Union Berlin,de Bundesliga,26-253,1999,6,308,51,57.0,3.4,3,86,1,3,17,0,1.17,4,7,-3,-0.88,-0.10,4.4,5.9,-1.5,-0.44,Matches
1279,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,27-196,1998,5,372,74,59.0,4.1,4,90,4,1,12,2,2.00,11,8,+3,+0.73,+0.38,9.5,6.4,+3.1,+0.74,Matches
1280,Dominik Kohr,de GER,DF,Mainz 05,de Bundesliga,31-257,1994,5,382,76,70.7,4.2,5,76,2,0,,0,0.80,3,7,-4,-0.94,-0.37,5.7,5.9,-0.2,-0.04,Matches
1281,Koke,es ESP,MF,Atlético Madrid,es La Liga,33-280,1992,7,449,64,62.4,5.0,5,80,3,2,24,1,1.71,10,7,+3,+0.60,-0.06,7.9,6.1,+1.8,+0.36,Matches
1282,Luca Koleosho,it ITA,"MF,FW",Espanyol,es La Liga,21-030,2004,3,63,21,8.8,0.7,0,,0,3,21,4,1.00,0,0,0,0.00,0.00,1.8,1.3,+0.6,+0.79,Matches
1283,Markus Kolke,de GER,GK,Werder Bremen,de Bundesliga,35-058,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,Matches
1284,Adam Kölle,de GER,"MF,DF",Heidenheim,de Bundesliga,19-170,2006,3,31,10,5.7,0.3,0,,0,3,10,1,1.00,1,1,0,0.00,+1.24,1.3,0.6,+0.7,+2.12,Matches
1285,Randal Kolo Muani,fr FRA,"FW,MF",Tottenham,eng Premier League,26-314,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1286,Timothée Kolodziejczak,fr FRA,DF,Paris FC,fr Ligue 1,34-014,1991,2,88,44,14.0,1.0,1,84,0,1,4,5,1.50,0,1,-1,-1.02,-1.02,0.7,0.9,-0.2,-0.17,Matches
1287,Mert Kömür,de GER,"FW,MF",Augsburg,de Bundesliga,20-090,2005,6,482,80,89.3,5.4,5,90,5,1,32,0,1.00,11,11,0,0.00,+3.10,6.1,12.4,-6.3,-1.18,Matches
1288,Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,26-143,1999,7,562,80,89.2,6.2,7,80,3,0,,0,2.14,9,7,+2,+0.32,-2.33,8.3,6.2,+2.0,+0.32,Matches
1289,Geoffrey Kondogbia,cf CTA,"MF,DF",Marseille,fr Ligue 1,32-242,1993,2,105,53,16.7,1.2,2,53,0,0,,0,1.50,3,0,+3,+2.57,+1.37,2.5,0.5,+2.0,+1.74,Matches
1290,Ismaël Koné,ca CAN,MF,Sassuolo,it Serie A,23-131,2002,5,394,79,73.0,4.4,5,79,1,0,,0,1.80,4,4,0,0.00,0.00,3.9,5.3,-1.4,-0.32,Matches
1291,Manu Koné,fr FRA,MF,Roma,it Serie A,24-151,2001,6,540,90,100.0,6.0,6,90,6,0,,0,2.50,7,2,+5,+0.83,,7.0,5.2,+1.8,+0.30,Matches
1292,Ransford Königsdörffer,gh GHA,FW,Hamburger SV,de Bundesliga,24-032,2001,6,454,76,84.1,5.0,6,76,0,0,,0,1.33,6,7,-1,-0.20,+0.85,5.3,8.2,-2.9,-0.58,Matches
1293,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,27-357,1997,6,515,86,81.7,5.7,6,86,5,0,,0,1.50,6,6,0,0.00,+0.78,4.7,8.2,-3.5,-0.61,Matches
1294,Teun Koopmeiners,nl NED,MF,Juventus,it Serie A,27-229,1998,5,270,54,50.0,3.0,2,81,1,3,36,1,2.20,6,3,+3,+1.00,+0.67,3.6,2.2,+1.4,+0.45,Matches
1295,Yoan Koré,fr FRA,DF,Paris FC,fr Ligue 1,20-333,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1296,Eman Košpo,ba BIH,DF,Fiorentina,it Serie A,18-151,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1297,Odilon Kossounou,ci CIV,DF,Atalanta,it Serie A,24-284,2001,4,273,68,50.6,3.0,3,90,3,1,3,1,2.00,8,2,+6,+1.98,+1.98,4.5,3.2,+1.3,+0.42,Matches
1298,Filip Kostić,rs SRB,"DF,FW",Juventus,it Serie A,32-348,1992,2,34,17,6.3,0.4,0,,0,2,17,4,2.00,1,0,+1,+2.65,+2.11,0.3,0.4,-0.1,-0.29,Matches
1299,Ilias Kostis,gr GRE,DF,Atlético Madrid,es La Liga,22-230,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1300,Charalampos Kostoulas,gr GRE,FW,Brighton,eng Premier League,18-138,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1301,Eddy Kouadio,ci CIV,DF,Fiorentina,it Serie A,19-138,2006,1,45,45,8.3,0.5,0,,0,1,45,4,1.00,0,0,0,0.00,+0.73,1.2,0.2,+0.9,+1.88,Matches
1302,Koffi Kouao,ci CIV,DF,Metz,fr Ligue 1,27-148,1998,7,622,89,98.7,6.9,7,89,5,0,,0,0.29,5,14,-9,-1.30,+21.20,7.1,14.8,-7.7,-1.12,Matches
1303,Arsène Kouassi,bf BFA,"DF,MF",Lorient,fr Ligue 1,21-034,2004,7,560,80,88.9,6.2,6,81,2,1,77,0,1.00,9,12,-3,-0.48,+4.66,7.7,9.1,-1.4,-0.22,Matches
1304,Christ-Owen Kouassi,fr FRA,DF,Lecce,it Serie A,22-183,2003,4,228,57,42.2,2.5,3,68,1,1,23,2,0.50,2,6,-4,-1.58,-1.29,2.1,4.6,-2.5,-0.99,Matches
1305,Konstantinos Koulierakis,gr GRE,DF,Wolfsburg,de Bundesliga,21-321,2003,6,540,90,100.0,6.0,6,90,6,0,,0,0.83,8,10,-2,-0.33,,9.5,9.5,0.0,0.00,Matches
1306,Seny Koumbassa,fr FRA,DF,Toulouse,fr Ligue 1,18-117,2007,1,12,12,1.9,0.1,0,,0,1,12,5,0.00,2,0,+2,+15.00,+15.44,0.9,0.1,+0.9,+6.42,Matches
1307,Jules Koundé,fr FRA,DF,Barcelona,es La Liga,26-337,1998,8,488,61,67.8,5.4,5,90,5,3,13,0,2.38,16,6,+10,+1.84,+0.68,12.8,6.5,+6.4,+1.17,Matches
