Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Matches
56,Manuel Akanji,ch SUI,DF,Inter,it Serie A,30-088,1995,4,360,90,66.7,4.0,4,90,4,0,,0,2.25,11,6,+5,+1.25,-0.75,9.1,2.4,+6.7,+1.68,Matches
57,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30-239,1995,4,115,29,18.3,1.3,0,,0,4,29,3,1.75,2,3,-1,-0.78,-2.53,2.8,1.4,+1.4,+1.09,Matches
58,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,21-182,2004,4,131,33,18.2,1.5,2,45,0,2,21,3,2.50,1,2,-1,-0.69,-1.76,1.9,3.0,-1.1,-0.74,Matches
59,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,it Serie A,20-324,2004,5,389,78,72.0,4.3,4,90,4,1,29,1,0.40,2,8,-6,-1.39,-0.79,3.8,7.1,-3.4,-0.78,Matches
60,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,23-232,2002,6,540,90,85.7,6.0,6,90,6,0,,0,2.17,15,9,+6,+1.00,+3.00,12.8,9.2,+3.5,+0.59,Matches
61,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23-325,2001,6,450,75,71.4,5.0,5,85,4,1,26,0,1.00,3,8,-5,-1.00,-1.00,5.4,5.9,-0.5,-0.10,Matches
62,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,it Serie A,33-004,1992,4,197,49,36.5,2.2,2,61,0,2,38,0,0.50,1,3,-2,-0.91,+0.40,3.9,1.7,+2.2,+1.02,Matches
63,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30-179,1995,2,25,13,4.6,0.3,0,,0,2,13,4,1.50,0,1,-1,-3.60,-3.25,0.1,1.0,-0.9,-3.39,Matches
64,David Alaba,at AUT,DF,Real Madrid,es La Liga,33-113,1992,2,12,6,1.7,0.1,0,,0,2,6,6,3.00,0,0,0,0.00,-1.27,0.4,0.2,+0.3,+1.89,Matches
65,Raúl Albiol,es ESP,DF,Pisa,it Serie A,40-041,1985,0,,,,,0,,0,0,,4,,,,,,,,,,,Matches
66,Carlos Alcaraz,ar ARG,"MF,FW",Everton,eng Premier League,22-319,2002,5,165,33,26.2,1.8,1,85,0,4,20,2,1.80,2,1,+1,+0.55,+0.35,2.7,3.7,-1.0,-0.57,Matches
67,Omar Alderete,py PAR,DF,Sunderland,eng Premier League,28-293,1996,7,578,83,91.7,6.4,6,90,6,1,38,0,1.57,7,6,+1,+0.16,+0.16,6.2,8.4,-2.1,-0.33,Matches
68,Alexandre Alemão,br BRA,FW,Rayo Vallecano,es La Liga,27-197,1998,5,276,55,38.3,3.1,3,73,0,2,29,0,0.80,2,2,0,0.00,+0.41,3.9,2.9,+0.9,+0.31,Matches
69,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,22-351,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,Matches
70,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,27-283,1998,8,513,64,71.3,5.7,6,80,2,2,16,0,1.38,7,6,+1,+0.18,+0.18,6.1,6.1,0.0,0.00,Matches
71,Ben Alexander Voll,de GER,GK,St. Pauli,de Bundesliga,24-310,2000,0,,,,,0,,0,0,,6,,,,,,,,,,,Matches
72,Trent Alexander-Arnold,eng ENG,DF,Real Madrid,es La Liga,27-008,1998,4,151,38,21.0,1.7,2,69,0,2,7,0,3.00,4,1,+3,+1.79,+0.68,3.3,1.5,+1.8,+1.09,Matches
73,Mykyta Alexandrov,ua UKR,MF,Getafe,es La Liga,20-354,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
74,Alfon,es ESP,"FW,DF",Sevilla,es La Liga,26-164,1999,3,163,54,22.6,1.8,3,54,1,0,,0,2.33,4,1,+3,+1.66,+1.49,1.8,2.9,-1.0,-0.58,Matches
75,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,21-269,2004,3,150,50,23.8,1.7,2,69,0,1,12,0,0.67,3,2,+1,+0.60,+1.35,2.3,3.0,-0.7,-0.43,Matches
76,Alisson,br BRA,GK,Liverpool,eng Premier League,33-013,1992,6,540,90,85.7,6.0,6,90,6,0,,0,2.50,12,7,+5,+0.83,+1.83,9.0,6.9,+2.1,+0.34,Matches
77,Eder Aller,es ESP,GK,Barcelona,es La Liga,18-194,2007,0,,,,,0,,0,0,,3,,,,,,,,,,,Matches
78,Jim Allevinah,ga GAB,"FW,DF",Angers,fr Ligue 1,30-230,1995,3,80,27,12.7,0.9,0,,0,3,27,0,1.33,0,0,0,0.00,+1.31,0.5,1.3,-0.8,-0.91,Matches
79,Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,es La Liga,24-172,2001,3,206,69,28.6,2.3,3,69,0,0,,0,0.67,3,2,+1,+0.44,-0.26,2.3,1.8,+0.5,+0.23,Matches
80,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,25-138,2000,3,88,29,12.2,1.0,1,54,0,2,17,4,1.33,2,0,+2,+2.05,+2.90,2.7,0.7,+2.1,+2.10,Matches
81,Pontus Almqvist,se SWE,"DF,MF",Parma,it Serie A,26-097,1999,5,291,58,53.9,3.2,3,72,0,2,37,1,0.40,0,2,-2,-0.62,+0.10,2.3,2.3,-0.1,-0.02,Matches
82,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-291,1990,5,384,77,53.3,4.3,4,88,3,1,33,0,0.60,3,6,-3,-0.70,-0.70,4.5,6.0,-1.5,-0.35,Matches
83,Adrià Altimira,es ESP,DF,Villarreal,es La Liga,24-201,2001,1,9,9,1.3,0.1,0,,0,1,9,7,0.00,0,0,0,0.00,-0.76,0.0,0.2,-0.2,-1.61,Matches
84,Sergi Altimira,es ESP,MF,Betis,es La Liga,24-051,2001,7,450,64,62.5,5.0,5,83,3,2,19,1,1.71,5,6,-1,-0.20,-2.20,6.4,5.2,+1.1,+0.22,Matches
85,Edu Altozano,es ESP,MF,Sevilla,es La Liga,18-363,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,Matches
86,Agustín Álvarez,uy URU,FW,Sassuolo,it Serie A,24-149,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
87,Carlos Álvarez,es ESP,MF,Levante,es La Liga,22-070,2003,8,490,61,68.1,5.4,6,76,1,2,19,0,1.00,9,11,-2,-0.37,-0.76,8.0,8.4,-0.4,-0.07,Matches
88,Edson Álvarez,mx MEX,"DF,MF",West Ham,eng Premier League,27-356,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
89,Hugo Álvarez,es ESP,"FW,DF",Celta Vigo,es La Liga,22-105,2003,6,306,51,42.5,3.4,3,73,1,3,29,1,0.83,6,3,+3,+0.88,+2.19,4.8,4.7,0.0,+0.01,Matches
90,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-257,2000,8,623,78,86.5,6.9,8,78,2,0,,0,1.63,12,8,+4,+0.58,-0.35,11.6,7.7,+3.9,+0.57,Matches
91,Skelly Alvero,fr FRA,DF,Werder Bremen,de Bundesliga,23-164,2002,2,34,17,6.3,0.4,0,,0,2,17,4,2.00,2,0,+2,+5.29,+6.54,1.5,0.5,+1.0,+2.66,Matches
92,Giuseppe Ambrosino,it ITA,FW,Napoli,it Serie A,22-035,2003,1,16,16,3.0,0.2,0,,0,1,16,5,3.00,1,0,+1,+5.63,+4.77,1.1,0.1,+1.0,+5.77,Matches
93,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,22-076,2003,2,14,7,2.6,0.2,0,,0,2,7,1,1.50,0,3,-3,-19.29,-19.97,0.0,1.3,-1.3,-8.43,Matches
94,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-249,1998,7,630,90,100.0,7.0,7,90,7,0,,0,0.86,5,7,-2,-0.29,,5.3,10.5,-5.2,-0.74,Matches
95,Michael Amir Murillo,pa PAN,"DF,MF",Marseille,fr Ligue 1,29-246,1996,7,462,66,73.3,5.1,5,87,4,2,13,0,2.14,11,4,+7,+1.36,-0.24,9.6,5.7,+3.9,+0.76,Matches
96,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,28-353,1996,6,494,82,91.5,5.5,6,82,3,0,,0,0.67,5,9,-4,-0.73,+1.23,7.0,7.1,-0.1,-0.02,Matches
97,Samuel Amo-Ameyaw,eng ENG,"DF,FW",Strasbourg,fr Ligue 1,19-089,2006,5,207,41,32.9,2.3,1,79,0,4,32,2,1.80,4,3,+1,+0.43,-0.84,3.7,2.5,+1.2,+0.53,Matches
98,Peter Amoran,se SWE,DF,Parma,it Serie A,21-146,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
99,Mathis Amougou,fr FRA,MF,Strasbourg,fr Ligue 1,19-270,2006,3,133,44,21.1,1.5,2,58,0,1,18,2,2.00,2,4,-2,-1.35,-2.98,2.3,2.1,+0.2,+0.12,Matches
