Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
19,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-243,1999,6.7,286,343,83.4,4935,1267,0,0.0,0.2,0.0,1,29,0,0,31,Matches
20,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24-131,2001,2.6,22,47,46.8,285,55,1,1.0,0.1,0.0,2,0,1,1,1,Matches
21,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28-021,1997,3.9,314,349,90.0,5739,1990,0,0.0,0.1,0.0,0,17,1,0,15,Matches
22,Jayden Addai,nl NED,FW,Como,it Serie A,20-050,2005,2.0,31,50,62.0,508,112,0,0.1,0.1,-0.1,2,2,2,0,5,Matches
23,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,23-270,2002,3.6,58,91,63.7,816,137,1,1.0,1.4,0.0,4,4,0,0,7,Matches
24,Simon Adingra,ci CIV,FW,Sunderland,eng Premier League,23-287,2002,3.0,48,69,69.6,803,94,0,0.6,0.2,-0.6,5,0,4,2,2,Matches
25,Amine Adli,ma MAR,"FW,MF",Bournemouth,eng Premier League,25-158,2000,1.7,54,74,73.0,748,176,0,0.2,0.1,-0.2,4,1,1,0,5,Matches
26,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19-156,2006,1.2,43,58,74.1,721,186,0,0.1,0.1,-0.1,3,4,2,0,7,Matches
27,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,28-282,1997,4.5,181,213,85.0,3389,849,0,0.4,0.4,-0.4,2,16,3,0,23,Matches
28,David Affengruber,at AUT,DF,Elche,es La Liga,24-210,2001,7.4,417,461,90.5,7036,2346,0,0.1,0.2,-0.1,1,26,4,0,22,Matches
29,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,27-245,1998,0.5,8,15,53.3,158,46,0,0.0,0.1,0.0,0,0,1,1,1,Matches
30,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28-120,1997,5.8,287,362,79.3,6443,2578,0,0.1,0.3,-0.1,2,36,5,2,26,Matches
31,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24-293,2000,8.0,200,279,71.7,5137,3676,0,0.0,0.0,0.0,1,1,0,0,1,Matches
32,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-248,2002,6.8,232,291,79.7,3830,1181,1,0.8,0.3,+0.2,8,37,6,2,35,Matches
33,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,26-018,1999,5.4,198,248,79.8,3254,661,0,0.4,0.4,-0.4,5,8,3,2,12,Matches
34,Marc Aguado,es ESP,MF,Elche,es La Liga,25-235,2000,4.4,252,275,91.6,3588,1061,0,0.0,0.1,0.0,1,30,0,0,19,Matches
35,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,29-199,1996,2.0,106,119,89.1,1731,663,0,0.0,0.0,0.0,0,12,0,0,9,Matches
36,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,29-199,1996,4.0,312,337,92.6,5211,1911,0,0.0,0.1,0.0,1,28,0,0,13,Matches
37,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,32-172,1993,6.1,236,297,79.5,3494,1558,0,1.0,0.8,-1.0,12,18,12,6,24,Matches
38,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,17-234,2008,2.7,103,121,85.1,1652,560,0,0.0,0.0,0.0,0,10,0,0,7,Matches
