Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
451,Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,21-177,2004,1.4,83,79,4,1,0,0,1,1,0,0,0,0,77,0,1,Matches
452,Woyo Coulibaly,ml MLI,DF,Sassuolo,it Serie A,26-148,1999,1.6,58,43,15,2,0,0,2,13,0,0,0,0,50,0,2,Matches
453,Marius Courcoul,fr FRA,MF,Angers,fr Ligue 1,18-287,2007,1.0,33,33,0,0,0,0,0,0,0,0,0,0,23,0,1,Matches
454,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,33-157,1992,8.0,243,193,49,11,0,1,0,0,0,0,0,0,187,1,0,Matches
455,Yan Couto,br BRA,"DF,MF",Dortmund,de Bundesliga,23-134,2002,4.4,265,213,51,5,0,1,19,41,5,4,0,0,214,1,6,Matches
456,Patrice Čović,hr CRO,"MF,FW",Werder Bremen,de Bundesliga,18-112,2007,1.5,89,89,0,0,0,0,1,0,0,0,0,0,70,0,0,Matches
457,Nicolas Cozza,fr FRA,DF,Nantes,fr Ligue 1,26-280,1999,4.9,189,134,53,9,0,0,2,44,0,0,0,0,134,2,6,Matches
458,Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,23-059,2002,7.0,318,290,28,8,0,1,0,0,0,0,0,0,277,0,0,Matches
459,Bryan Cristante,it ITA,MF,Roma,it Serie A,30-226,1995,5.6,332,329,3,3,0,4,3,0,0,0,0,0,265,0,4,Matches
460,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,33-079,1992,5.3,180,157,23,6,0,1,3,17,0,0,0,0,153,0,2,Matches
461,Juan Cuadrado,co COL,"MF,DF",Pisa,it Serie A,37-142,1988,1.5,51,42,9,2,0,0,6,5,2,1,1,0,39,0,2,Matches
462,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,18-266,2007,4.8,407,385,22,18,1,1,0,2,0,0,0,0,375,0,1,Matches
463,Cucho,co COL,FW,Betis,es La Liga,26-178,1999,7.6,187,176,11,0,0,6,7,1,0,0,0,0,133,0,6,Matches
464,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,27-085,1998,6.0,353,312,41,2,1,1,5,39,0,0,0,0,308,0,5,Matches
465,Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,25-332,1999,1.0,58,54,4,2,0,0,0,0,0,0,0,0,51,0,2,Matches
466,Josh Cullen,ie IRL,MF,Burnley,eng Premier League,29-191,1996,6.6,327,306,19,15,3,0,4,0,2,0,0,0,267,2,3,Matches
467,Pablo Cuñat,es ESP,GK,Levante,es La Liga,23-170,2002,2.0,71,39,32,6,0,0,0,0,0,0,0,0,43,0,1,Matches
468,Jair Cunha,br BRA,DF,Nott'ham Forest,eng Premier League,20-222,2005,1.0,49,45,3,2,0,0,0,1,0,0,0,0,38,1,1,Matches
469,Matheus Cunha,br BRA,"MF,FW",Manchester Utd,eng Premier League,26-141,1999,3.9,91,86,4,2,1,0,6,1,0,0,0,0,75,1,1,Matches
470,Patrick Cutrone,it ITA,FW,Parma,it Serie A,27-285,1998,3.9,80,79,1,0,0,0,7,1,0,0,0,0,52,0,4,Matches
471,Lucas Da Cunha,fr FRA,MF,Como,it Serie A,24-128,2001,4.4,255,234,21,16,0,1,14,1,4,0,3,0,220,0,6,Matches
472,Adam Daghim,dk DEN,FW,Wolfsburg,de Bundesliga,20-017,2005,2.0,74,73,0,0,0,0,3,0,0,0,0,0,46,1,5,Matches
473,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,27-202,1998,6.0,257,197,58,17,0,0,0,0,0,0,0,0,186,2,0,Matches
474,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,de Bundesliga,29-287,1996,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
475,Ameen Al-Dakhil,be BEL,DF,Stuttgart,de Bundesliga,23-223,2002,0.4,27,27,0,0,0,0,0,0,0,0,0,0,25,0,0,Matches
476,Thijs Dallinga,nl NED,"FW,MF",Bologna,it Serie A,25-073,2000,2.1,57,55,1,0,0,1,0,0,0,0,0,0,38,1,2,Matches
477,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,26-211,1999,3.7,185,142,43,1,1,2,13,42,0,0,0,0,139,0,2,Matches
478,Muhammed Damar,de GER,"FW,MF",Hoffenheim,de Bundesliga,21-189,2004,2.3,113,88,24,5,0,1,26,1,18,11,6,0,79,1,3,Matches
479,Mikkel Damsgaard,dk DEN,MF,Brentford,eng Premier League,25-104,2000,4.6,175,132,41,8,0,0,35,2,21,9,6,3,120,2,3,Matches
480,Arnaut Danjuma,nl NED,"FW,MF",Valencia,es La Liga,28-257,1997,6.1,127,121,6,0,2,3,12,0,3,0,3,0,93,0,4,Matches
481,Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,21-109,2004,6.8,324,306,16,6,3,3,12,0,9,4,3,0,271,2,4,Matches
482,Kevin Danso,at AUT,DF,Tottenham,eng Premier League,27-026,1998,0.2,25,24,1,0,0,0,0,1,0,0,0,0,23,0,0,Matches
483,Dante,br BRA,DF,Nice,fr Ligue 1,41-362,1983,0.8,62,57,5,2,0,0,0,0,0,0,0,0,58,0,0,Matches
484,Aiman Dardari,lu LUX,MF,Augsburg,de Bundesliga,20-208,2005,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
485,Sergi Darder,es ESP,"MF,FW",Mallorca,es La Liga,31-297,1993,7.2,296,249,46,10,1,6,39,5,16,10,5,1,236,1,6,Matches
486,Karl Darlow,wls WAL,GK,Leeds United,eng Premier League,35-007,1990,4.0,179,137,41,16,0,0,0,0,0,0,0,0,114,1,0,Matches
487,Matteo Darmian,it ITA,DF,Inter,it Serie A,35-317,1989,0.2,4,2,2,0,0,0,1,2,0,0,0,0,1,0,0,Matches
488,Juan David Cabal,co COL,DF,Juventus,it Serie A,24-280,2001,0.4,14,14,0,0,0,0,0,0,0,0,0,0,13,0,0,Matches
489,Jonathan David,ca CAN,FW,Juventus,it Serie A,25-274,2000,2.7,52,51,1,0,0,0,0,0,0,0,0,0,45,0,1,Matches
490,Davinchi,es ESP,DF,Getafe,es La Liga,17-364,2007,4.8,214,159,54,0,0,0,12,54,0,0,0,0,140,1,8,Matches
491,Keinan Davis,eng ENG,FW,Udinese,it Serie A,27-244,1998,4.9,83,74,9,1,0,0,0,0,0,0,0,0,66,0,1,Matches
492,Kevin De Bruyne,be BEL,MF,Napoli,it Serie A,34-109,1991,4.9,332,298,33,12,8,3,22,3,18,11,1,0,266,1,6,Matches
493,Mathys De Carvalho,fr FRA,"MF,FW",Lyon,fr Ligue 1,20-167,2005,0.1,12,11,1,1,0,0,0,0,0,0,0,0,12,0,0,Matches
494,Maxim De Cuyper,be BEL,DF,Brighton,eng Premier League,24-297,2000,3.3,166,139,27,9,0,2,8,16,2,2,0,0,136,0,2,Matches
495,Charles De Ketelaere,be BEL,MF,Atalanta,it Serie A,24-219,2001,3.1,142,136,6,1,2,0,9,4,1,0,0,0,110,0,4,Matches
496,Jeffrey De Lange,nl NED,GK,Marseille,fr Ligue 1,27-197,1998,1.0,8,7,1,0,0,0,0,0,0,0,0,0,8,0,0,Matches
497,Manuel De Luca,it ITA,FW,Cremonese,it Serie A,27-090,1998,0.2,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
498,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,24-255,2001,2.5,86,61,24,12,0,0,0,0,0,0,0,0,47,1,0,Matches
499,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,37-145,1988,1.5,56,39,17,3,0,0,2,14,0,0,0,0,42,0,2,Matches
500,Thibault De Smet,be BEL,DF,Paris FC,fr Ligue 1,27-132,1998,4.1,260,221,39,8,0,1,3,31,0,0,0,0,228,0,4,Matches
501,Koni De Winter,be BEL,DF,Milan,it Serie A,23-125,2002,0.9,38,37,1,1,0,0,0,0,0,0,0,0,29,0,0,Matches
502,Alessandro Deiola,it ITA,"MF,DF",Cagliari,it Serie A,30-075,1995,4.8,162,159,3,1,0,0,1,0,0,0,0,0,129,0,6,Matches
503,Romain Del Castillo,fr FRA,"FW,MF",Brest,fr Ligue 1,29-200,1996,5.3,232,197,35,13,3,0,38,7,14,8,4,0,149,0,10,Matches
504,Enrico Del Prato,it ITA,DF,Parma,it Serie A,25-339,1999,6.0,259,220,39,7,0,0,2,32,0,0,0,0,211,0,0,Matches
505,Thomas Delaine,fr FRA,DF,Le Havre,fr Ligue 1,33-205,1992,1.4,106,90,16,4,0,0,13,12,0,0,0,0,76,0,1,Matches
506,Liam Delap,eng ENG,FW,Chelsea,eng Premier League,22-249,2003,1.0,15,15,0,0,0,0,1,0,0,0,0,0,9,0,0,Matches
507,Fisayo Dele-Bashiru,ng NGA,MF,Lazio,it Serie A,24-251,2001,2.3,83,83,0,0,0,0,0,0,0,0,0,0,77,0,0,Matches
508,Ali Dembélé,fr FRA,DF,Torino,it Serie A,21-283,2004,0.1,7,3,4,0,0,0,0,4,0,0,0,0,3,0,0,Matches
509,Ousmane Dembélé,fr FRA,FW,Paris S-G,fr Ligue 1,28-153,1997,2.0,170,158,12,1,1,0,7,0,9,0,0,0,145,0,2,Matches
510,Jessy Deminguet,fr FRA,MF,Metz,fr Ligue 1,27-281,1998,3.5,145,139,6,3,0,2,7,2,0,0,0,0,120,0,5,Matches
511,Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,27-204,1998,5.5,70,70,0,0,1,0,0,0,0,0,0,0,52,0,2,Matches
512,Rav van den Berg,nl NED,DF,Köln,de Bundesliga,21-100,2004,1.8,68,67,1,1,0,0,0,0,0,0,0,0,61,0,0,Matches
513,Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,23-299,2001,7.0,273,258,14,3,0,0,0,2,0,0,0,0,246,1,1,Matches
514,Leander Dendoncker,be BEL,MF,Oviedo,es La Liga,30-183,1995,6.9,242,231,10,7,0,3,2,2,0,0,0,0,203,1,2,Matches
515,Daniel Denoon,ch SUI,DF,Pisa,it Serie A,21-260,2004,0.9,21,19,2,0,0,0,0,2,0,0,0,0,17,0,0,Matches
516,Nelson Deossa,co COL,MF,Betis,es La Liga,25-251,2000,0.7,36,34,2,2,0,1,2,0,0,0,0,0,32,0,0,Matches
517,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,29-112,1996,4.0,125,100,25,12,0,0,0,0,0,0,0,0,91,0,1,Matches
518,Bahmed Deuff,mr MTN,MF,Nantes,fr Ligue 1,19-216,2006,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
519,Justin Devenny,nir NIR,"MF,FW",Crystal Palace,eng Premier League,22-004,2003,1.7,54,50,3,1,1,0,1,0,0,0,0,0,38,1,2,Matches
520,Kiernan Dewsbury-Hall,eng ENG,MF,Everton,eng Premier League,27-039,1998,6.0,232,199,33,16,2,2,28,1,11,10,0,0,181,0,2,Matches
521,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,28-080,1997,6.0,192,158,34,12,0,0,0,0,0,0,0,0,156,0,1,Matches
522,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,32-072,1993,6.0,430,363,67,14,2,0,13,53,0,0,0,0,366,0,8,Matches
523,Alessandro Di Pardo,it ITA,DF,Cagliari,it Serie A,26-089,1999,0.6,24,16,8,0,0,0,0,8,0,0,0,0,18,0,2,Matches
524,Boulaye Dia,sn SEN,"MF,FW",Lazio,it Serie A,28-333,1996,3.2,72,68,4,0,0,1,0,0,0,0,0,0,59,0,3,Matches
525,Bambo Diaby,sn SEN,DF,Elche,es La Liga,27-302,1997,0.5,30,25,5,4,0,0,0,1,0,0,0,0,29,0,0,Matches
526,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,28-300,1996,5.0,248,236,10,9,0,0,0,1,0,0,0,0,213,2,0,Matches
527,Bafodé Diakité,fr FRA,DF,Bournemouth,eng Premier League,24-282,2001,6.0,314,303,11,11,0,1,0,0,0,0,0,0,279,0,2,Matches
528,Amad Diallo,ci CIV,"DF,MF",Manchester Utd,eng Premier League,23-096,2002,5.0,206,184,21,1,1,1,5,20,0,0,0,0,186,1,1,Matches
529,Habib Diallo,sn SEN,FW,Metz,fr Ligue 1,30-119,1995,3.9,45,41,4,0,0,0,2,1,0,0,0,0,31,0,4,Matches
530,Grady Diangana,cd COD,"MF,FW",Elche,es La Liga,27-179,1998,1.6,48,45,3,2,0,0,3,1,0,0,0,0,39,0,1,Matches
531,Habib Diarra,sn SEN,MF,Sunderland,eng Premier League,21-285,2004,3.8,121,121,0,0,0,0,8,0,0,0,0,0,93,0,6,Matches
532,Moussa Diarra,ml MLI,DF,Alavés,es La Liga,24-339,2000,2.4,93,64,29,1,0,1,1,28,0,0,0,0,61,0,4,Matches
533,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,28-154,1997,6.1,405,392,13,8,1,0,0,1,0,0,0,0,376,0,1,Matches
534,Krépin Diatta,sn SEN,DF,Monaco,fr Ligue 1,26-232,1999,2.1,142,121,20,1,0,0,14,19,0,0,0,0,116,1,1,Matches
535,Mory Diaw,sn SEN,GK,Le Havre,fr Ligue 1,32-115,1993,7.0,282,214,67,20,0,1,0,0,0,0,0,0,222,1,0,Matches
536,Brahim Díaz,ma MAR,FW,Real Madrid,es La Liga,26-073,1999,2.2,87,84,3,0,1,0,4,2,1,0,0,0,81,0,3,Matches
537,Junior Diaz,ci CIV,DF,Brest,fr Ligue 1,22-084,2003,5.2,205,201,3,2,0,4,0,1,0,0,0,0,175,1,4,Matches
538,Luis Díaz,co COL,FW,Bayern Munich,de Bundesliga,28-275,1997,5.7,258,241,16,0,1,4,8,10,0,0,0,0,213,1,6,Matches
539,Pedro Díaz,es ESP,"MF,FW",Rayo Vallecano,es La Liga,27-132,1998,5.4,198,193,4,0,0,0,10,1,3,1,1,0,167,1,7,Matches
540,Tyler Dibling,eng ENG,FW,Everton,eng Premier League,19-217,2006,0.7,15,15,0,0,0,0,1,0,0,0,0,0,13,0,1,Matches
541,Nouha Dicko,ml MLI,FW,Paris FC,fr Ligue 1,33-154,1992,0.5,8,7,1,0,1,0,0,0,0,0,0,0,5,0,0,Matches
542,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,25-206,2000,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
543,Eric Dier,eng ENG,DF,Monaco,fr Ligue 1,31-273,1994,6.0,489,474,14,11,0,2,2,1,0,0,0,0,451,1,1,Matches
544,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,32-087,1993,5.4,270,214,56,6,1,0,25,42,8,6,1,0,196,0,17,Matches
545,Kevin Diks,id IDN,DF,Gladbach,de Bundesliga,29-009,1996,5.2,317,291,26,10,1,4,3,10,0,0,0,0,281,0,2,Matches
546,Federico Dimarco,it ITA,DF,Inter,it Serie A,27-339,1997,4.4,235,195,36,0,0,4,51,15,21,5,14,0,179,4,3,Matches
547,Junior Dina Ebimbe,fr FRA,"FW,MF",Brest,fr Ligue 1,24-328,2000,1.4,29,28,0,0,0,0,1,0,0,0,0,0,19,1,2,Matches
548,Eren Dinkçi,de GER,"FW,MF",Freiburg,de Bundesliga,23-306,2001,2.3,81,78,2,1,0,1,10,1,0,0,0,0,52,1,6,Matches
549,Yan Diomandé,ci CIV,FW,RB Leipzig,de Bundesliga,18-335,2006,3.2,118,117,0,0,2,0,3,0,0,0,0,0,91,1,5,Matches
550,Issa Diop,fr FRA,DF,Fulham,eng Premier League,28-279,1997,0.9,35,35,0,0,0,0,1,0,0,0,0,0,24,0,2,Matches
551,Sérigné Diop,sn SEN,FW,Brest,fr Ligue 1,20-156,2005,0.1,3,2,1,0,0,0,1,0,1,0,1,0,2,0,1,Matches
552,Sofiane Diop,fr FRA,"MF,FW",Nice,fr Ligue 1,25-128,2000,4.3,181,169,12,1,3,3,5,3,3,3,0,0,139,0,6,Matches
553,Andy Diouf,fr FRA,MF,Inter,it Serie A,22-151,2003,0.3,15,15,0,0,0,0,0,0,0,0,0,0,13,0,0,Matches
554,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,22-151,2003,1.0,40,37,3,2,0,0,0,0,1,0,0,0,33,0,1,Matches
555,El Hadji Malick Diouf,sn SEN,DF,West Ham,eng Premier League,20-291,2004,7.0,306,245,60,2,3,1,28,51,7,6,1,0,223,1,9,Matches
556,Yehvann Diouf,sn SEN,GK,Nice,fr Ligue 1,25-333,1999,7.0,215,169,45,14,0,1,0,1,0,0,0,0,167,1,0,Matches
557,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,28-025,1997,0.1,8,7,1,1,0,0,0,0,0,0,0,0,7,0,1,Matches
558,Matías Dituro,ar ARG,GK,Elche,es La Liga,38-160,1987,5.0,308,267,41,19,0,2,0,0,0,0,0,0,242,0,1,Matches
559,Djené,tg TOG,DF,Getafe,es La Liga,33-288,1991,5.9,172,167,5,4,0,0,0,0,0,0,0,0,132,0,2,Matches
560,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,32-238,1993,5.0,273,253,19,9,0,0,1,5,0,0,0,0,238,1,4,Matches
561,Marko Dmitrović,rs SRB,GK,Espanyol,es La Liga,33-264,1992,8.0,256,185,70,26,0,2,0,0,0,0,0,0,160,1,1,Matches
562,Ritsu Doan,jp JPN,"FW,MF",Eint Frankfurt,de Bundesliga,27-121,1998,5.5,214,193,21,6,3,0,27,0,15,10,0,0,155,0,7,Matches
563,Dodô,br BRA,DF,Fiorentina,it Serie A,26-332,1998,5.9,218,183,34,2,0,1,21,32,0,0,0,0,158,1,3,Matches
564,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,27-107,1998,6.0,191,185,6,6,0,2,1,0,0,0,0,0,147,0,2,Matches
565,Matt Doherty,ie IRL,DF,Wolves,eng Premier League,33-272,1992,2.5,105,91,12,3,0,1,2,9,0,0,0,0,87,2,0,Matches
566,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,23-150,2002,5.4,181,142,39,3,0,0,7,36,0,0,0,0,147,0,3,Matches
567,Jeremy Doku,be BEL,"MF,FW",Manchester City,eng Premier League,23-141,2002,4.3,136,135,1,0,5,0,9,1,0,0,0,0,113,0,7,Matches
568,Tyrhys Dolan,eng ENG,"FW,MF",Espanyol,es La Liga,23-291,2001,6.3,168,161,6,3,1,0,29,0,3,0,3,0,115,1,3,Matches
569,Marc Domenech,es ESP,"FW,MF",Mallorca,es La Liga,19-287,2006,2.3,40,38,0,0,0,0,7,0,0,0,0,0,20,2,4,Matches
570,Benjamín Domínguez,ar ARG,"FW,MF",Bologna,it Serie A,22-026,2003,0.8,28,28,0,0,0,1,0,0,0,0,0,0,23,0,0,Matches
571,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,24-246,2001,4.0,285,280,5,5,0,1,0,0,0,0,0,0,267,0,0,Matches
572,Nicolás Domínguez,ar ARG,MF,Nott'ham Forest,eng Premier League,27-109,1998,0.5,38,37,1,1,0,0,0,0,0,0,0,0,37,0,0,Matches
573,Jean-Luc Dompé,fr FRA,FW,Hamburger SV,de Bundesliga,30-064,1995,3.1,77,70,7,1,0,0,11,4,2,2,0,0,57,0,3,Matches
574,John Donald,es ESP,"MF,DF",Elche,es La Liga,25-046,2000,1.8,108,99,9,2,0,0,0,7,0,0,0,0,94,0,3,Matches
575,Gianluigi Donnarumma,it ITA,GK,Manchester City,eng Premier League,26-232,1999,4.0,112,86,26,12,0,0,0,0,0,0,0,0,80,0,2,Matches
576,Patrick Dorgu,dk DEN,DF,Manchester Utd,eng Premier League,20-354,2004,5.2,204,171,33,0,0,1,17,33,0,0,0,0,147,0,7,Matches
577,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,27-273,1998,4.1,149,136,12,9,0,5,2,1,2,0,0,0,129,1,1,Matches
578,Lohann Doucet,fr FRA,MF,Paris FC,fr Ligue 1,23-031,2002,0.9,41,40,0,0,0,1,0,0,0,0,0,0,38,1,0,Matches
579,Fodé Doucouré,ml MLI,"MF,FW",Le Havre,fr Ligue 1,24-254,2001,4.0,160,148,10,1,0,0,24,9,0,0,0,0,113,2,5,Matches
580,Désiré Doué,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,20-134,2005,1.9,105,98,6,0,0,2,9,2,4,1,1,0,86,1,2,Matches
581,Guela Doué,ci CIV,DF,Strasbourg,fr Ligue 1,22-363,2002,2.3,143,133,10,2,0,0,3,8,0,0,0,0,124,0,2,Matches
582,Ismaël Doukouré,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,22-083,2003,5.5,370,344,23,11,2,2,1,5,0,0,0,0,330,3,4,Matches
583,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,22-239,2003,6.2,206,180,26,2,2,0,14,3,14,7,5,0,162,0,1,Matches
584,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,26-074,1999,3.2,59,54,5,0,1,1,0,0,0,0,0,0,47,0,3,Matches
585,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,28-116,1997,2.0,49,49,0,0,1,0,0,0,0,0,0,0,34,0,2,Matches
586,Max Dowman,eng ENG,FW,Arsenal,eng Premier League,15-288,2009,0.3,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
587,Domingos Duarte,pt POR,DF,Getafe,es La Liga,30-219,1995,5.5,149,140,8,7,0,1,0,1,0,0,0,0,110,1,0,Matches
588,Martin Dúbravka,sk SVK,GK,Burnley,eng Premier League,36-273,1989,7.0,253,146,106,21,0,0,0,0,0,0,0,0,129,1,0,Matches
589,Denzel Dumfries,nl NED,DF,Inter,it Serie A,29-180,1996,4.3,155,128,27,1,0,1,14,26,0,0,0,0,117,0,5,Matches
590,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,33-328,1991,7.0,465,406,58,22,0,1,0,1,0,0,0,0,424,1,2,Matches
591,Pablo Durán,es ESP,"FW,MF",Celta Vigo,es La Liga,24-143,2001,3.6,80,77,3,0,1,1,2,0,0,0,0,0,59,0,4,Matches
592,Hugo Duro,es ESP,FW,Valencia,es La Liga,25-339,1999,4.8,105,94,10,0,1,0,0,0,0,0,0,0,77,1,1,Matches
593,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,31-334,1993,1.5,88,71,16,5,0,2,16,0,10,1,7,0,67,1,4,Matches
594,Edin Džeko,ba BIH,FW,Fiorentina,it Serie A,39-212,1986,1.0,37,36,1,0,0,0,0,0,0,0,0,0,26,0,1,Matches
595,Adam Dźwigała,pl POL,DF,St. Pauli,de Bundesliga,30-020,1995,3.7,210,186,23,3,0,0,0,3,0,0,0,0,178,1,4,Matches
596,Aron Dønnum,no NOR,"MF,FW",Toulouse,fr Ligue 1,27-178,1998,7.0,272,242,29,6,2,3,38,8,15,8,7,0,203,1,7,Matches
597,Simon Ebonog,cm CMR,MF,Le Havre,fr Ligue 1,21-060,2004,2.5,53,50,3,0,0,0,1,1,0,0,0,0,43,0,0,Matches
598,Enzo Ebosse,cm CMR,DF,Hellas Verona,it Serie A,26-218,1999,0.6,30,29,1,1,0,0,0,0,0,0,0,0,26,0,0,Matches
599,Claudio Echeverri,ar ARG,"MF,FW",Leverkusen,de Bundesliga,19-286,2006,0.6,32,28,4,1,0,0,1,1,1,1,0,0,29,0,0,Matches
600,Éderson,br BRA,MF,Atalanta,it Serie A,26-100,1999,1.0,63,61,2,1,0,2,0,1,0,0,0,0,55,0,0,Matches
601,Noah Edjouma,fr FRA,"FW,MF",Toulouse,fr Ligue 1,20-011,2005,1.9,48,46,2,0,1,0,7,1,1,0,0,0,33,0,2,Matches
602,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,27-272,1998,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Matches
603,Odsonne Édouard,fr FRA,FW,Lens,fr Ligue 1,27-272,1998,2.1,33,29,4,0,1,0,0,0,0,0,0,0,29,0,0,Matches
604,Marcus Edwards,eng ENG,FW,Burnley,eng Premier League,26-316,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
605,CJ Egan-Riley,eng ENG,DF,Marseille,fr Ligue 1,22-286,2003,2.3,196,188,8,3,1,1,1,4,0,0,0,0,182,0,1,Matches
606,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,28-311,1996,6.0,243,229,14,8,0,0,2,6,0,0,0,0,197,0,2,Matches
607,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,30-143,1995,4.1,141,108,32,1,0,0,15,31,0,0,0,0,101,1,5,Matches
608,Ovie Ejaria,eng ENG,MF,Oviedo,es La Liga,27-331,1997,1.1,40,37,3,2,0,0,0,0,0,0,0,0,34,0,2,Matches
609,Chidera Ejuke,ng NGA,"FW,MF",Sevilla,es La Liga,27-286,1998,2.0,75,74,1,0,2,3,1,1,0,0,0,0,61,0,3,Matches
610,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,26-359,1998,5.9,163,162,1,1,1,1,1,0,0,0,0,0,138,0,3,Matches
611,Jeff Ekhator,it ITA,"FW,DF",Genoa,it Serie A,18-338,2006,1.6,32,29,2,0,0,0,2,1,0,0,0,0,16,1,1,Matches
612,Hugo Ekitike,fr FRA,FW,Liverpool,eng Premier League,23-117,2002,4.2,82,79,3,0,0,0,0,0,0,0,0,0,55,0,3,Matches
613,Jurgen Ekkelenkamp,nl NED,"MF,DF",Udinese,it Serie A,25-193,2000,1.1,22,21,1,0,0,0,1,1,0,0,0,0,15,0,0,Matches
614,Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,22-057,2003,5.1,177,145,30,3,0,0,19,27,0,0,0,0,132,2,3,Matches
615,Caleb Ekuban,gh GHA,"FW,MF",Genoa,it Serie A,31-206,1994,1.4,27,25,2,0,0,0,2,0,1,0,0,0,20,0,0,Matches
616,Anthony Elanga,se SWE,"FW,MF",Newcastle Utd,eng Premier League,23-171,2002,3.7,126,115,11,0,1,0,29,5,5,2,3,0,76,0,5,Matches
617,Daniel Elfadli,ly LBY,DF,Hamburger SV,de Bundesliga,28-192,1997,5.3,252,238,14,14,0,1,0,0,0,0,0,0,243,0,0,Matches
618,Unai Elgezabal,es ESP,DF,Levante,es La Liga,32-173,1993,6.0,235,226,8,8,0,0,0,0,0,0,0,0,208,1,1,Matches
619,Mikael Ellertsson,is ISL,"FW,DF",Genoa,it Serie A,23-218,2002,4.8,103,94,9,0,0,0,2,9,0,0,0,0,74,0,2,Matches
620,Harvey Elliott,eng ENG,"MF,FW",Liverpool,eng Premier League,22-194,2003,0.0,8,8,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
621,Harvey Elliott,eng ENG,"MF,FW",Aston Villa,eng Premier League,22-194,2003,1.1,62,59,3,0,1,0,3,2,0,0,0,0,53,0,0,Matches
622,Elif Elmas,mk MKD,MF,Napoli,it Serie A,26-021,1999,1.1,40,38,2,2,1,0,1,0,0,0,0,0,31,0,1,Matches
623,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,31-201,1994,1.1,46,40,6,0,0,0,2,6,0,0,0,0,38,0,3,Matches
624,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,29-015,1996,6.0,387,366,21,11,1,2,0,0,0,0,0,0,360,0,1,Matches
625,Breel Embolo,ch SUI,FW,Rennes,fr Ligue 1,28-243,1997,3.1,41,40,0,0,0,0,1,0,0,0,0,0,25,1,1,Matches
626,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,22-254,2003,2.5,19,18,1,0,0,0,0,0,0,0,0,0,16,0,1,Matches
