Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
74,Skelly Alvero,fr FRA,DF,Werder Bremen,de Bundesliga,23-164,2002,0.4,24,24,0,0,0,0,0,0,0,0,0,0,23,0,0,Matches
75,Giuseppe Ambrosino,it ITA,FW,Napoli,it Serie A,22-035,2003,0.2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
76,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,22-076,2003,0.2,25,19,6,2,0,1,0,4,0,0,0,0,24,0,0,Matches
77,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-249,1998,7.0,347,283,62,12,0,1,6,50,0,0,0,0,271,2,5,Matches
78,Michael Amir Murillo,pa PAN,"DF,MF",Marseille,fr Ligue 1,29-246,1996,5.1,282,241,41,3,2,0,11,38,0,0,0,0,235,0,5,Matches
79,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,28-353,1996,5.5,357,309,46,22,1,5,26,3,19,10,4,0,285,2,9,Matches
80,Samuel Amo-Ameyaw,eng ENG,"DF,FW",Strasbourg,fr Ligue 1,19-089,2006,2.3,98,91,7,0,1,0,14,4,3,2,0,0,80,0,1,Matches
81,Mathis Amougou,fr FRA,MF,Strasbourg,fr Ligue 1,19-270,2006,1.5,44,43,1,1,0,0,0,0,0,0,0,0,38,0,1,Matches
82,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,25-159,2000,4.3,108,98,10,0,2,0,9,2,0,0,0,0,74,0,7,Matches
83,Ethan Ampadu,wls WAL,MF,Leeds United,eng Premier League,25-031,2000,4.9,307,278,29,13,1,1,5,16,0,0,0,0,253,0,3,Matches
84,Sofyan Amrabat,ma MAR,MF,Betis,es La Liga,29-055,1996,2.2,120,114,6,5,0,2,0,0,1,0,0,0,110,0,2,Matches
85,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,29-137,1996,7.0,447,408,37,25,0,10,3,3,0,0,0,0,377,2,2,Matches
86,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,22-343,2002,7.0,600,554,45,15,3,6,31,4,18,10,7,0,513,1,7,Matches
87,André,br BRA,MF,Wolves,eng Premier League,24-091,2001,4.9,221,218,2,2,0,2,0,0,0,0,0,0,201,1,2,Matches
88,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,35-073,1990,5.0,246,231,14,14,1,3,5,0,0,0,0,0,199,1,9,Matches
89,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,31-023,1994,3.4,171,168,3,1,0,1,1,2,0,0,0,0,148,0,0,Matches
90,Miguel Ángel Rubio,es ESP,DF,Espanyol,es La Liga,27-218,1998,1.4,44,40,4,1,0,0,0,0,0,0,0,0,36,0,0,Matches
91,Angeliño,es ESP,"DF,MF",Roma,it Serie A,28-284,1997,4.3,244,200,43,5,0,2,14,38,0,0,0,0,183,1,6,Matches
92,Samuele Angori,it ITA,DF,Pisa,it Serie A,22-008,2003,3.1,71,49,21,9,0,1,13,9,3,3,0,0,43,1,2,Matches
93,Faustino Anjorin,eng ENG,"MF,FW",Torino,it Serie A,23-326,2001,0.3,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
