Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 37_level_0_Matches
30,Oladapo Afolayan,eng ENG,"MF,FW",St. Pauli,de Bundesliga,27-287,1998,7,1,150,1.7,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,7,7,19,0.00,0.00,0.00,0.00,0.00,0.37,0.08,0.45,0.37,0.45,Matches
31,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28-162,1997,9,7,651,7.2,0,0,0,0,0,0,0,1,0.4,0.4,0.1,0.5,5,33,6,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
32,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24-335,2000,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
33,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-290,2002,10,9,771,8.6,1,1,2,1,0,0,5,0,0.3,0.3,0.8,1.0,13,49,12,0.12,0.12,0.23,0.12,0.23,0.03,0.09,0.12,0.03,0.12,Matches
34,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,26-060,1999,6,6,483,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,9,12,28,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches
35,Marc Aguado,es ESP,MF,Elche,es La Liga,25-277,2000,12,10,797,8.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,34,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
36,Pablo Agudín,es ESP,"MF,FW",Oviedo,es La Liga,18-018,2007,3,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,6,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
37,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,29-241,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,9,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
38,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,29-241,1996,8,8,708,7.9,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.4,7,40,1,0.13,0.00,0.13,0.13,0.13,0.04,0.01,0.05,0.04,0.05,Matches
39,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,32-214,1993,13,12,987,11.0,0,0,0,0,0,0,2,0,0.3,0.3,1.0,1.2,26,43,80,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,Matches
40,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,17-276,2008,7,6,516,5.7,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,6,15,6,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,Matches
41,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,30-300,1995,5,3,371,4.1,0,1,1,0,0,0,1,0,0.2,0.2,0.5,0.7,4,11,4,0.00,0.24,0.24,0.00,0.24,0.05,0.12,0.16,0.05,0.16,Matches
