Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 21_level_0_Int,Unnamed: 22_level_0_Tkl+Int,Unnamed: 23_level_0_Clr,Unnamed: 24_level_0_Err,Unnamed: 25_level_0_Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Hugo Álvarez,es ESP,"FW,MF",Celta Vigo,es La Liga,22-152,2003,3.8,7,5,3,2,2,2,3,66.7,1,3,0,3,3,10,7,0,Matches
77,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-304,2000,11.4,7,4,1,3,3,2,6,33.3,4,6,0,6,2,9,3,0,Matches
78,Skelly Alvero,fr FRA,DF,Werder Bremen,de Bundesliga,23-211,2002,0.4,0,0,0,0,0,0,0,,0,1,1,0,1,1,3,0,Matches
79,Giuseppe Ambrosino,it ITA,FW,Napoli,it Serie A,22-082,2003,0.4,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
80,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,22-123,2003,1.2,0,0,0,0,0,0,0,,0,2,2,0,0,0,18,0,Matches
81,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-296,1998,14.0,21,10,12,8,1,14,17,82.4,3,20,10,10,4,25,59,0,Matches
82,Mohamed Amine Sbai,fr FRA,FW,Angers,fr Ligue 1,25-026,2000,5.4,9,4,4,3,2,3,8,37.5,5,7,0,7,4,13,1,0,Matches
83,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,29-293,1996,8.7,17,11,6,8,3,6,11,54.5,5,10,2,8,4,21,19,0,Matches
84,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,29-035,1996,10.5,20,12,8,8,4,9,15,60.0,6,15,3,12,11,31,9,0,Matches
