Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 25_level_0_Matches
108,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,23-131,2002,12.0,17,1.41,14,2,0,1,0,0,1,0.08,1,0,0,0,0,0,Matches
109,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,26-269,1999,7.2,6,0.83,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
110,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,29-156,1996,12.5,10,0.80,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
111,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-277,1993,9.0,1,0.11,0,1,0,0,0,0,1,0.11,0,1,0,0,0,0,Matches
112,Jesús Areso,es ESP,DF,Athletic Club,es La Liga,26-152,1999,8.2,14,1.70,13,1,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
113,Iñigo Arguibide,es ESP,DF,Osasuna,es La Liga,20-226,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
114,Jhon Arias,co COL,FW,Wolves,eng Premier League,28-071,1997,7.2,20,2.77,11,4,2,1,0,2,0,0.00,0,0,0,0,0,0,Matches
115,Harrison Armstrong,eng ENG,FW,Everton,eng Premier League,18-316,2007,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
116,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,22-235,2003,10.6,44,4.14,31,10,2,0,1,0,8,0.75,5,2,0,0,1,0,Matches
117,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,31-188,1994,11.0,32,2.91,18,14,0,0,0,0,4,0.36,2,2,0,0,0,0,Matches
118,Tolu Arokodare,ng NGA,FW,Wolves,eng Premier League,25-008,2000,3.1,4,1.29,3,0,0,1,0,0,1,0.32,1,0,0,0,0,0,Matches
119,Kervin Arriaga,hn HON,MF,Levante,es La Liga,27-330,1998,7.0,7,1.00,5,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
120,Arthur,br BRA,DF,Leverkusen,de Bundesliga,22-259,2003,4.5,6,1.33,6,0,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches
121,Takuma Asano,jp JPN,FW,Mallorca,es La Liga,31-021,1994,3.4,6,1.78,4,0,0,1,1,0,1,0.30,1,0,0,0,0,0,Matches
122,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,22-291,2003,5.5,6,1.09,6,0,0,0,0,0,1,0.18,1,0,0,0,0,0,Matches
123,Fisnik Asllani,xk KVX,"FW,MF",Hoffenheim,de Bundesliga,23-115,2002,9.1,24,2.64,19,0,3,2,0,0,2,0.22,2,0,0,0,0,0,Matches
