Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Unnamed: 11_level_0_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 27_level_0_Matches
41,Kamil Grabara,pl POL,GK,Wolfsburg,de Bundesliga,26-327,1999,12,12,1080,12.0,22,1.83,57,34,64.9,2,3,7,1,8.3,4,2,1,1,33.3,Matches
42,Dominik Greif,sk SVK,GK,Lyon,fr Ligue 1,28-239,1997,10,10,900,10.0,12,1.20,31,19,61.3,4,3,3,5,50.0,1,0,1,0,100.0,Matches
43,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,35-209,1990,12,12,1080,12.0,13,1.08,40,27,67.5,8,2,2,6,50.0,0,0,0,0,,Matches
44,Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,28-264,1997,13,13,1170,13.0,11,0.85,41,30,75.6,5,5,3,6,46.2,1,1,0,0,0.0,Matches
45,Mads Hermansen,dk DEN,GK,West Ham,eng Premier League,25-143,2000,4,4,360,4.0,11,2.75,20,9,45.0,1,0,3,1,25.0,0,0,0,0,,Matches
46,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,32-179,1993,14,14,1260,14.0,18,1.29,69,51,78.3,3,3,8,3,21.4,3,3,0,0,0.0,Matches
47,Daniel Heuer Fernandes,pt POR,GK,Hamburger SV,de Bundesliga,33-018,1992,12,12,1080,12.0,18,1.50,60,41,71.7,3,3,6,3,25.0,2,1,1,0,50.0,Matches
48,Lukáš Hrádecký,fi FIN,GK,Monaco,fr Ligue 1,36-007,1989,5,5,438,4.9,8,1.64,20,12,70.0,3,0,2,1,20.0,3,2,0,1,0.0,Matches
49,Franco Israel,uy URU,GK,Torino,it Serie A,25-223,2000,8,8,720,8.0,15,1.87,35,20,62.9,2,2,4,3,37.5,2,2,0,0,0.0,Matches
50,Karl Jakob Hein,ee EST,GK,Werder Bremen,de Bundesliga,23-232,2002,2,2,180,2.0,4,2.00,15,11,80.0,1,0,1,1,50.0,1,1,0,0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
