Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 34_level_0_Matches
32,Gianluigi Donnarumma,it ITA,GK,Manchester City,eng Premier League,26-274,1999,9.0,6,0,0,3,0,7.2,0.31,+1.2,+0.13,23,75,30.7,224,30,27.2,29.3,22,63.6,42.7,112,7,6.3,4,0.44,10.3,Matches
33,Martin Dúbravka,sk SVK,GK,Burnley,eng Premier League,36-315,1989,12.0,24,3,0,4,3,23.5,0.31,+2.5,+0.21,77,258,29.8,305,54,46.6,36.1,127,91.3,64.4,241,9,3.7,3,0.25,8.3,Matches
34,Aarón Escandell,es ESP,GK,Oviedo,es La Liga,30-060,1995,13.0,20,2,0,5,0,25.9,0.28,+5.9,+0.45,68,188,36.2,402,42,38.1,34.0,80,43.8,37.5,216,8,3.7,26,2.00,15.8,Matches
35,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30-228,1995,12.0,16,2,0,2,0,18.0,0.32,+2.0,+0.17,65,235,27.7,305,34,63.3,43.8,51,82.4,53.5,165,8,4.8,16,1.33,12.5,Matches
36,Jonathan Fischer,dk DEN,GK,Metz,fr Ligue 1,24-017,2001,12.2,26,4,0,1,1,26.7,0.33,+1.7,+0.14,43,122,35.2,452,51,19.7,27.1,62,53.2,43.2,176,6,3.4,10,0.82,12.1,Matches
37,Mark Flekken,nl NED,GK,Leverkusen,de Bundesliga,32-166,1993,11.0,15,2,0,5,1,14.0,0.26,0.0,0.00,38,123,30.9,355,41,24.2,30.3,66,56.1,45.7,138,4,2.9,12,1.09,14.8,Matches
38,Joan García,es ESP,GK,Barcelona,es La Liga,24-206,2001,7.0,4,1,0,1,0,6.5,0.30,+2.5,+0.36,8,15,53.3,199,54,6.5,23.8,19,10.5,28.6,68,4,5.9,30,4.29,21.2,Matches
39,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,33-328,1992,11.5,19,2,1,3,0,22.7,0.33,+3.7,+0.32,40,154,26.0,370,52,30.3,32.4,56,75.0,54.6,193,5,2.6,16,1.40,16.2,Matches
40,David de Gea,es ESP,GK,Fiorentina,it Serie A,35-019,1990,12.0,19,3,0,3,0,18.8,0.29,-0.2,-0.02,59,166,35.5,334,44,41.9,35.5,50,52.0,43.5,161,3,1.9,7,0.58,12.8,Matches
41,Kamil Grabara,pl POL,GK,Wolfsburg,de Bundesliga,26-322,1999,11.0,21,1,1,3,0,21.1,0.36,+0.1,+0.01,41,156,26.3,399,64,28.1,31.7,59,74.6,55.5,239,8,3.3,13,1.18,12.9,Matches
42,Dominik Greif,sk SVK,GK,Lyon,fr Ligue 1,28-234,1997,9.0,12,0,0,3,1,11.3,0.38,+0.3,+0.03,34,93,36.6,332,33,23.2,27.8,31,51.6,42.7,113,8,7.1,14,1.56,16.0,Matches
43,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,35-204,1990,11.0,13,0,0,2,0,12.2,0.31,-0.8,-0.07,33,104,31.7,349,47,20.9,29.9,65,47.7,41.5,167,10,6.0,16,1.45,14.8,Matches
