Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
52,Bingourou Kamara,sn SEN,GK,Lorient,fr Ligue 1,28-359,1996,3,3,270,3.0,8,2.67,15,7,46.7,1,0,2,1,33.3,1,0,0,1,Matches
53,Caoimhín Kelleher,ie IRL,GK,Brentford,eng Premier League,26-326,1998,7,7,630,7.0,12,1.71,29,17,62.1,2,1,4,1,14.3,2,1,1,0,Matches
54,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,27-313,1997,6,6,540,6.0,4,0.67,16,12,81.3,4,2,0,4,66.7,1,1,0,0,Matches
55,Hervé Koffi,bf BFA,GK,Angers,fr Ligue 1,28-364,1996,7,7,630,7.0,11,1.57,43,31,76.7,1,2,4,1,14.3,3,1,1,1,Matches
56,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,27-196,1998,5,4,372,4.1,8,1.94,16,9,62.5,2,1,1,0,0.0,2,2,0,0,Matches
57,Vladyslav Krapyvtsov,ua UKR,GK,Girona,es La Liga,20-112,2005,2,1,136,1.5,6,3.97,9,3,44.4,0,0,1,0,0.0,1,1,0,0,Matches
58,Senne Lammens,be BEL,GK,Manchester Utd,eng Premier League,23-100,2002,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,Matches
59,Nicola Leali,it ITA,GK,Genoa,it Serie A,32-240,1993,6,6,540,6.0,9,1.50,23,14,65.2,0,2,4,1,16.7,1,1,0,0,Matches
60,Bernd Leno,de GER,GK,Fulham,eng Premier League,33-225,1992,7,7,630,7.0,11,1.57,29,19,69.0,2,2,3,1,14.3,3,2,0,1,Matches
61,Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,32-346,1992,5,5,404,4.5,6,1.34,19,13,68.4,2,0,3,2,40.0,1,0,1,0,Matches
62,Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,35-014,1990,7,7,630,7.0,7,1.00,36,29,86.1,1,3,3,2,28.6,2,2,0,0,Matches
63,Pau López,es ESP,GK,Betis,es La Liga,30-306,1994,5,5,450,5.0,3,0.60,18,14,83.3,4,1,0,2,40.0,1,0,1,0,Matches
64,Mike Maignan,fr FRA,GK,Milan,it Serie A,30-104,1995,5,5,415,4.6,3,0.65,15,12,86.7,3,1,1,2,40.0,1,1,0,0,Matches
65,Radosław Majecki,pl POL,GK,Brest,fr Ligue 1,25-333,1999,5,5,414,4.6,5,1.09,14,9,64.3,1,2,2,2,40.0,0,0,0,0,Matches
66,Giorgi Mamardashvili,ge GEO,GK,Liverpool,eng Premier League,25-016,2000,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,Matches
67,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,33-043,1992,5,5,450,5.0,4,0.80,13,9,69.2,2,2,1,1,20.0,0,0,0,0,Matches
68,Josep Martinez,es ESP,GK,Inter,it Serie A,27-141,1998,2,2,180,2.0,1,0.50,5,4,80.0,2,0,0,1,50.0,0,0,0,0,Matches
69,Alex Meret,it ITA,GK,Napoli,it Serie A,28-207,1997,4,4,360,4.0,4,1.00,12,8,75.0,3,0,1,2,50.0,1,1,0,0,Matches
70,Vanja Milinković-Savić,rs SRB,GK,Napoli,it Serie A,28-237,1997,2,2,180,2.0,2,1.00,4,2,50.0,2,0,0,0,0.0,0,0,0,0,Matches
71,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,29-237,1996,6,6,540,6.0,9,1.50,24,14,62.5,0,3,3,1,16.7,1,0,1,0,Matches
72,Arijanet Muric,xk KVX,GK,Sassuolo,it Serie A,26-342,1998,5,5,450,5.0,6,1.20,29,24,82.8,3,0,2,2,40.0,1,1,0,0,Matches
73,Yvon Mvogo,ch SUI,GK,Lorient,fr Ligue 1,31-131,1994,4,4,360,4.0,8,2.00,13,5,53.8,1,1,2,0,0.0,3,2,0,1,Matches
74,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,39-202,1986,6,6,540,6.0,3,0.50,13,10,76.9,6,0,0,4,66.7,0,0,0,0,Matches
75,Moritz Nicolas,de GER,GK,Gladbach,de Bundesliga,27-359,1997,6,6,540,6.0,12,2.00,29,17,62.1,0,3,3,2,33.3,1,1,0,0,Matches
76,Obed Nkambadio,fr FRA,GK,Paris FC,fr Ligue 1,22-250,2003,6,6,540,6.0,11,1.83,27,16,66.7,2,1,3,1,16.7,3,2,0,1,Matches
77,Alexander Nübel,de GER,GK,Stuttgart,de Bundesliga,29-015,1996,6,6,540,6.0,6,1.00,22,16,77.3,4,0,2,3,50.0,1,1,0,0,Matches
78,Ørjan Nyland,no NOR,GK,Sevilla,es La Liga,35-035,1990,4,4,360,4.0,7,1.75,16,9,62.5,1,1,2,1,25.0,1,1,0,0,Matches
79,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,32-281,1993,8,8,720,8.0,10,1.25,22,12,59.1,3,4,1,1,12.5,1,1,0,0,Matches
80,Berke Özer,tr TUR,GK,Lille,fr Ligue 1,25-143,2000,6,6,540,6.0,9,1.50,23,13,60.9,3,2,1,1,16.7,1,0,1,0,Matches
81,Iñaki Peña,es ESP,GK,Elche,es La Liga,26-227,1999,3,3,270,3.0,4,1.33,11,7,72.7,1,1,1,1,33.3,1,1,0,0,Matches
82,Mike Penders,be BEL,GK,Strasbourg,fr Ligue 1,20-076,2005,6,6,540,6.0,7,1.17,21,14,66.7,4,0,2,3,50.0,0,0,0,0,Matches
83,Lucas Perri,br BRA,GK,Leeds United,eng Premier League,27-309,1997,3,3,270,3.0,5,1.67,8,3,50.0,1,1,1,2,66.7,1,1,0,0,Matches
84,Đorđe Petrović,rs SRB,GK,Bournemouth,eng Premier League,26-007,1999,7,7,630,7.0,8,1.14,27,19,70.4,4,2,1,3,42.9,0,0,0,0,Matches
85,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,31-222,1994,7,7,630,7.0,7,1.00,24,16,75.0,3,2,2,2,28.6,2,1,1,0,Matches
