Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
75,Giuseppe Ambrosino,it ITA,FW,Napoli,it Serie A,22-035,2003,0.2,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
76,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,22-076,2003,0.2,0,0,0,0,0,0,,0,1,1,0,0,0,2,0,Matches
77,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-249,1998,7.0,9,6,6,3,0,8,75.0,2,10,5,5,3,12,35,0,Matches
78,Michael Amir Murillo,pa PAN,"DF,MF",Marseille,fr Ligue 1,29-246,1996,5.1,8,6,3,4,1,4,50.0,2,8,2,6,0,8,13,0,Matches
79,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,28-353,1996,5.5,9,4,3,4,2,8,50.0,4,9,1,8,6,15,4,0,Matches
80,Samuel Amo-Ameyaw,eng ENG,"DF,FW",Strasbourg,fr Ligue 1,19-089,2006,2.3,6,2,2,2,2,6,50.0,3,3,0,3,1,7,0,0,Matches
81,Mathis Amougou,fr FRA,MF,Strasbourg,fr Ligue 1,19-270,2006,1.5,4,3,0,3,1,2,50.0,1,4,1,3,1,5,0,0,Matches
82,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,25-159,2000,4.3,12,7,7,5,0,9,77.8,2,5,1,4,3,15,5,1,Matches
83,Ethan Ampadu,wls WAL,MF,Leeds United,eng Premier League,25-031,2000,4.9,12,5,5,3,4,6,83.3,1,2,1,1,6,18,13,1,Matches
84,Sofyan Amrabat,ma MAR,MF,Betis,es La Liga,29-055,1996,2.2,5,1,2,2,1,6,50.0,3,4,1,3,1,6,2,0,Matches
85,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,29-137,1996,7.0,15,11,11,3,1,13,69.2,4,3,2,1,8,23,56,0,Matches
86,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,22-343,2002,7.0,21,12,8,6,7,18,44.4,10,10,1,9,5,26,8,0,Matches
87,André,br BRA,MF,Wolves,eng Premier League,24-091,2001,4.9,14,6,7,4,3,15,46.7,8,6,2,4,5,19,10,2,Matches
88,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,35-073,1990,5.0,9,5,5,4,0,8,50.0,4,8,2,6,7,16,9,0,Matches
89,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,31-023,1994,3.4,8,6,4,4,0,4,75.0,1,1,0,1,5,13,4,0,Matches
90,Miguel Ángel Rubio,es ESP,DF,Espanyol,es La Liga,27-218,1998,1.4,0,0,0,0,0,0,,0,5,4,1,0,0,10,0,Matches
