Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Unnamed: 9_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 24_level_0_Matches
57,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30-226,1995,0.3,9,8,1,0,0,0,0,0,0,0,0,0,5,0,0,Matches
58,David Alaba,at AUT,DF,Real Madrid,es La Liga,33-160,1992,0.6,50,45,5,4,1,0,0,1,0,0,0,0,48,0,0,Matches
59,Raúl Albiol,es ESP,DF,Pisa,it Serie A,40-088,1985,2.9,174,168,6,3,0,0,1,0,0,0,0,0,154,0,1,Matches
60,Carlos Alcaraz,ar ARG,"MF,FW",Everton,eng Premier League,23-001,2002,3.3,127,120,6,2,1,1,2,0,1,0,0,0,104,1,1,Matches
61,Omar Alderete,py PAR,DF,Sunderland,eng Premier League,28-340,1996,8.4,390,383,7,6,1,4,4,1,0,0,0,0,327,0,3,Matches
62,Alexandre Alemão,br BRA,FW,Rayo Vallecano,es La Liga,27-244,1998,5.9,92,81,9,0,1,0,2,0,0,0,0,0,57,2,4,Matches
63,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,27-330,1998,9.2,428,379,46,17,1,2,41,3,26,8,7,0,339,3,7,Matches
64,Trent Alexander-Arnold,eng ENG,DF,Real Madrid,es La Liga,27-055,1998,3.8,310,262,44,5,2,4,40,27,12,4,8,0,239,4,3,Matches
65,Alfon,es ESP,"FW,DF",Sevilla,es La Liga,26-211,1999,3.3,72,67,5,0,0,1,4,5,0,0,0,0,57,0,1,Matches
66,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,21-316,2004,5.0,139,134,4,0,2,1,14,1,0,0,0,0,111,1,5,Matches
67,Alisson,br BRA,GK,Liverpool,eng Premier League,33-060,1992,8.0,309,273,36,16,0,1,0,0,0,0,0,0,262,0,0,Matches
68,Jim Allevinah,ga GAB,"FW,DF",Angers,fr Ligue 1,30-277,1995,0.9,13,12,0,0,0,0,1,0,0,0,0,0,10,1,0,Matches
69,Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,es La Liga,24-219,2001,3.3,193,182,11,3,3,1,9,3,5,1,3,0,162,0,4,Matches
70,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,25-185,2000,3.6,196,173,23,6,1,2,21,1,14,4,8,0,160,0,3,Matches
71,Pontus Almqvist,se SWE,"DF,MF",Parma,it Serie A,26-144,1999,3.9,80,79,1,1,0,0,4,0,0,0,0,0,60,0,1,Matches
