rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,passes_completed,passes_attempted,pass_completion_pct,total_distance,progressive_distance,assists,expected_assists,expected_assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,expected_assists_xa,season,table_type,processed_at
11,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,140,196,71.4,2025,599,0,0.2,-0.2,5,10,9,1,20,1.1,2023-2024,stats_passing,2025-10-18 04:36:48.434403
12,Abdel Abqar,MAR,DF,Alavés,La Liga,24,1999,25.7,553,762,72.6,12370,4872,0,0.2,-0.2,3,61,2,0,49,0.2,2023-2024,stats_passing,2025-10-18 04:36:48.434403
13,Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,2.7,19,40,47.5,231,75,0,0.1,-0.1,3,1,1,0,4,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
14,Francesco Acerbi,ITA,DF,Inter,Serie A,35,1988,26.5,1615,1781,90.7,29326,9174,1,1.8,-0.8,7,58,5,2,87,1.3,2023-2024,stats_passing,2025-10-18 04:36:48.434403
15,Joshua Acheampong,ENG,DF,Chelsea,Premier League,17,2006,0.1,1,2,50.0,18,7,0,0.0,0.0,0,0,0,0,0,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
16,Marcos Acuña,ARG,DF,Sevilla,La Liga,31,1991,14.4,628,847,74.1,12126,4928,2,1.5,0.5,23,52,19,12,59,2.1,2023-2024,stats_passing,2025-10-18 04:36:48.434403
17,Akor Adams,NGA,FW,Montpellier,Ligue 1,23,2000,25.0,250,385,64.9,3676,786,1,1.9,-0.9,17,14,4,2,17,1.4,2023-2024,stats_passing,2025-10-18 04:36:48.434403
18,Tyler Adams,USA,MF,Bournemouth,Premier League,24,1999,1.3,59,71,83.1,973,262,0,0.1,-0.1,1,9,0,0,5,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
19,Junior Adamu,AUT,"FW,MF",Freiburg,Bundesliga,22,2001,1.2,18,30,60.0,181,36,0,0.1,-0.1,1,0,1,0,1,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
20,Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,30,1993,8.9,132,189,69.8,1883,483,2,2.0,0.0,12,16,3,0,18,1.1,2023-2024,stats_passing,2025-10-18 04:36:48.434403
21,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25,1997,18.0,1028,1216,84.5,21010,7956,0,0.1,-0.1,2,47,2,0,62,0.3,2023-2024,stats_passing,2025-10-18 04:36:48.434403
22,Elijah Adebayo,ENG,FW,Luton Town,Premier League,25,1998,15.8,144,204,70.6,1847,385,0,0.7,-0.7,14,9,4,0,23,0.4,2023-2024,stats_passing,2025-10-18 04:36:48.434403
23,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21,2002,10.1,218,299,72.9,2929,719,1,2.0,-1.0,9,9,10,1,26,1.6,2023-2024,stats_passing,2025-10-18 04:36:48.434403
24,Simon Adingra,CIV,FW,Brighton,Premier League,21,2002,24.7,634,840,75.5,8828,1713,1,3.7,-2.7,33,17,33,11,50,3.5,2023-2024,stats_passing,2025-10-18 04:36:48.434403
25,Nathaniel Adjei,GHA,DF,Lorient,Ligue 1,20,2002,13.8,578,669,86.4,10635,4097,0,0.1,-0.1,3,38,1,0,34,0.5,2023-2024,stats_passing,2025-10-18 04:36:48.434403
26,Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,23,2000,10.0,367,459,80.0,4683,1110,6,2.3,3.7,21,19,18,3,39,2.9,2023-2024,stats_passing,2025-10-18 04:36:48.434403
27,Yacine Adli,FRA,MF,Milan,Serie A,23,2000,15.6,1125,1300,86.5,20142,6752,2,2.2,-0.2,22,149,16,6,125,2.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
28,Adryelson,BRA,"DF,FW",Lyon,Ligue 1,25,1998,0.1,5,5,100.0,75,28,0,0.0,0.0,0,0,0,0,0,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
29,Adson,BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,115,130,88.5,1750,378,0,0.1,-0.1,3,11,4,0,15,0.3,2023-2024,stats_passing,2025-10-18 04:36:48.434403
30,Michel Aebischer,SUI,MF,Bologna,Serie A,26,1997,24.8,1370,1503,91.2,21535,5798,1,1.5,-0.5,17,117,9,1,125,1.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
31,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,26,1997,28.8,1599,1838,87.0,32774,10984,1,1.5,-0.5,12,172,5,1,179,1.6,2023-2024,stats_passing,2025-10-18 04:36:48.434403
32,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22,2000,2.6,67,100,67.0,1906,1648,0,0.0,0.0,0,2,0,0,0,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
33,Lucien Agoume,FRA,MF,Inter,Serie A,21,2002,0.1,5,5,100.0,75,7,0,0.0,0.0,0,0,0,0,0,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
34,Lucien Agoume,FRA,MF,Sevilla,La Liga,21,2002,8.6,301,360,83.6,5285,1424,0,0.6,-0.6,9,36,5,1,35,0.3,2023-2024,stats_passing,2025-10-18 04:36:48.434403
35,Felix Agu,NGA,"DF,MF",Werder Bremen,Bundesliga,23,1999,17.9,488,669,72.9,7657,2921,0,0.6,-0.6,7,18,16,7,32,1.4,2023-2024,stats_passing,2025-10-18 04:36:48.434403
36,Nayef Aguerd,MAR,DF,West Ham,Premier League,27,1996,20.6,943,1177,80.1,19870,8804,0,0.3,-0.3,4,74,2,0,68,0.4,2023-2024,stats_passing,2025-10-18 04:36:48.434403
37,Ruben Aguilar,FRA,DF,Lens,Ligue 1,30,1993,21.4,1044,1282,81.4,15383,5987,3,2.9,0.1,26,73,42,14,110,4.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
38,Brandon Aguilera,CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,4,8,50.0,48,23,0,0.0,0.0,0,1,0,0,0,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
39,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,150,187,80.2,2455,628,0,0.0,0.0,1,12,0,0,25,0.1,2023-2024,stats_passing,2025-10-18 04:36:48.434403
40,Anel Ahmedhodžić,BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,749,993,75.4,12780,5078,0,0.8,-0.8,7,41,3,1,43,0.6,2023-2024,stats_passing,2025-10-18 04:36:48.434403
41,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,27,1995,4.5,145,185,78.4,2918,1187,0,0.1,-0.1,1,8,1,0,12,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
42,Ola Aina,NGA,DF,Nott'ham Forest,Premier League,26,1996,18.8,605,803,75.3,9657,4065,1,0.9,0.1,11,58,13,6,69,1.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
43,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,Premier League,22,2001,25.9,1005,1190,84.5,13946,3935,1,2.4,-1.4,25,60,13,4,99,1.7,2023-2024,stats_passing,2025-10-18 04:36:48.434403
44,Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,25,1998,10.0,154,203,75.9,2377,486,0,0.3,-0.3,7,7,2,0,16,0.3,2023-2024,stats_passing,2025-10-18 04:36:48.434403
45,Kristoffer Ajer,NOR,DF,Brentford,Premier League,25,1998,20.4,610,810,75.3,10210,3786,1,2.3,-1.3,12,56,10,3,61,2.7,2023-2024,stats_passing,2025-10-18 04:36:48.434403
46,Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,29,1994,15.1,318,453,70.2,4546,479,0,1.0,-1.0,16,21,3,0,21,1.6,2023-2024,stats_passing,2025-10-18 04:36:48.434403
47,Manuel Akanji,SUI,"DF,MF",Manchester City,Premier League,28,1995,27.9,2180,2334,93.4,35688,9787,0,0.5,-0.5,13,214,15,2,148,1.8,2023-2024,stats_passing,2025-10-18 04:36:48.434403
48,Marley Aké,FRA,FW,Udinese,Serie A,22,2001,0.1,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
49,Nathan Aké,NED,DF,Manchester City,Premier League,28,1995,22.7,1716,1864,92.1,26189,8717,2,1.2,0.8,10,148,5,1,116,1.1,2023-2024,stats_passing,2025-10-18 04:36:48.434403
50,Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,19,2004,16.8,372,481,77.3,5109,1318,2,2.6,-0.6,21,20,24,6,45,2.5,2023-2024,stats_passing,2025-10-18 04:36:48.434403
51,Sergio Akieme,ESP,DF,Almería,La Liga,25,1997,18.6,620,801,77.4,10224,3150,0,2.2,-2.2,17,30,14,12,28,2.1,2023-2024,stats_passing,2025-10-18 04:36:48.434403
52,Sergio Akieme,ESP,DF,Reims,Ligue 1,25,1997,9.1,277,350,79.1,4318,1253,0,0.4,-0.4,6,15,4,2,20,0.4,2023-2024,stats_passing,2025-10-18 04:36:48.434403
53,Ebenezer Akinsanmiro,NGA,MF,Inter,Serie A,18,2004,0.2,7,8,87.5,83,45,0,0.0,0.0,1,1,1,0,2,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
54,Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,21,2002,17.9,645,833,77.4,9118,2859,4,3.5,0.5,38,64,38,3,93,3.4,2023-2024,stats_passing,2025-10-18 04:36:48.434403
55,Paul Akouokou,CIV,MF,Betis,La Liga,25,1997,0.3,16,17,94.1,280,65,0,0.0,0.0,0,0,0,0,1,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
56,Paul Akouokou,CIV,MF,Lyon,Ligue 1,25,1997,3.4,158,185,85.4,2723,717,0,0.0,0.0,0,16,0,0,13,0.1,2023-2024,stats_passing,2025-10-18 04:36:48.434403
57,Jean-Daniel Akpa-Akpro,CIV,MF,Monza,Serie A,30,1992,7.8,220,263,83.7,3557,826,0,0.1,-0.1,1,14,0,0,10,0.2,2023-2024,stats_passing,2025-10-18 04:36:48.434403
58,David Akpan Ankeye,NGA,FW,Genoa,Serie A,21,2002,0.6,8,9,88.9,85,20,0,0.0,0.0,0,0,1,0,1,0.4,2023-2024,stats_passing,2025-10-18 04:36:48.434403
59,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,28,1995,12.2,611,711,85.9,10584,3879,0,0.3,-0.3,5,71,2,0,55,0.4,2023-2024,stats_passing,2025-10-18 04:36:48.434403
60,David Alaba,AUT,DF,Real Madrid,La Liga,31,1992,12.8,810,904,89.6,12977,4997,1,0.7,0.3,10,56,5,0,51,0.8,2023-2024,stats_passing,2025-10-18 04:36:48.434403
61,Luis Alberto,ESP,MF,Lazio,Serie A,30,1992,25.7,1303,1679,77.6,20459,6568,7,4.7,2.3,64,172,48,4,212,4.8,2023-2024,stats_passing,2025-10-18 04:36:48.434403
62,Raúl Albiol,ESP,DF,Villarreal,La Liga,37,1985,22.6,1095,1272,86.1,22569,8497,1,0.8,0.2,3,64,1,0,62,0.6,2023-2024,stats_passing,2025-10-18 04:36:48.434403
63,Thiago Alcántara,ESP,MF,Liverpool,Premier League,32,1991,0.1,7,10,70.0,130,30,0,0.0,0.0,0,0,0,0,0,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
64,Carlos Alcaraz,ARG,MF,Juventus,Serie A,20,2002,4.2,143,165,86.7,2573,754,1,0.1,0.9,2,20,4,0,27,0.4,2023-2024,stats_passing,2025-10-18 04:36:48.434403
65,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,32,1991,34.8,1271,1582,80.3,23608,6666,1,1.4,-0.4,23,151,16,3,154,1.6,2023-2024,stats_passing,2025-10-18 04:36:48.434403
66,Omar Alderete,PAR,DF,Getafe,La Liga,26,1996,24.4,678,1056,64.2,16564,7319,1,1.0,0.0,13,98,14,1,98,0.8,2023-2024,stats_passing,2025-10-18 04:36:48.434403
67,Iván Alejo,ESP,MF,Cádiz,La Liga,28,1995,18.8,245,481,50.9,4241,1711,2,1.3,0.7,16,17,25,22,31,2.8,2023-2024,stats_passing,2025-10-18 04:36:48.434403
68,Carles Aleñá,ESP,MF,Getafe,La Liga,25,1998,11.3,308,396,77.8,5315,1146,1,1.6,-0.6,18,31,3,2,23,1.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
69,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,24,1998,23.9,1553,2062,75.3,30386,12434,4,7.2,-3.2,64,202,57,18,205,6.1,2023-2024,stats_passing,2025-10-18 04:36:48.434403
70,Aboubacar Ali,COM,"MF,FW",Strasbourg,Ligue 1,17,2006,1.4,22,34,64.7,287,51,1,0.1,0.9,1,4,1,0,3,0.1,2023-2024,stats_passing,2025-10-18 04:36:48.434403
71,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,19,2004,2.8,38,66,57.6,502,124,0,0.1,-0.1,1,1,0,0,3,0.3,2023-2024,stats_passing,2025-10-18 04:36:48.434403
72,Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,19,2004,9.6,193,268,72.0,3014,731,2,2.0,0.0,14,10,11,2,25,1.4,2023-2024,stats_passing,2025-10-18 04:36:48.434403
73,Faride Alidou,GER,"FW,MF",Köln,Bundesliga,22,2001,14.2,196,305,64.3,3211,831,0,0.6,-0.6,14,14,7,3,33,0.7,2023-2024,stats_passing,2025-10-18 04:36:48.434403
74,Nabil Alioui,FRA,"MF,FW",Le Havre,Ligue 1,24,1999,11.2,228,358,63.7,3856,1464,1,2.2,-1.2,24,35,15,3,43,2.5,2023-2024,stats_passing,2025-10-18 04:36:48.434403
75,Alisson,BRA,GK,Liverpool,Premier League,30,1992,28.0,985,1142,86.3,21428,13147,0,0.0,0.0,1,8,0,0,5,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
76,Tadeo Allende,ARG,"MF,FW",Celta Vigo,La Liga,24,1999,3.7,60,98,61.2,900,309,0,0.4,-0.4,2,5,2,1,7,0.2,2023-2024,stats_passing,2025-10-18 04:36:48.434403
77,Jim Allevinah,GAB,"MF,DF",Clermont Foot,Ligue 1,28,1995,20.7,589,743,79.3,8314,2195,1,1.2,-0.2,20,36,20,8,52,1.4,2023-2024,stats_passing,2025-10-18 04:36:48.434403
78,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,23,2000,10.7,315,399,78.9,4701,1257,1,1.2,-0.2,13,29,10,0,50,0.9,2023-2024,stats_passing,2025-10-18 04:36:48.434403
79,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,29,1994,21.5,668,801,83.4,9023,1846,1,2.6,-1.6,24,38,21,3,78,2.4,2023-2024,stats_passing,2025-10-18 04:36:48.434403
80,Pontus Almqvist,SWE,"FW,MF",Lecce,Serie A,24,1999,23.4,351,478,73.4,4689,1071,1,2.7,-1.7,27,14,12,4,32,1.8,2023-2024,stats_passing,2025-10-18 04:36:48.434403
81,Marcos Alonso,ESP,DF,Barcelona,La Liga,32,1990,2.8,180,214,84.1,2690,803,0,0.5,-0.5,5,10,3,1,14,0.3,2023-2024,stats_passing,2025-10-18 04:36:48.434403
82,Adrià Altimira,ESP,"DF,MF",Villarreal,La Liga,22,2001,8.6,389,465,83.7,6578,2133,0,0.1,-0.1,2,25,5,2,29,0.2,2023-2024,stats_passing,2025-10-18 04:36:48.434403
83,Sergi Altimira,ESP,MF,Betis,La Liga,21,2001,6.3,289,320,90.3,4841,1149,0,0.3,-0.3,4,26,2,0,31,0.3,2023-2024,stats_passing,2025-10-18 04:36:48.434403
84,Edson Álvarez,MEX,MF,West Ham,Premier League,25,1997,26.4,1033,1207,85.6,17083,5225,1,0.6,0.4,12,87,6,1,91,0.8,2023-2024,stats_passing,2025-10-18 04:36:48.434403
85,Gastón Álvarez,URU,DF,Getafe,La Liga,23,2000,28.2,754,1017,74.1,14087,5016,0,0.6,-0.6,8,64,5,3,63,0.4,2023-2024,stats_passing,2025-10-18 04:36:48.434403
86,Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,20,2003,8.5,380,455,83.5,5179,1437,1,1.5,-0.5,19,19,15,3,34,1.8,2023-2024,stats_passing,2025-10-18 04:36:48.434403
87,Julián Álvarez,ARG,"MF,FW",Manchester City,Premier League,23,2000,29.4,1011,1258,80.4,13977,2992,8,6.4,1.6,67,43,41,4,103,6.3,2023-2024,stats_passing,2025-10-18 04:36:48.434403
88,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,28,1995,12.8,572,710,80.6,11772,4181,0,0.1,-0.1,3,38,3,0,55,0.4,2023-2024,stats_passing,2025-10-18 04:36:48.434403
89,Skelly Alvero,FRA,MF,Lyon,Ligue 1,21,2002,4.7,159,193,82.4,2519,738,0,0.0,0.0,1,17,3,1,27,0.2,2023-2024,stats_passing,2025-10-18 04:36:48.434403
90,Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,21,2002,1.4,59,76,77.6,1098,274,0,0.0,0.0,1,3,1,0,9,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
91,Papa Amadou Diallo,SEN,FW,Metz,Ligue 1,19,2004,9.9,167,257,65.0,2726,899,1,0.9,0.1,12,17,6,2,30,0.7,2023-2024,stats_passing,2025-10-18 04:36:48.434403
92,Selim Amallah,MAR,"FW,MF",Valencia,La Liga,26,1996,6.7,120,164,73.2,1635,456,1,0.3,0.7,4,11,3,0,21,0.3,2023-2024,stats_passing,2025-10-18 04:36:48.434403
93,Amath,SEN,"FW,MF",Mallorca,La Liga,27,1996,4.4,76,113,67.3,1118,296,0,0.4,-0.4,3,8,4,2,13,0.3,2023-2024,stats_passing,2025-10-18 04:36:48.434403
94,Lorenzo Amatucci,ITA,MF,Fiorentina,Serie A,19,2004,0.2,22,25,88.0,449,101,0,0.0,0.0,0,3,0,0,2,0.1,2023-2024,stats_passing,2025-10-18 04:36:48.434403
95,Jordan Amavi,FRA,DF,Brest,Ligue 1,29,1994,1.0,47,54,87.0,858,247,0,0.0,0.0,0,2,0,0,2,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
96,Zeki Amdouni,SUI,FW,Burnley,Premier League,22,2000,21.7,396,500,79.2,6229,1153,1,1.4,-0.4,16,28,9,0,49,1.3,2023-2024,stats_passing,2025-10-18 04:36:48.434403
97,Kelvin Amian,FRA,DF,Nantes,Ligue 1,25,1998,8.9,268,350,76.6,4336,1782,1,0.6,0.4,5,26,4,2,28,0.7,2023-2024,stats_passing,2025-10-18 04:36:48.434403
98,Bruno Amione,ARG,DF,Hellas Verona,Serie A,21,2002,6.4,217,273,79.5,3776,1390,0,0.0,0.0,1,11,0,0,17,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
99,Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,27,1996,11.1,492,602,81.7,8248,2497,2,1.2,0.8,7,26,8,2,35,1.2,2023-2024,stats_passing,2025-10-18 04:36:48.434403
100,Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,26,1996,14.6,567,798,71.1,10700,4288,4,4.3,-0.3,52,70,17,3,88,4.1,2023-2024,stats_passing,2025-10-18 04:36:48.434403
101,Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,26,1996,1.0,92,100,92.0,1039,238,0,0.0,0.0,1,8,2,0,6,0.1,2023-2024,stats_passing,2025-10-18 04:36:48.434403
102,Kofi Amoako,GER,MF,Wolfsburg,Bundesliga,18,2005,0.0,0,1,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
103,Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,Premier League,26,1996,10.4,578,664,87.0,10308,2747,0,0.3,-0.3,6,62,6,1,66,0.4,2023-2024,stats_passing,2025-10-18 04:36:48.434403
104,Joachim Andersen,DEN,DF,Crystal Palace,Premier League,27,1996,37.9,1731,2209,78.4,37874,14700,3,2.8,0.2,20,171,17,8,147,2.3,2023-2024,stats_passing,2025-10-18 04:36:48.434403
105,Elliot Anderson,ENG,"MF,FW",Newcastle Utd,Premier League,20,2002,11.4,370,460,80.4,5041,1322,2,1.9,0.1,15,36,12,0,57,1.2,2023-2024,stats_passing,2025-10-18 04:36:48.434403
106,Felipe Anderson,BRA,"FW,MF",Lazio,Serie A,30,1993,30.8,1012,1336,75.7,14375,3827,6,6.3,-0.3,42,66,50,4,126,4.7,2023-2024,stats_passing,2025-10-18 04:36:48.434403
107,Benjamin André,FRA,MF,Lille,Ligue 1,32,1990,28.6,1598,1919,83.3,26448,7329,0,1.3,-1.3,19,173,9,2,180,2.2,2023-2024,stats_passing,2025-10-18 04:36:48.434403
108,Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,28,1995,1.9,45,59,76.3,600,72,0,0.2,-0.2,4,4,1,0,5,0.1,2023-2024,stats_passing,2025-10-18 04:36:48.434403
109,Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,28,1994,18.8,1346,1494,90.1,20529,6451,2,1.8,0.2,22,117,19,3,97,2.2,2023-2024,stats_passing,2025-10-18 04:36:48.434403
110,Miguel Ángel Rubio,ESP,DF,Granada,La Liga,25,1998,17.3,622,775,80.3,12049,4316,0,0.1,-0.1,2,24,3,0,27,0.1,2023-2024,stats_passing,2025-10-18 04:36:48.434403
111,Angeliño,ESP,DF,Roma,Serie A,26,1997,12.7,546,715,76.4,9819,3457,1,1.6,-0.6,19,36,21,13,40,1.5,2023-2024,stats_passing,2025-10-18 04:36:48.434403
112,Ângelo,BRA,"FW,MF",Strasbourg,Ligue 1,18,2004,12.2,300,426,70.4,4918,1875,3,3.3,-0.3,26,32,25,9,59,3.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
113,Fabrizio Angileri,ARG,"DF,MF",Getafe,La Liga,29,1994,1.8,68,103,66.0,1143,377,0,1.3,-1.3,4,4,4,3,7,0.9,2023-2024,stats_passing,2025-10-18 04:36:48.434403
114,Jaidon Anthony,ENG,FW,Bournemouth,Premier League,23,1999,1.7,30,45,66.7,453,139,0,0.0,0.0,0,3,1,0,8,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
115,Waldemar Anton,GER,DF,Stuttgart,Bundesliga,27,1996,32.1,2330,2624,88.8,41479,15026,3,1.0,2.0,9,163,7,2,172,1.5,2023-2024,stats_passing,2025-10-18 04:36:48.434403
116,Michail Antonio,JAM,FW,West Ham,Premier League,33,1990,18.8,180,308,58.4,2635,626,2,0.9,1.1,8,13,7,2,22,1.3,2023-2024,stats_passing,2025-10-18 04:36:48.434403
117,Antony,BRA,FW,Manchester Utd,Premier League,23,2000,14.7,468,595,78.7,6175,1608,1,2.8,-1.8,22,26,29,3,64,1.9,2023-2024,stats_passing,2025-10-18 04:36:48.434403
118,Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,29,1994,13.5,274,454,60.4,4315,1592,2,3.5,-1.5,24,11,15,7,28,3.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
119,Houssem Aouar,ALG,"MF,FW",Roma,Serie A,25,1998,8.4,300,359,83.6,4459,818,0,0.5,-0.5,10,25,3,1,26,0.6,2023-2024,stats_passing,2025-10-18 04:36:48.434403
120,Stredair Appuah,FRA,"FW,MF",Nantes,Ligue 1,19,2004,0.9,14,23,60.9,184,39,0,0.0,0.0,0,1,0,0,0,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
121,Mauro Arambarri,URU,MF,Getafe,La Liga,27,1995,3.8,114,142,80.3,2299,646,0,0.0,0.0,2,17,2,2,20,0.1,2023-2024,stats_passing,2025-10-18 04:36:48.434403
122,Jon Aramburu,VEN,DF,Real Sociedad,La Liga,21,2002,6.0,254,321,79.1,4015,1243,0,0.0,0.0,0,25,2,1,26,0.1,2023-2024,stats_passing,2025-10-18 04:36:48.434403
123,Asaf Arania,ISR,MF,Darmstadt 98,Bundesliga,17,2005,0.1,4,4,100.0,60,2,0,0.0,0.0,0,0,0,0,0,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
124,Julian Araujo,MEX,DF,Las Palmas,La Liga,21,2001,16.2,680,831,81.8,11255,3943,0,1.2,-1.2,16,69,12,4,74,0.9,2023-2024,stats_passing,2025-10-18 04:36:48.434403
125,Ronald Araújo,URU,DF,Barcelona,La Liga,24,1999,22.2,1458,1641,88.8,27691,10325,2,1.4,0.6,8,111,6,1,101,1.7,2023-2024,stats_passing,2025-10-18 04:36:48.434403
126,Oliver Arblaster,ENG,MF,Sheffield Utd,Premier League,19,2004,10.5,351,441,79.6,5920,1788,0,0.8,-0.8,11,37,6,0,43,0.9,2023-2024,stats_passing,2025-10-18 04:36:48.434403
127,Cameron Archer,ENG,"FW,MF",Sheffield Utd,Premier League,22,2001,20.4,266,332,80.1,3245,471,1,2.8,-1.8,23,11,7,2,15,1.4,2023-2024,stats_passing,2025-10-18 04:36:48.434403
128,Cameron Archer,ENG,MF,Aston Villa,Premier League,22,2001,0.1,5,6,83.3,42,0,0,0.0,0.0,0,0,0,0,0,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
