rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,passes_attempted,passes_live,passes_dead,passes_free_kick,passes_through_ball,passes_switched,passes_crosses,passes_throw_in,passes_corner_kick,passes_in,passes_out,passes_straight,passes_completed,passes_offsides,passes_blocks,season,table_type,processed_at
11,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,196,185,11,1,0,0,5,9,0,0,0,0,140,0,7,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
12,Abdel Abqar,MAR,DF,Alavés,La Liga,24,1999,25.7,762,704,55,50,0,17,2,4,0,0,0,0,553,3,10,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
13,Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,2.7,40,37,2,0,0,0,2,0,0,0,0,0,19,1,1,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
14,Francesco Acerbi,ITA,DF,Inter,Serie A,35,1988,26.5,1781,1719,60,43,0,11,9,8,0,0,0,0,1615,2,5,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
15,Joshua Acheampong,ENG,DF,Chelsea,Premier League,17,2006,0.1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
16,Marcos Acuña,ARG,DF,Sevilla,La Liga,31,1991,14.4,847,672,173,32,1,11,82,122,19,7,12,0,628,2,16,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
17,Akor Adams,NGA,FW,Montpellier,Ligue 1,23,2000,25.0,385,375,10,0,2,1,12,1,0,0,0,0,250,0,20,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
18,Tyler Adams,USA,MF,Bournemouth,Premier League,24,1999,1.3,71,67,4,3,0,1,1,1,0,0,0,0,59,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
19,Junior Adamu,AUT,"FW,MF",Freiburg,Bundesliga,22,2001,1.2,30,29,1,0,0,0,1,0,0,0,0,0,18,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
20,Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,30,1993,8.9,189,166,22,1,0,2,4,2,0,0,0,0,132,1,6,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
21,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25,1997,18.0,1216,1181,33,28,1,9,1,2,0,0,0,0,1028,2,8,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
22,Elijah Adebayo,ENG,FW,Luton Town,Premier League,25,1998,15.8,204,202,1,0,1,0,5,1,0,0,0,0,144,1,5,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
23,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21,2002,10.1,299,280,19,3,0,1,25,11,4,1,2,0,218,0,16,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
24,Simon Adingra,CIV,FW,Brighton,Premier League,21,2002,24.7,840,815,23,3,7,2,76,15,5,0,1,0,634,2,29,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
25,Nathaniel Adjei,GHA,DF,Lorient,Ligue 1,20,2002,13.8,669,628,40,27,0,3,2,11,0,0,0,0,578,1,5,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
26,Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,23,2000,10.0,459,447,11,2,2,1,23,7,0,0,0,0,367,1,10,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
27,Yacine Adli,FRA,MF,Milan,Serie A,23,2000,15.6,1300,1220,78,36,3,16,50,7,35,11,12,0,1125,2,14,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
28,Adryelson,BRA,"DF,FW",Lyon,Ligue 1,25,1998,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
29,Adson,BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,130,128,2,0,0,0,2,2,0,0,0,0,115,0,2,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
30,Michel Aebischer,SUI,MF,Bologna,Serie A,26,1997,24.8,1503,1447,53,34,3,5,12,13,6,3,0,0,1370,3,17,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
31,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,26,1997,28.8,1838,1728,106,50,5,11,6,48,0,0,0,0,1599,4,11,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
32,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22,2000,2.6,100,72,28,6,0,0,0,0,0,0,0,0,67,0,1,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
33,Lucien Agoume,FRA,MF,Inter,Serie A,21,2002,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
34,Lucien Agoume,FRA,MF,Sevilla,La Liga,21,2002,8.6,360,356,4,4,1,2,2,0,0,0,0,0,301,0,6,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
35,Felix Agu,NGA,"DF,MF",Werder Bremen,Bundesliga,23,1999,17.9,669,538,128,3,0,2,46,124,1,0,0,0,488,3,30,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
36,Nayef Aguerd,MAR,DF,West Ham,Premier League,27,1996,20.6,1177,1100,75,55,1,29,5,6,0,0,0,0,943,2,5,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
37,Ruben Aguilar,FRA,DF,Lens,Ligue 1,30,1993,21.4,1282,1094,185,17,3,1,75,168,0,0,0,0,1044,3,35,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
38,Brandon Aguilera,CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,8,8,0,0,0,0,0,0,0,0,0,0,4,0,1,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
39,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,187,183,4,1,0,0,6,2,0,0,0,0,150,0,8,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
40,Anel Ahmedhodžić,BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,993,955,36,11,1,2,6,25,0,0,0,0,749,2,20,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
41,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,27,1995,4.5,185,175,10,6,1,0,0,4,0,0,0,0,145,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
42,Ola Aina,NGA,DF,Nott'ham Forest,Premier League,26,1996,18.8,803,650,150,12,2,2,28,138,0,0,0,0,605,3,17,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
43,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,Premier League,22,2001,25.9,1190,1047,138,24,2,5,41,106,8,5,2,0,1005,5,24,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
44,Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,25,1998,10.0,203,193,7,0,0,0,8,1,0,0,0,0,154,3,4,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
45,Kristoffer Ajer,NOR,DF,Brentford,Premier League,25,1998,20.4,810,730,79,9,1,9,22,65,0,0,0,0,610,1,11,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
46,Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,29,1994,15.1,453,423,28,2,2,4,3,0,0,0,0,0,318,2,6,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
47,Manuel Akanji,SUI,"DF,MF",Manchester City,Premier League,28,1995,27.9,2334,2261,71,34,4,15,9,27,0,0,0,0,2180,2,10,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
48,Marley Aké,FRA,FW,Udinese,Serie A,22,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
49,Nathan Aké,NED,DF,Manchester City,Premier League,28,1995,22.7,1864,1744,118,32,1,3,11,81,0,0,0,0,1716,2,14,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
50,Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,19,2004,16.8,481,464,14,5,4,2,29,5,4,1,1,0,372,3,14,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
51,Sergio Akieme,ESP,DF,Almería,La Liga,25,1997,18.6,801,630,169,19,1,5,57,148,2,0,1,0,620,2,22,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
52,Sergio Akieme,ESP,DF,Reims,Ligue 1,25,1997,9.1,350,287,61,3,0,0,21,57,0,0,0,0,277,2,8,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
53,Ebenezer Akinsanmiro,NGA,MF,Inter,Serie A,18,2004,0.2,8,7,1,1,0,0,0,0,0,0,0,0,7,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
54,Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,21,2002,17.9,833,773,54,12,8,2,54,3,37,14,8,0,645,6,24,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
55,Paul Akouokou,CIV,MF,Betis,La Liga,25,1997,0.3,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
56,Paul Akouokou,CIV,MF,Lyon,Ligue 1,25,1997,3.4,185,183,2,2,0,0,0,0,0,0,0,0,158,0,2,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
57,Jean-Daniel Akpa-Akpro,CIV,MF,Monza,Serie A,30,1992,7.8,263,260,3,1,1,1,1,0,0,0,0,0,220,0,11,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
58,David Akpan Ankeye,NGA,FW,Genoa,Serie A,21,2002,0.6,9,9,0,0,0,0,1,0,0,0,0,0,8,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
59,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,28,1995,12.2,711,680,30,17,0,2,4,13,0,0,0,0,611,1,6,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
60,David Alaba,AUT,DF,Real Madrid,La Liga,31,1992,12.8,904,835,65,23,4,7,17,5,12,7,3,0,810,4,2,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
61,Luis Alberto,ESP,MF,Lazio,Serie A,30,1992,25.7,1679,1452,215,71,14,6,150,13,114,45,54,0,1303,12,28,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
62,Raúl Albiol,ESP,DF,Villarreal,La Liga,37,1985,22.6,1272,1207,61,45,0,6,0,3,0,0,0,0,1095,4,8,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
63,Thiago Alcántara,ESP,MF,Liverpool,Premier League,32,1991,0.1,10,9,1,1,0,0,0,0,0,0,0,0,7,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
64,Carlos Alcaraz,ARG,MF,Juventus,Serie A,20,2002,4.2,165,155,10,7,2,1,1,2,1,0,0,0,143,0,3,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
65,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,32,1991,34.8,1582,1462,106,85,1,42,36,7,8,1,7,0,1271,14,17,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
66,Omar Alderete,PAR,DF,Getafe,La Liga,26,1996,24.4,1056,985,58,54,0,37,5,3,0,0,0,0,678,13,11,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
67,Iván Alejo,ESP,MF,Cádiz,La Liga,28,1995,18.8,481,433,46,10,1,2,151,24,12,0,11,0,245,2,32,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
68,Carles Aleñá,ESP,MF,Getafe,La Liga,25,1998,11.3,396,359,36,17,1,4,33,5,14,13,1,0,308,1,12,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
69,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,24,1998,23.9,2062,1705,346,77,22,32,168,198,71,10,52,0,1553,11,23,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
70,Aboubacar Ali,COM,"MF,FW",Strasbourg,Ligue 1,17,2006,1.4,34,34,0,0,0,0,6,0,0,0,0,0,22,0,1,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
71,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,19,2004,2.8,66,66,0,0,0,0,11,0,0,0,0,0,38,0,1,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
72,Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,19,2004,9.6,268,245,22,6,1,0,44,0,16,8,7,0,193,1,8,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
73,Faride Alidou,GER,"FW,MF",Köln,Bundesliga,22,2001,14.2,305,293,12,0,0,2,39,7,1,0,1,0,196,0,17,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
74,Nabil Alioui,FRA,"MF,FW",Le Havre,Ligue 1,24,1999,11.2,358,289,66,17,6,1,54,1,36,23,13,0,228,3,14,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
75,Alisson,BRA,GK,Liverpool,Premier League,30,1992,28.0,1142,983,154,38,0,5,0,0,0,0,0,0,985,5,3,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
76,Tadeo Allende,ARG,"MF,FW",Celta Vigo,La Liga,24,1999,3.7,98,97,1,0,1,1,10,0,0,0,0,0,60,0,6,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
77,Jim Allevinah,GAB,"MF,DF",Clermont Foot,Ligue 1,28,1995,20.7,743,675,65,2,1,0,47,57,1,0,0,0,589,3,17,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
78,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,23,2000,10.7,399,375,24,12,0,4,18,2,7,0,5,0,315,0,18,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
79,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,29,1994,21.5,801,788,10,2,5,0,24,7,1,0,0,0,668,3,16,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
80,Pontus Almqvist,SWE,"FW,MF",Lecce,Serie A,24,1999,23.4,478,472,6,2,1,0,21,3,1,1,0,0,351,0,19,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
81,Marcos Alonso,ESP,DF,Barcelona,La Liga,32,1990,2.8,214,171,43,10,0,3,15,27,6,2,2,0,180,0,5,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
82,Adrià Altimira,ESP,"DF,MF",Villarreal,La Liga,22,2001,8.6,465,400,65,5,0,1,5,60,0,0,0,0,389,0,10,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
83,Sergi Altimira,ESP,MF,Betis,La Liga,21,2001,6.3,320,315,3,1,0,4,1,1,1,1,0,0,289,2,3,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
84,Edson Álvarez,MEX,MF,West Ham,Premier League,25,1997,26.4,1207,1184,18,15,2,9,4,3,0,0,0,0,1033,5,14,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
85,Gastón Álvarez,URU,DF,Getafe,La Liga,23,2000,28.2,1017,878,138,35,0,10,25,101,0,0,0,0,754,1,17,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
86,Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,20,2003,8.5,455,379,73,8,4,1,22,58,7,1,5,1,380,3,10,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
87,Julián Álvarez,ARG,"MF,FW",Manchester City,Premier League,23,2000,29.4,1258,1069,185,25,9,1,137,7,129,44,36,2,1011,4,27,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
88,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,28,1995,12.8,710,674,32,30,2,8,1,1,0,0,0,0,572,4,7,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
89,Skelly Alvero,FRA,MF,Lyon,Ligue 1,21,2002,4.7,193,190,2,2,1,1,2,0,0,0,0,0,159,1,2,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
90,Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,21,2002,1.4,76,75,1,1,0,1,0,0,0,0,0,0,59,0,2,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
91,Papa Amadou Diallo,SEN,FW,Metz,Ligue 1,19,2004,9.9,257,255,2,1,2,0,14,1,0,0,0,0,167,0,7,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
92,Selim Amallah,MAR,"FW,MF",Valencia,La Liga,26,1996,6.7,164,162,2,0,2,0,4,0,0,0,0,0,120,0,5,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
93,Amath,SEN,"FW,MF",Mallorca,La Liga,27,1996,4.4,113,110,2,1,2,0,7,1,0,0,0,0,76,1,4,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
94,Lorenzo Amatucci,ITA,MF,Fiorentina,Serie A,19,2004,0.2,25,25,0,0,0,1,0,0,0,0,0,0,22,0,2,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
95,Jordan Amavi,FRA,DF,Brest,Ligue 1,29,1994,1.0,54,43,11,3,0,0,1,8,0,0,0,0,47,0,1,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
96,Zeki Amdouni,SUI,FW,Burnley,Premier League,22,2000,21.7,500,445,51,2,7,1,8,0,3,0,0,0,396,4,19,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
97,Kelvin Amian,FRA,DF,Nantes,Ligue 1,25,1998,8.9,350,266,84,8,1,0,14,76,0,0,0,0,268,0,15,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
98,Bruno Amione,ARG,DF,Hellas Verona,Serie A,21,2002,6.4,273,267,6,4,0,1,1,2,0,0,0,0,217,0,3,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
99,Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,27,1996,11.1,602,517,84,13,0,1,16,71,0,0,0,0,492,1,10,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
100,Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,26,1996,14.6,798,612,181,80,2,3,126,9,88,32,44,0,567,5,11,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
101,Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,26,1996,1.0,100,98,2,1,0,0,1,0,1,0,0,0,92,0,2,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
102,Kofi Amoako,GER,MF,Wolfsburg,Bundesliga,18,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
103,Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,Premier League,26,1996,10.4,664,642,21,10,0,8,7,11,0,0,0,0,578,1,10,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
104,Joachim Andersen,DEN,DF,Crystal Palace,Premier League,27,1996,37.9,2209,2073,121,110,7,31,31,8,0,0,0,0,1731,15,22,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
105,Elliot Anderson,ENG,"MF,FW",Newcastle Utd,Premier League,20,2002,11.4,460,431,29,3,4,1,19,25,1,0,0,0,370,0,9,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
106,Felipe Anderson,BRA,"FW,MF",Lazio,Serie A,30,1993,30.8,1336,1299,29,5,5,6,57,18,6,1,4,0,1012,8,63,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
107,Benjamin André,FRA,MF,Lille,Ligue 1,32,1990,28.6,1919,1855,58,57,5,19,19,1,0,0,0,0,1598,6,34,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
108,Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,28,1995,1.9,59,54,5,0,0,0,1,0,0,0,0,0,45,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
109,Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,28,1994,18.8,1494,1458,34,32,5,4,14,2,0,0,0,0,1346,2,10,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
110,Miguel Ángel Rubio,ESP,DF,Granada,La Liga,25,1998,17.3,775,745,29,24,1,4,0,1,0,0,0,0,622,1,11,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
111,Angeliño,ESP,DF,Roma,Serie A,26,1997,12.7,715,610,101,12,0,4,53,87,2,1,0,0,546,4,11,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
112,Ângelo,BRA,"FW,MF",Strasbourg,Ligue 1,18,2004,12.2,426,410,15,3,4,1,42,4,5,3,1,0,300,1,13,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
113,Fabrizio Angileri,ARG,"DF,MF",Getafe,La Liga,29,1994,1.8,103,96,7,1,0,2,8,6,0,0,0,0,68,0,5,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
114,Jaidon Anthony,ENG,FW,Bournemouth,Premier League,23,1999,1.7,45,42,3,2,0,0,2,0,1,0,0,0,30,0,3,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
115,Waldemar Anton,GER,DF,Stuttgart,Bundesliga,27,1996,32.1,2624,2511,109,51,6,9,14,29,0,0,0,0,2330,4,16,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
116,Michail Antonio,JAM,FW,West Ham,Premier League,33,1990,18.8,308,288,18,1,3,4,27,11,0,0,0,0,180,2,22,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
117,Antony,BRA,FW,Manchester Utd,Premier League,23,2000,14.7,595,570,22,7,3,1,16,15,0,0,0,0,468,3,23,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
118,Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,29,1994,13.5,454,343,108,1,1,1,55,106,0,0,0,0,274,3,21,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
119,Houssem Aouar,ALG,"MF,FW",Roma,Serie A,25,1998,8.4,359,344,15,4,0,0,10,3,8,5,2,0,300,0,8,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
120,Stredair Appuah,FRA,"FW,MF",Nantes,Ligue 1,19,2004,0.9,23,23,0,0,0,0,2,0,0,0,0,0,14,0,2,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
121,Mauro Arambarri,URU,MF,Getafe,La Liga,27,1995,3.8,142,138,4,2,0,2,6,1,1,1,0,0,114,0,2,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
122,Jon Aramburu,VEN,DF,Real Sociedad,La Liga,21,2002,6.0,321,256,62,7,0,0,7,55,0,0,0,0,254,3,7,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
123,Asaf Arania,ISR,MF,Darmstadt 98,Bundesliga,17,2005,0.1,4,3,1,0,0,0,0,1,0,0,0,0,4,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
124,Julian Araujo,MEX,DF,Las Palmas,La Liga,21,2001,16.2,831,694,135,19,0,2,23,116,0,0,0,0,680,2,14,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
125,Ronald Araújo,URU,DF,Barcelona,La Liga,24,1999,22.2,1641,1540,93,45,3,14,8,37,0,0,0,0,1458,8,6,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
126,Oliver Arblaster,ENG,MF,Sheffield Utd,Premier League,19,2004,10.5,441,409,29,13,1,2,7,0,6,3,0,0,351,3,9,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
127,Cameron Archer,ENG,"FW,MF",Sheffield Utd,Premier League,22,2001,20.4,332,310,22,0,2,1,5,0,0,0,0,0,266,0,15,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
128,Cameron Archer,ENG,MF,Aston Villa,Premier League,22,2001,0.1,6,6,0,0,1,0,0,0,0,0,0,0,5,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
129,Alphonse Areola,FRA,GK,West Ham,Premier League,30,1993,30.0,867,555,307,88,0,2,0,0,0,0,0,0,562,5,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
130,Adu Ares,ESP,FW,Athletic Club,La Liga,21,2001,2.9,104,103,1,0,0,1,11,0,1,1,0,0,79,0,5,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
131,Jesús Areso,ESP,DF,Osasuna,La Liga,24,1999,29.6,1368,1033,332,20,1,6,110,311,0,0,0,0,1021,3,48,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
132,Simone Aresti,ITA,GK,Cagliari,Serie A,37,1986,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
133,Matias Arezo,URU,FW,Granada,La Liga,20,2002,4.1,82,75,7,0,1,0,4,1,0,0,0,0,52,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
134,Iñigo Arguibide,ESP,DF,Osasuna,La Liga,18,2005,0.2,4,3,1,0,0,0,0,1,0,0,0,0,1,0,1,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
135,Yoël Armougom,FRA,"DF,MF",Clermont Foot,Ligue 1,25,1998,2.6,131,114,17,1,0,0,14,16,0,0,0,0,97,0,3,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
136,José Arnaiz,ESP,"FW,MF",Osasuna,La Liga,28,1995,10.3,318,260,58,18,0,3,46,3,25,13,8,0,233,0,8,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
